graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,n_edges_original,biconnected,planar
v100_s0_p0,100,0,0.0,0.0000,100,284,284,True,True
v100_s0_p10,100,0,0.1,0.0986,100,256,284,True,True
v100_s0_p30,100,0,0.3,0.2993,100,199,284,True,True
v100_s0_p50,100,0,0.5,0.5000,100,142,284,True,True
v100_s1_p0,100,1,0.0,0.0000,100,282,282,True,True
v100_s1_p10,100,1,0.1,0.0993,100,254,282,True,True
v100_s1_p30,100,1,0.3,0.3014,100,197,282,True,True
v100_s1_p50,100,1,0.5,0.5000,100,141,282,True,True
v100_s2_p0,100,2,0.0,0.0000,100,285,285,True,True
v100_s2_p10,100,2,0.1,0.0982,100,257,285,True,True
v100_s2_p30,100,2,0.3,0.3018,100,199,285,True,True
v100_s2_p50,100,2,0.5,0.4982,100,143,285,True,True
v100_s3_p0,100,3,0.0,0.0000,100,287,287,True,True
v100_s3_p10,100,3,0.1,0.1010,100,258,287,True,True
v100_s3_p30,100,3,0.3,0.2997,100,201,287,True,True
v100_s3_p50,100,3,0.5,0.5017,100,143,287,True,True
v100_s4_p0,100,4,0.0,0.0000,100,284,284,True,True
v100_s4_p10,100,4,0.1,0.0986,100,256,284,True,True
v100_s4_p30,100,4,0.3,0.2993,100,199,284,True,True
v100_s4_p50,100,4,0.5,0.5000,100,142,284,True,True
v100_s5_p0,100,5,0.0,0.0000,100,283,283,True,True
v100_s5_p10,100,5,0.1,0.0989,100,255,283,True,True
v100_s5_p30,100,5,0.3,0.3004,100,198,283,True,True
v100_s5_p50,100,5,0.5,0.5018,100,141,283,True,True
v100_s6_p0,100,6,0.0,0.0000,100,284,284,True,True
v100_s6_p10,100,6,0.1,0.0986,100,256,284,True,True
v100_s6_p30,100,6,0.3,0.2993,100,199,284,True,True
v100_s6_p50,100,6,0.5,0.5000,100,142,284,True,True
v100_s7_p0,100,7,0.0,0.0000,100,284,284,True,True
v100_s7_p10,100,7,0.1,0.0986,100,256,284,True,True
v100_s7_p30,100,7,0.3,0.2993,100,199,284,True,True
v100_s7_p50,100,7,0.5,0.5000,100,142,284,True,True
v100_s8_p0,100,8,0.0,0.0000,100,280,280,True,True
v100_s8_p10,100,8,0.1,0.1000,100,252,280,True,True
v100_s8_p30,100,8,0.3,0.3000,100,196,280,True,True
v100_s8_p50,100,8,0.5,0.5000,100,140,280,True,True
v100_s9_p0,100,9,0.0,0.0000,100,286,286,True,True
v100_s9_p10,100,9,0.1,0.1014,100,257,286,True,True
