graph_id,family,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,n_edges_original,biconnected,planar
v100_s0_p0,apollonian,100,0,0.0,0.0000,100,294,294,True,True
v100_s0_p10,apollonian,100,0,0.1,0.0986,100,265,294,True,True
v100_s0_p30,apollonian,100,0,0.3,0.2993,100,206,294,True,True
v100_s0_p50,apollonian,100,0,0.5,0.5000,100,147,294,True,True
v100_s1_p0,apollonian,100,1,0.0,0.0000,100,294,294,True,True
v100_s1_p10,apollonian,100,1,0.1,0.0986,100,265,294,True,True
v100_s1_p30,apollonian,100,1,0.3,0.2993,100,206,294,True,True
v100_s1_p50,apollonian,100,1,0.5,0.5000,100,147,294,True,True
v200_s0_p0,apollonian,200,0,0.0,0.0000,200,594,594,True,True
v200_s0_p10,apollonian,200,0,0.1,0.0993,200,535,594,True,True
v200_s0_p30,apollonian,200,0,0.3,0.2997,200,416,594,True,True
v200_s0_p50,apollonian,200,0,0.5,0.5000,200,297,594,True,True
v200_s1_p0,apollonian,200,1,0.0,0.0000,200,594,594,True,True
v200_s1_p10,apollonian,200,1,0.1,0.0993,200,535,594,True,True
v200_s1_p30,apollonian,200,1,0.3,0.2997,200,416,594,True,True
v200_s1_p50,apollonian,200,1,0.5,0.5000,200,297,594,True,True
v300_s0_p0,apollonian,300,0,0.0,0.0000,300,894,894,True,True
v300_s0_p10,apollonian,300,0,0.1,0.0996,300,805,894,True,True
v300_s0_p30,apollonian,300,0,0.3,0.2998,300,626,894,True,True
v300_s0_p50,apollonian,300,0,0.5,0.5000,300,447,894,True,True
v300_s1_p0,apollonian,300,1,0.0,0.0000,300,894,894,True,True
v300_s1_p10,apollonian,300,1,0.1,0.0996,300,805,894,True,True
v300_s1_p30,apollonian,300,1,0.3,0.2998,300,626,894,True,True
v300_s1_p50,apollonian,300,1,0.5,0.5000,300,447,894,True,True
v400_s0_p0,apollonian,400,0,0.0,0.0000,400,1194,1194,True,True
v400_s0_p10,apollonian,400,0,0.1,0.0997,400,1075,1194,True,True
v400_s0_p30,apollonian,400,0,0.3,0.2998,400,836,1194,True,True
v400_s0_p50,apollonian,400,0,0.5,0.5000,400,597,1194,True,True
v400_s1_p0,apollonian,400,1,0.0,0.0000,400,1194,1194,True,True
v400_s1_p10,apollonian,400,1,0.1,0.0997,400,1075,1194,True,True
v400_s1_p30,apollonian,400,1,0.3,0.2998,400,836,1194,True,True
v400_s1_p50,apollonian,400,1,0.5,0.5000,400,597,1194,True,True
v500_s0_p0,apollonian,500,0,0.0,0.0000,500,1494,1494,True,True
v500_s0_p10,apollonian,500,0,0.1,0.0997,500,1345,1494,True,True
v500_s0_p30,apollonian,500,0,0.3,0.2999,500,1046,1494,True,True
v500_s0_p50,apollonian,500,0,0.5,0.5000,500,747,1494,True,True
v500_s1_p0,apollonian,500,1,0.0,0.0000,500,1494,1494,True,True
v500_s1_p10,apollonian,500,1,0.1,0.0997,500,1345,1494,True,True
v500_s1_p30,apollonian,500,1,0.3,0.2999,500,1046,1494,True,True
v500_s1_p50,apollonian,500,1,0.5,0.5000,500,747,1494,True,True
