graph_id,family,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,n_edges_original,biconnected,planar
v100_s0_p0,grid,100,0,0.0,0.0000,100,180,180,True,True
v100_s0_p10,grid,100,0,0.1,0.1000,100,162,180,True,True
v100_s0_p30,grid,100,0,0.3,0.3000,100,126,180,True,True
v100_s0_p50,grid,100,0,0.5,0.3944,100,109,180,True,True
v100_s1_p0,grid,100,1,0.0,0.0000,100,180,180,True,True
v100_s1_p10,grid,100,1,0.1,0.1000,100,162,180,True,True
v100_s1_p30,grid,100,1,0.3,0.3000,100,126,180,True,True
v100_s1_p50,grid,100,1,0.5,0.4000,100,108,180,True,True
v100_s2_p0,grid,100,2,0.0,0.0000,100,180,180,True,True
v100_s2_p10,grid,100,2,0.1,0.1000,100,162,180,True,True
v100_s2_p30,grid,100,2,0.3,0.3000,100,126,180,True,True
v100_s2_p50,grid,100,2,0.5,0.3889,100,110,180,True,True
v100_s3_p0,grid,100,3,0.0,0.0000,100,180,180,True,True
v100_s3_p10,grid,100,3,0.1,0.1000,100,162,180,True,True
v100_s3_p30,grid,100,3,0.3,0.3000,100,126,180,True,True
v100_s3_p50,grid,100,3,0.5,0.4111,100,106,180,True,True
v100_s4_p0,grid,100,4,0.0,0.0000,100,180,180,True,True
v100_s4_p10,grid,100,4,0.1,0.1000,100,162,180,True,True
v100_s4_p30,grid,100,4,0.3,0.3000,100,126,180,True,True
v100_s4_p50,grid,100,4,0.5,0.3833,100,111,180,True,True
v100_s5_p0,grid,100,5,0.0,0.0000,100,180,180,True,True
v100_s5_p10,grid,100,5,0.1,0.1000,100,162,180,True,True
v100_s5_p30,grid,100,5,0.3,0.3000,100,126,180,True,True
v100_s5_p50,grid,100,5,0.5,0.3944,100,109,180,True,True
v100_s6_p0,grid,100,6,0.0,0.0000,100,180,180,True,True
v100_s6_p10,grid,100,6,0.1,0.1000,100,162,180,True,True
v100_s6_p30,grid,100,6,0.3,0.3000,100,126,180,True,True
v100_s6_p50,grid,100,6,0.5,0.3833,100,111,180,True,True
v100_s7_p0,grid,100,7,0.0,0.0000,100,180,180,True,True
v100_s7_p10,grid,100,7,0.1,0.1000,100,162,180,True,True
v100_s7_p30,grid,100,7,0.3,0.3000,100,126,180,True,True
v100_s7_p50,grid,100,7,0.5,0.4000,100,108,180,True,True
v100_s8_p0,grid,100,8,0.0,0.0000,100,180,180,True,True
v100_s8_p10,grid,100,8,0.1,0.1000,100,162,180,True,True
v100_s8_p30,grid,100,8,0.3,0.3000,100,126,180,True,True
v100_s8_p50,grid,100,8,0.5,0.4056,100,107,180,True,True
v100_s9_p0,grid,100,9,0.0,0.0000,100,180,180,True,True
v100_s9_p10,grid,100,9,0.1,0.1000,100,162,180,True,True
v100_s9_p30,grid,100,9,0.3,0.3000,100,126,180,True,True
v100_s9_p50,grid,100,9,0.5,0.4111,100,106,180,True,True
v200_s0_p0,grid,200,0,0.0,0.0000,196,364,364,True,True
v200_s0_p10,grid,200,0,0.1,0.0989,196,328,364,True,True
v200_s0_p30,grid,200,0,0.3,0.2995,196,255,364,True,True
v200_s0_p50,grid,200,0,0.5,0.4203,196,211,364,True,True
v200_s1_p0,grid,200,1,0.0,0.0000,196,364,364,True,True
v200_s1_p10,grid,200,1,0.1,0.0989,196,328,364,True,True
v200_s1_p30,grid,200,1,0.3,0.2995,196,255,364,True,True
v200_s1_p50,grid,200,1,0.5,0.4231,196,210,364,True,True
v200_s2_p0,grid,200,2,0.0,0.0000,196,364,364,True,True
v200_s2_p10,grid,200,2,0.1,0.0989,196,328,364,True,True
v200_s2_p30,grid,200,2,0.3,0.2995,196,255,364,True,True
v200_s2_p50,grid,200,2,0.5,0.4121,196,214,364,True,True
v200_s3_p0,grid,200,3,0.0,0.0000,196,364,364,True,True
v200_s3_p10,grid,200,3,0.1,0.0989,196,328,364,True,True
v200_s3_p30,grid,200,3,0.3,0.2995,196,255,364,True,True
v200_s3_p50,grid,200,3,0.5,0.4121,196,214,364,True,True
v200_s4_p0,grid,200,4,0.0,0.0000,196,364,364,True,True
v200_s4_p10,grid,200,4,0.1,0.0989,196,328,364,True,True
v200_s4_p30,grid,200,4,0.3,0.2995,196,255,364,True,True
v200_s4_p50,grid,200,4,0.5,0.4093,196,215,364,True,True
v200_s5_p0,grid,200,5,0.0,0.0000,196,364,364,True,True
v200_s5_p10,grid,200,5,0.1,0.0989,196,328,364,True,True
v200_s5_p30,grid,200,5,0.3,0.2995,196,255,364,True,True
v200_s5_p50,grid,200,5,0.5,0.4121,196,214,364,True,True
v200_s6_p0,grid,200,6,0.0,0.0000,196,364,364,True,True
v200_s6_p10,grid,200,6,0.1,0.0989,196,328,364,True,True
v200_s6_p30,grid,200,6,0.3,0.2995,196,255,364,True,True
v200_s6_p50,grid,200,6,0.5,0.4066,196,216,364,True,True
v200_s7_p0,grid,200,7,0.0,0.0000,196,364,364,True,True
v200_s7_p10,grid,200,7,0.1,0.0989,196,328,364,True,True
v200_s7_p30,grid,200,7,0.3,0.2995,196,255,364,True,True
v200_s7_p50,grid,200,7,0.5,0.4148,196,213,364,True,True
v200_s8_p0,grid,200,8,0.0,0.0000,196,364,364,True,True
v200_s8_p10,grid,200,8,0.1,0.0989,196,328,364,True,True
v200_s8_p30,grid,200,8,0.3,0.2995,196,255,364,True,True
v200_s8_p50,grid,200,8,0.5,0.4176,196,212,364,True,True
v200_s9_p0,grid,200,9,0.0,0.0000,196,364,364,True,True
v200_s9_p10,grid,200,9,0.1,0.0989,196,328,364,True,True
v200_s9_p30,grid,200,9,0.3,0.2995,196,255,364,True,True
v200_s9_p50,grid,200,9,0.5,0.3984,196,219,364,True,True
v300_s0_p0,grid,300,0,0.0,0.0000,306,577,577,True,True
v300_s0_p10,grid,300,0,0.1,0.1005,306,519,577,True,True
v300_s0_p30,grid,300,0,0.3,0.2998,306,404,577,True,True
v300_s0_p50,grid,300,0,0.5,0.4298,306,329,577,True,True
v300_s1_p0,grid,300,1,0.0,0.0000,306,577,577,True,True
v300_s1_p10,grid,300,1,0.1,0.1005,306,519,577,True,True
v300_s1_p30,grid,300,1,0.3,0.2998,306,404,577,True,True
v300_s1_p50,grid,300,1,0.5,0.4298,306,329,577,True,True
v300_s2_p0,grid,300,2,0.0,0.0000,306,577,577,True,True
v300_s2_p10,grid,300,2,0.1,0.1005,306,519,577,True,True
v300_s2_p30,grid,300,2,0.3,0.2998,306,404,577,True,True
v300_s2_p50,grid,300,2,0.5,0.4229,306,333,577,True,True
v300_s3_p0,grid,300,3,0.0,0.0000,306,577,577,True,True
v300_s3_p10,grid,300,3,0.1,0.1005,306,519,577,True,True
v300_s3_p30,grid,300,3,0.3,0.2998,306,404,577,True,True
v300_s3_p50,grid,300,3,0.5,0.4194,306,335,577,True,True
v300_s4_p0,grid,300,4,0.0,0.0000,306,577,577,True,True
v300_s4_p10,grid,300,4,0.1,0.1005,306,519,577,True,True
v300_s4_p30,grid,300,4,0.3,0.2998,306,404,577,True,True
