graph_id,family,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,n_edges_original,biconnected,planar
v100_s0_p0,hexagonal,100,0,0.0,0.0000,96,131,131,True,True
v100_s0_p10,hexagonal,100,0,0.1,0.0992,96,118,131,True,True
v100_s0_p30,hexagonal,100,0,0.3,0.2137,96,103,131,True,True
v100_s0_p50,hexagonal,100,0,0.5,0.2137,96,103,131,True,True
v100_s1_p0,hexagonal,100,1,0.0,0.0000,96,131,131,True,True
v100_s1_p10,hexagonal,100,1,0.1,0.0992,96,118,131,True,True
v100_s1_p30,hexagonal,100,1,0.3,0.2137,96,103,131,True,True
v100_s1_p50,hexagonal,100,1,0.5,0.2137,96,103,131,True,True
v100_s2_p0,hexagonal,100,2,0.0,0.0000,96,131,131,True,True
v100_s2_p10,hexagonal,100,2,0.1,0.0992,96,118,131,True,True
v100_s2_p30,hexagonal,100,2,0.3,0.2061,96,104,131,True,True
v100_s2_p50,hexagonal,100,2,0.5,0.2061,96,104,131,True,True
v100_s3_p0,hexagonal,100,3,0.0,0.0000,96,131,131,True,True
v100_s3_p10,hexagonal,100,3,0.1,0.0992,96,118,131,True,True
v100_s3_p30,hexagonal,100,3,0.3,0.2137,96,103,131,True,True
v100_s3_p50,hexagonal,100,3,0.5,0.2137,96,103,131,True,True
v100_s4_p0,hexagonal,100,4,0.0,0.0000,96,131,131,True,True
v100_s4_p10,hexagonal,100,4,0.1,0.0992,96,118,131,True,True
v100_s4_p30,hexagonal,100,4,0.3,0.2214,96,102,131,True,True
v100_s4_p50,hexagonal,100,4,0.5,0.2214,96,102,131,True,True
v100_s5_p0,hexagonal,100,5,0.0,0.0000,96,131,131,True,True
v100_s5_p10,hexagonal,100,5,0.1,0.0992,96,118,131,True,True
v100_s5_p30,hexagonal,100,5,0.3,0.1985,96,105,131,True,True
v100_s5_p50,hexagonal,100,5,0.5,0.1985,96,105,131,True,True
v100_s6_p0,hexagonal,100,6,0.0,0.0000,96,131,131,True,True
v100_s6_p10,hexagonal,100,6,0.1,0.0992,96,118,131,True,True
v100_s6_p30,hexagonal,100,6,0.3,0.1985,96,105,131,True,True
v100_s6_p50,hexagonal,100,6,0.5,0.1985,96,105,131,True,True
v100_s7_p0,hexagonal,100,7,0.0,0.0000,96,131,131,True,True
v100_s7_p10,hexagonal,100,7,0.1,0.0992,96,118,131,True,True
v100_s7_p30,hexagonal,100,7,0.3,0.2061,96,104,131,True,True
v100_s7_p50,hexagonal,100,7,0.5,0.2061,96,104,131,True,True
v100_s8_p0,hexagonal,100,8,0.0,0.0000,96,131,131,True,True
v100_s8_p10,hexagonal,100,8,0.1,0.0992,96,118,131,True,True
v100_s8_p30,hexagonal,100,8,0.3,0.2061,96,104,131,True,True
v100_s8_p50,hexagonal,100,8,0.5,0.2061,96,104,131,True,True
v100_s9_p0,hexagonal,100,9,0.0,0.0000,96,131,131,True,True
v100_s9_p10,hexagonal,100,9,0.1,0.0992,96,118,131,True,True
v100_s9_p30,hexagonal,100,9,0.3,0.2214,96,102,131,True,True
v100_s9_p50,hexagonal,100,9,0.5,0.2214,96,102,131,True,True
v200_s0_p0,hexagonal,200,0,0.0,0.0000,198,278,278,True,True
v200_s0_p10,hexagonal,200,0,0.1,0.1007,198,250,278,True,True
v200_s0_p30,hexagonal,200,0,0.3,0.2410,198,211,278,True,True
v200_s0_p50,hexagonal,200,0,0.5,0.2410,198,211,278,True,True
v200_s1_p0,hexagonal,200,1,0.0,0.0000,198,278,278,True,True
v200_s1_p10,hexagonal,200,1,0.1,0.1007,198,250,278,True,True
