graph_id,family,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,n_edges_original,biconnected,planar
v100_s0_p0,voronoi,100,0,0.0,0.0000,100,148,148,True,True
v100_s0_p10,voronoi,100,0,0.1,0.1014,100,133,148,True,True
v100_s0_p30,voronoi,100,0,0.3,0.2500,100,111,148,True,True
v100_s0_p50,voronoi,100,0,0.5,0.2500,100,111,148,True,True
v100_s1_p0,voronoi,100,1,0.0,0.0000,100,148,148,True,True
v100_s1_p10,voronoi,100,1,0.1,0.1014,100,133,148,True,True
v100_s1_p30,voronoi,100,1,0.3,0.2905,100,105,148,True,True
v100_s1_p50,voronoi,100,1,0.5,0.2905,100,105,148,True,True
v200_s0_p0,voronoi,200,0,0.0,0.0000,200,298,298,True,True
v200_s0_p10,voronoi,200,0,0.1,0.1007,200,268,298,True,True
v200_s0_p30,voronoi,200,0,0.3,0.2752,200,216,298,True,True
v200_s0_p50,voronoi,200,0,0.5,0.2752,200,216,298,True,True
v200_s1_p0,voronoi,200,1,0.0,0.0000,200,298,298,True,True
v200_s1_p10,voronoi,200,1,0.1,0.1007,200,268,298,True,True
v200_s1_p30,voronoi,200,1,0.3,0.2852,200,213,298,True,True
v200_s1_p50,voronoi,200,1,0.5,0.2852,200,213,298,True,True
v300_s0_p0,voronoi,300,0,0.0,0.0000,300,448,448,True,True
v300_s0_p10,voronoi,300,0,0.1,0.1004,300,403,448,True,True
v300_s0_p30,voronoi,300,0,0.3,0.2946,300,316,448,True,True
v300_s0_p50,voronoi,300,0,0.5,0.2946,300,316,448,True,True
v300_s1_p0,voronoi,300,1,0.0,0.0000,300,448,448,True,True
v300_s1_p10,voronoi,300,1,0.1,0.1004,300,403,448,True,True
v300_s1_p30,voronoi,300,1,0.3,0.2857,300,320,448,True,True
v300_s1_p50,voronoi,300,1,0.5,0.2857,300,320,448,True,True
v400_s0_p0,voronoi,400,0,0.0,0.0000,400,598,598,True,True
v400_s0_p10,voronoi,400,0,0.1,0.1003,400,538,598,True,True
v400_s0_p30,voronoi,400,0,0.3,0.2709,400,436,598,True,True
v400_s0_p50,voronoi,400,0,0.5,0.2709,400,436,598,True,True
v400_s1_p0,voronoi,400,1,0.0,0.0000,400,598,598,True,True
v400_s1_p10,voronoi,400,1,0.1,0.1003,400,538,598,True,True
v400_s1_p30,voronoi,400,1,0.3,0.2793,400,431,598,True,True
v400_s1_p50,voronoi,400,1,0.5,0.2793,400,431,598,True,True
v500_s0_p0,voronoi,500,0,0.0,0.0000,500,748,748,True,True
v500_s0_p10,voronoi,500,0,0.1,0.1003,500,673,748,True,True
v500_s0_p30,voronoi,500,0,0.3,0.2848,500,535,748,True,True
v500_s0_p50,voronoi,500,0,0.5,0.2848,500,535,748,True,True
v500_s1_p0,voronoi,500,1,0.0,0.0000,500,748,748,True,True
v500_s1_p10,voronoi,500,1,0.1,0.1003,500,673,748,True,True
v500_s1_p30,voronoi,500,1,0.3,0.2807,500,538,748,True,True
v500_s1_p50,voronoi,500,1,0.5,0.2807,500,538,748,True,True
