vertices,hop_key,use_reduction,n_best,n_graphs
100,h2,False,20,40
100,h2,True,18,40
100,h3,False,4,40
100,h3,True,1,40
100,h4,False,1,40
100,h4,True,1,40
100,h2+3,False,4,40
100,h2+3+4,False,1,40
100,h2+3+4,True,1,40
200,h2,False,15,40
200,h2,True,15,40
200,h3,False,4,40
200,h3,True,1,40
200,h4,False,1,40
200,h4,True,1,40
200,h2+3,False,10,40
200,h2+3+4,False,2,40
200,h2+3+4,True,1,40
300,h2,False,16,40
300,h2,True,13,40
300,h3,False,6,40
300,h3,True,2,40
300,h4,False,2,40
300,h4,True,3,40
300,h2+3,False,4,40
300,h2+3,True,3,40
300,h2+3+4,True,1,40
400,h2,False,15,40
400,h2,True,16,40
400,h3,False,5,40
400,h4,True,1,40
400,h2+3,False,7,40
400,h2+3,True,2,40
400,h2+3+4,True,4,40
500,h2,False,17,40
500,h2,True,14,40
500,h3,False,9,40
500,h3,True,2,40
500,h4,False,1,40
500,h2+3,False,4,40
500,h2+3,True,1,40
500,h2+3+4,False,1,40
500,h2+3+4,True,1,40
