run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,use_dnc,ok
v100_s0_p0__h2__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2,2,False,0,151413802,ok,,,5.020525583007839,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0004264579911250621,284,0,0,5.0,2.0,252.0,122.0,1062.0,284.0,205.203125,1.3094349446849456,1.0,60.0,,True,True,True
v100_s0_p0__h2__red__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2,2,True,0,151413802,ok,,,4.959056749998126,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00043112499406561255,284,0,0,5.0,2.0,252.0,122.0,1062.0,284.0,207.6875,1.3094349446849456,1.0,60.0,,True,True,True
v100_s0_p0__h3__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h3,3,False,0,151413802,ok,,,5.282800083004986,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00023358300677500665,284,0,0,41.0,25.0,153.0,38.0,541.0,284.0,185.53125,1.3473691678691668,1.0,92.0,,True,True,True
v100_s0_p0__h3__red__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h3,3,True,0,151413802,ok,,,5.31733050000912,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00018558399460744113,284,0,0,41.0,25.0,153.0,38.0,541.0,284.0,187.59375,1.3473691678691668,1.0,92.0,,True,True,True
v100_s0_p0__h4__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h4,4,False,0,151413802,ok,,,13.226904333001585,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00042925000889226794,284,0,0,89.0,74.0,108.0,17.0,263.0,284.0,246.296875,1.3429129389129386,1.0,132.0,,True,True,True
v100_s0_p0__h4__red__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h4,4,True,0,151413802,ok,,,13.338435875004507,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0004480829957174137,284,0,0,89.0,74.0,108.0,17.0,263.0,284.0,248.734375,1.3429129389129386,1.0,132.0,,True,True,True
v100_s0_p0__h2+3__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2+3,2+3,False,0,151413802,ok,,,5.803725417004898,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003582500066841021,284,0,0,41.0,25.0,153.0,38.0,541.0,284.0,187.8125,1.3421069023569028,1.0,104.0,,True,True,True
v100_s0_p0__h2+3__red__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2+3,2+3,True,0,151413802,ok,,,5.876789916990674,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00036166700010653585,284,0,0,41.0,25.0,153.0,38.0,541.0,284.0,188.078125,1.3421069023569028,1.0,104.0,,True,True,True
v100_s0_p0__h2+3+4__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2+3+4,2+3+4,False,0,151413802,ok,,,15.054755042001489,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00019662499835249037,284,0,0,89.0,74.0,108.0,17.0,262.0,284.0,255.78125,1.348886724386721,1.0,148.0,,True,True,True
v100_s0_p0__h2+3+4__red__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2+3+4,2+3+4,True,0,151413802,ok,,,15.403075125010218,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003976660082116723,284,0,0,89.0,74.0,108.0,17.0,262.0,284.0,253.375,1.348886724386721,1.0,148.0,,True,True,True
v100_s0_p10__h2__nored__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2,2,False,0,2002666364,ok,,,2.189023500002804,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0004636249941540882,254,2,0,1.0,,256.0,256.0,1159.0,256.0,238.15625,1.3547279140612476,1.0,50.0,-645.0,True,True,True
v100_s0_p10__h2__red__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2,2,True,0,2002666364,ok,,,2.158930917008547,,2026-08-26T05:54:27+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005466250004246831,254,2,0,1.0,,254.0,254.0,1156.0,254.0,236.234375,1.3449863716530384,1.0,50.0,,True,True,True
v100_s0_p10__h3__nored__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h3,3,False,0,2002666364,ok,,,4.750916999997571,,2026-08-26T05:54:30+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005034169880673289,254,2,0,52.0,36.0,114.0,18.0,323.0,256.0,178.359375,1.3570214045214055,1.0,70.0,,True,True,True
v100_s0_p10__h3__red__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h3,3,True,0,2002666364,ok,,,4.622213791997638,,2026-08-26T05:54:30+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005189590010559186,254,2,0,49.0,35.0,120.0,15.0,367.0,254.0,179.15625,1.3595498236331591,1.0,70.0,,True,True,True
v100_s0_p10__h4__nored__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h4,4,False,0,2002666364,ok,,,9.606904957996449,,2026-08-26T05:54:33+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005149589997017756,254,2,0,81.0,74.0,90.0,16.0,209.0,256.0,230.703125,1.3634260461760428,1.0,82.0,,True,True,True
v100_s0_p10__h4__red__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h4,4,True,0,2002666364,ok,,,9.499330791993998,,2026-08-26T05:54:33+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005201660096645355,254,2,0,70.0,66.0,146.0,33.0,565.0,254.0,228.9375,1.3597966971300284,1.0,78.0,,True,True,True
v100_s0_p10__h2+3__nored__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2+3,2+3,False,0,2002666364,ok,,,5.23271704200306,,2026-08-26T05:54:33+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.000586583002586849,254,2,0,52.0,36.0,114.0,18.0,323.0,256.0,177.609375,1.3575876623376613,1.0,74.0,,True,True,True
v100_s0_p10__h2+3__red__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2+3,2+3,True,0,2002666364,ok,,,5.375228541990509,,2026-08-26T05:54:33+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0004957920027663931,254,2,0,49.0,35.0,120.0,15.0,367.0,254.0,177.96875,1.3586958072791393,1.0,78.0,,True,True,True
v100_s0_p10__h2+3+4__nored__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2+3+4,2+3+4,False,0,2002666364,ok,,,11.065625999995973,,2026-08-26T05:54:34+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0002807499986374751,254,2,0,81.0,74.0,92.0,16.0,207.0,256.0,231.71875,1.3598466410133014,1.0,74.0,,True,True,True
v100_s0_p10__h2+3+4__red__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2+3+4,2+3+4,True,0,2002666364,ok,,,11.192833458000678,,2026-08-26T05:54:34+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00028124998789280653,254,2,0,70.0,66.0,150.0,33.0,562.0,254.0,232.828125,1.3738456790123463,1.0,110.0,,True,True,True
v100_s0_p30__h2__nored__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2,2,False,0,822628483,ok,,,1.782974791000015,,2026-08-26T05:54:36+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005375420005293563,182,15,0,1.0,,199.0,199.0,699.0,199.0,227.03125,1.4764291726791763,0.87,48.0,-389.0,True,True,True
v100_s0_p30__h2__red__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2,2,True,0,822628483,ok,,,1.3806696249957895,,2026-08-26T05:54:35+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005076660017948598,182,15,0,1.0,,182.0,182.0,676.0,182.0,191.234375,1.5104868672292886,1.0,48.0,,True,True,True
v100_s0_p30__h3__nored__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h3,3,False,0,822628483,ok,,,3.190386457994464,,2026-08-26T05:54:38+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0006500830058939755,182,15,0,14.0,9.0,119.0,52.0,427.0,199.0,202.46875,1.5171237519495124,1.0,72.0,,True,True,True
v100_s0_p30__h3__red__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h3,3,True,0,822628483,ok,,,2.3775097080069827,,2026-08-26T05:54:38+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005332919972715899,182,15,0,26.0,18.0,80.0,20.0,181.0,182.0,175.828125,1.5013863855000225,1.0,80.0,,True,True,True
v100_s0_p30__h4__nored__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h4,4,False,0,822628483,ok,,,4.200781499996083,,2026-08-26T05:54:39+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005935000081080943,182,15,0,37.0,38.0,99.0,24.0,277.0,199.0,197.171875,1.506138502630926,1.0,76.0,,True,True,True
v100_s0_p30__h4__red__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h4,4,True,0,822628483,ok,,,3.834955166996224,,2026-08-26T05:54:39+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0008245829958468676,182,15,0,35.0,44.0,112.0,24.0,433.0,182.0,194.65625,1.506788101068405,1.0,72.0,,True,True,True
v100_s0_p30__h2+3__nored__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3,2+3,False,0,822628483,ok,,,3.7121769999939715,,2026-08-26T05:54:41+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005249590030871332,182,15,0,14.0,9.0,119.0,52.0,427.0,199.0,199.28125,1.5042500947425206,1.0,68.0,,True,True,True
v100_s0_p30__h2+3__red__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3,2+3,True,0,822628483,ok,,,2.6368866659904597,,2026-08-26T05:54:41+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005481249972945079,182,15,0,26.0,18.0,80.0,20.0,181.0,182.0,174.546875,1.507717073330711,1.0,84.0,,True,True,True
v100_s0_p30__h2+3+4__nored__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3+4,2+3+4,False,0,822628483,ok,,,5.243225957994582,,2026-08-26T05:54:42+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00029920799715910107,182,15,0,37.0,38.0,101.0,24.0,278.0,199.0,198.65625,1.5210374524465422,1.0,84.0,,True,True,True
v100_s0_p30__h2+3+4__red__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3+4,2+3+4,True,0,822628483,ok,,,4.642295875004493,,2026-08-26T05:54:41+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005352090083761141,182,15,0,35.0,44.0,113.0,24.0,437.0,182.0,194.640625,1.511057902254873,1.0,72.0,,True,True,True
v100_s0_p50__h2__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2,2,False,0,1450776837,ok,,,0.8473439590015914,,2026-08-26T05:54:43+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005270829860819504,94,32,0,1.0,,142.0,142.0,319.0,142.0,161.375,2.0401119850968428,0.08,42.0,-178.0,True,True,True
v100_s0_p50__h2__red__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2,2,True,0,1450776837,ok,,,0.5851284170057625,,2026-08-26T05:54:43+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005584169994108379,94,32,0,1.0,,94.0,94.0,258.0,94.0,169.078125,1.9785851796912488,1.0,42.0,,True,True,True
v100_s0_p50__h3__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h3,3,False,0,1450776837,ok,,,2.22510691700154,,2026-08-26T05:54:43+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00031020799360703677,94,32,0,3.0,4.0,85.0,67.0,246.0,142.0,209.40625,1.9120158713340543,1.0,42.0,,True,True,True
v100_s0_p50__h3__red__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h3,3,True,0,1450776837,ok,,,1.1854329589987174,,2026-08-26T05:54:43+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005337079928722233,94,32,0,2.0,2.0,70.0,69.0,387.0,94.0,181.625,1.8670063068244935,1.0,42.0,,True,True,True
v100_s0_p50__h4__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h4,4,False,0,1450776837,ok,,,2.1599223329976667,,2026-08-26T05:54:44+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0002956249954877421,94,32,0,8.0,7.0,136.0,120.0,583.0,142.0,163.578125,,0.0,54.0,,False,True,True
v100_s0_p50__h4__red__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h4,4,True,0,1450776837,ok,,,1.422985458993935,,2026-08-26T05:54:44+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003186670073773712,94,32,0,8.0,12.0,79.0,38.0,341.0,94.0,168.609375,2.036648622701658,1.0,42.0,,True,True,True
v100_s0_p50__h2+3__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2+3,2+3,False,0,1450776837,ok,,,2.455835916000069,,2026-08-26T05:54:44+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005815000040456653,94,32,0,3.0,4.0,85.0,67.0,246.0,142.0,206.828125,1.8939075873621334,1.0,42.0,,True,True,True
v100_s0_p50__h2+3__red__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2+3,2+3,True,0,1450776837,ok,,,1.3138955830072518,,2026-08-26T05:54:44+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005513329961104318,94,32,0,2.0,2.0,70.0,69.0,387.0,94.0,182.0,1.9217308121171843,1.0,42.0,,True,True,True
v100_s0_p50__h2+3+4__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2+3+4,2+3+4,False,0,1450776837,ok,,,2.6891504999948665,,2026-08-26T05:54:45+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0002904169959947467,94,32,0,8.0,9.0,139.0,129.0,668.0,142.0,166.359375,,0.0,58.0,,False,True,True
v100_s0_p50__h2+3+4__red__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2+3+4,2+3+4,True,0,1450776837,ok,,,1.793415832988103,,2026-08-26T05:54:45+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005541249993257225,94,32,0,8.0,12.0,80.0,38.0,348.0,94.0,164.8125,2.027560342295202,1.0,46.0,,True,True,True
v100_s1_p0__h2__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2,2,False,0,1849447674,ok,,,5.481602792002377,,2026-08-26T05:54:46+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003664579999167472,282,0,0,4.0,2.0,240.0,134.0,934.0,282.0,210.984375,1.2916308722142038,1.0,78.0,,True,True,True
v100_s1_p0__h2__red__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2,2,True,0,1849447674,ok,,,5.567896042004577,,2026-08-26T05:54:46+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00019225000869482756,282,0,0,4.0,2.0,240.0,134.0,934.0,282.0,211.3125,1.2916308722142038,1.0,78.0,,True,True,True
v100_s1_p0__h3__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h3,3,False,0,1849447674,ok,,,6.189908999993349,,2026-08-26T05:54:46+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003707080031745136,282,0,0,60.0,37.0,118.0,18.0,314.0,282.0,179.578125,1.3223746592913266,1.0,106.0,,True,True,True
v100_s1_p0__h3__red__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h3,3,True,0,1849447674,ok,,,6.237205375000485,,2026-08-26T05:54:46+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003642920055426657,282,0,0,60.0,37.0,118.0,18.0,314.0,282.0,181.875,1.3223746592913266,1.0,106.0,,True,True,True
v100_s1_p0__h4__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h4,4,False,0,1849447674,ok,,,13.931614000000991,,2026-08-26T05:54:47+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003417910047573969,282,0,0,85.0,73.0,115.0,20.0,309.0,282.0,248.84375,1.337974987974989,1.0,110.0,,True,True,True
v100_s1_p0__h4__red__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h4,4,True,0,1849447674,ok,,,13.96426337500452,,2026-08-26T05:54:46+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003928330115741119,282,0,0,85.0,73.0,115.0,20.0,309.0,282.0,249.40625,1.337974987974989,1.0,110.0,,True,True,True
v100_s1_p0__h2+3__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2+3,2+3,False,0,1849447674,ok,,,6.834452792012598,,2026-08-26T05:54:47+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00041937500645872205,282,0,0,60.0,37.0,118.0,18.0,314.0,282.0,183.5,1.3283280824114143,1.0,106.0,,True,True,True
v100_s1_p0__h2+3__red__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2+3,2+3,True,0,1849447674,ok,,,6.910716291007702,,2026-08-26T05:54:47+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0003524999920045957,282,0,0,60.0,37.0,118.0,18.0,314.0,282.0,182.359375,1.3283280824114143,1.0,106.0,,True,True,True
v100_s1_p0__h2+3+4__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2+3+4,2+3+4,False,0,1849447674,ok,,,15.787032624997664,,2026-08-26T05:54:48+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00021349999587982893,282,0,0,85.0,73.0,115.0,20.0,309.0,282.0,252.359375,1.3469567500400816,1.0,102.0,,True,True,True
v100_s1_p0__h2+3+4__red__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2+3+4,2+3+4,True,0,1849447674,ok,,,15.732779542013304,,2026-08-26T05:54:47+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.000196542008779943,282,0,0,85.0,73.0,115.0,20.0,309.0,282.0,253.28125,1.3469567500400816,1.0,102.0,,True,True,True
v100_s1_p10__h2__nored__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2,2,False,0,1870773349,ok,,,4.023603957990417,,2026-08-26T05:54:49+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0006301669927779585,252,2,0,22.0,8.0,159.0,38.0,424.0,254.0,183.75,1.3650575196408579,1.0,82.0,,True,True,True
v100_s1_p10__h2__red__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2,2,True,0,1870773349,ok,,,4.632340625001234,,2026-08-26T05:54:49+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00024374999338760972,252,2,0,12.0,7.0,179.0,113.0,502.0,252.0,220.625,1.3587582170915502,1.0,62.0,,True,True,True
v100_s1_p10__h3__nored__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h3,3,False,0,1870773349,ok,,,4.715200624996214,,2026-08-26T05:54:52+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0002885420108214021,252,2,0,31.0,16.0,134.0,22.0,468.0,254.0,184.90625,1.3564503367003324,1.0,70.0,,True,True,True
v100_s1_p10__h3__red__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h3,3,True,0,1870773349,ok,,,4.6785942089918535,,2026-08-26T05:54:52+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.000527540993061848,252,2,0,39.0,19.0,130.0,19.0,449.0,252.0,175.109375,1.3777079525412865,1.0,78.0,,True,True,True
v100_s1_p10__h4__nored__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h4,4,False,0,1870773349,ok,,,8.5833412919892,,2026-08-26T05:54:53+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005624579935101792,252,2,0,60.0,48.0,126.0,22.0,354.0,254.0,230.40625,1.3846348805515503,1.0,110.0,,True,True,True
v100_s1_p10__h4__red__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h4,4,True,0,1870773349,ok,,,8.938735291987541,,2026-08-26T05:54:53+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005897080118302256,252,2,0,67.0,60.0,131.0,29.0,407.0,252.0,235.09375,1.3748106461439824,1.0,98.0,,True,True,True
v100_s1_p10__h2+3__nored__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2+3,2+3,False,0,1870773349,ok,,,5.143899375005276,,2026-08-26T05:54:54+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00048308300029020756,252,2,0,31.0,16.0,134.0,22.0,468.0,254.0,183.75,1.3614332210998867,1.0,78.0,,True,True,True
v100_s1_p10__h2+3__red__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2+3,2+3,True,0,1870773349,ok,,,5.225744667011895,,2026-08-26T05:54:54+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00047400000039488077,252,2,0,39.0,19.0,130.0,19.0,449.0,252.0,178.328125,1.3584998797498802,1.0,90.0,,True,True,True
v100_s1_p10__h2+3+4__nored__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2+3+4,2+3+4,False,0,1870773349,ok,,,9.60467095799686,,2026-08-26T05:54:55+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005957910034339875,252,2,0,60.0,48.0,127.0,22.0,355.0,254.0,232.234375,1.3917123216289895,1.0,114.0,,True,True,True
v100_s1_p10__h2+3+4__red__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2+3+4,2+3+4,True,0,1870773349,ok,,,10.067434458003845,,2026-08-26T05:54:54+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.00033395799982827157,252,2,0,67.0,60.0,135.0,29.0,408.0,252.0,229.046875,1.3733784672118052,1.0,98.0,,True,True,True
v100_s1_p30__h2__nored__r0,v100_s1_p30,100,1,0.3,0.30141843971631205,100,197,h2,2,False,0,505601101,ok,,,3.3848494160047267,,2026-08-26T05:54:58+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.000560500004212372,180,16,0,2.0,2.0,159.0,137.0,445.0,197.0,239.65625,1.4293431756234818,1.0,42.0,,True,True,True
v100_s1_p30__h2__red__r0,v100_s1_p30,100,1,0.3,0.30141843971631205,100,197,h2,2,True,0,505601101,ok,,,2.560380416995031,,2026-08-26T05:54:58+00:00,iyohwan-ui-Macmini.local,3.12.14,7ebe550,dwave.samplers.SimulatedAnnealingSampler,100,0.0005764159868704155,180,16,0,3.0,2.0,136.0,69.0,410.0,180.0,200.765625,1.4723667592228293,1.0,42.0,,True,True,True
