vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_dnc,sc_rate_whole,n_subgraphs_dnc,median_diff_apsp,p_apsp,median_ratio_time,p_time
100,h2,80,80,1.0,1.0,2.5625,0.0,0.875138580080403,1.2075302224994817,7.849526548031477e-15
100,h3,80,80,1.0,1.0,26.125,-0.017469416386082348,9.11903824670816e-06,1.971898536174526,7.849526548031477e-15
100,h4,80,0,0.975,0.0,50.2875,,,1.2104387413378768,1.62273611215713e-13
100,h2+3,80,80,1.0,1.0,26.125,-0.014067441256832014,0.00011964914428680289,2.0859229069621024,7.849526548031477e-15
100,h2+3+4,80,0,0.9625,0.0,50.4125,,,1.261750364235565,8.466682565197588e-15
200,h2,80,80,1.0,1.0,7.0125,0.0,8.703359648939777e-07,1.1838379022292038,7.849526548031477e-15
200,h3,80,80,1.0,1.0,66.35,-0.02894541340133494,5.3299476861653546e-11,2.3575181742217977,7.849526548031477e-15
200,h4,80,0,1.0,0.0,121.85,,,1.960010312636535,7.849526548031477e-15
200,h2+3,80,80,1.0,1.0,66.35,-0.029823799734557843,2.01167975460601e-13,2.4670567796815925,7.849526548031477e-15
200,h2+3+4,80,0,0.975,0.0,122.2,,,1.9366816195911858,7.849526548031477e-15
300,h2,80,79,0.9875,0.9875,18.275,0.0,0.00012609061789363335,1.132340813993673,7.849526548031477e-15
300,h3,80,80,1.0,1.0,117.5,-0.027035781609013654,5.255794999164899e-13,2.7962497480741133,7.849526548031477e-15
300,h4,80,0,1.0,0.0,196.5125,,,2.868312535868528,7.849526548031477e-15
300,h2+3,80,80,1.0,1.0,117.5,-0.023139713454648936,6.963744061547028e-13,2.9990523816675143,7.849526548031477e-15
300,h2+3+4,80,0,0.9875,0.0,196.8,,,2.7353406554842925,7.849526548031477e-15
400,h2,80,78,0.975,0.975,29.55,0.0,8.555565846789269e-07,3.0426646428747555,7.849526548031477e-15
400,h3,80,80,1.0,1.0,164.4125,-0.023341147088923653,8.762344283302626e-14,3.2797044968315574,7.849526548031477e-15
400,h4,80,0,0.975,0.0,276.0625,,,4.043438874196044,7.849526548031477e-15
400,h2+3,80,80,1.0,1.0,164.4125,-0.01958571164645595,4.48017336564689e-12,3.2647902248740266,7.849526548031477e-15
400,h2+3+4,80,0,0.975,0.0,276.2875,,,3.8069196230817006,7.849526548031477e-15
500,h2,80,74,0.925,0.925,42.525,-0.0018115897295550853,1.0686544389035806e-06,3.2526416739445403,7.849526548031477e-15
500,h3,80,80,1.0,1.0,209.15,-0.030710310011696107,1.2333733044280351e-14,4.072513335152314,7.849526548031477e-15
500,h4,79,0,0.9873417721518988,0.0,347.2025316455696,,,5.107562568695889,1.1490557148514068e-14
500,h2+3,80,80,1.0,1.0,209.15,-0.02922578672730136,1.603775379612474e-14,3.9547545281151377,7.849526548031477e-15
500,h2+3+4,79,0,0.9620253164556962,0.0,347.3164556962025,,,4.777998037596924,1.1490557148514068e-14
