vertices,use_reduction,hop_key,baseline,n_pairs,n_pairs_both_sc,sc_rate_hop,sc_rate_base,median_diff_apsp,p_apsp,median_diff_time,p_time
100,False,h3,h2,200,200,1.0,1.0,0.012512609023973775,0.0021062337418528763,1.3837866464891704,1.6947629657907836e-34
100,False,h4,h2,200,191,0.955,1.0,0.022997795414460676,4.2551612889204024e-14,3.3686394590040436,1.436146412761353e-34
100,False,h2+3,h2,200,200,1.0,1.0,0.012168630751963505,0.008339463037043216,1.637935083002958,1.436146412761353e-34
100,False,h2+3+4,h2,200,187,0.935,1.0,0.022295895462563387,1.955049922130129e-12,4.364621021508356,1.436146412761353e-34
100,True,h3,h2,200,200,1.0,1.0,0.018178551386882402,2.6169917673287916e-16,1.0498718340240885,1.7465265977615158e-34
100,True,h4,h2,200,200,1.0,1.0,0.021750541125542644,6.406899025072766e-15,3.534339646001172,1.436146412761353e-34
100,True,h2+3,h2,200,200,1.0,1.0,0.015714748495055275,3.014072253630174e-17,1.3822871880038292,1.436146412761353e-34
100,True,h2+3+4,h2,200,200,1.0,1.0,0.021034291325958576,3.8407763365218406e-14,4.573108791497361,1.436146412761353e-34
200,False,h3,h2,200,200,1.0,1.0,0.004624081355566245,0.6578223156894378,3.876706186994852,2.6201002888741085e-34
200,False,h4,h2,200,198,0.99,1.0,0.010808848431049456,0.07765328585044208,15.941870771013782,1.436146412761353e-34
200,False,h2+3,h2,200,200,1.0,1.0,0.006272511094427946,0.16946911989570002,4.486814666488499,1.6199618565725037e-34
200,False,h2+3+4,h2,200,194,0.97,1.0,0.010773122919826461,0.014903216462922912,18.25755077100621,1.436146412761353e-34
200,True,h3,h2,200,200,1.0,1.0,0.00837962539972803,0.18312134640843614,3.5180540419896715,2.0605994648315414e-34
200,True,h4,h2,200,200,1.0,1.0,0.014716643734565604,0.5377718053414828,16.287981770496117,1.436146412761353e-34
200,True,h2+3,h2,200,200,1.0,1.0,0.008623649452174087,0.5044955353763731,4.257906311991974,1.436146412761353e-34
200,True,h2+3+4,h2,200,200,1.0,1.0,0.013608924855199378,0.5305494615840929,19.019437186994764,1.436146412761353e-34
300,False,h3,h2,200,194,1.0,0.97,0.003493196680017352,0.19380237625652386,12.785732062497118,2.5810859240030472e-34
300,False,h4,h2,200,193,0.99,0.97,0.01269913410618373,0.6999044415322857,74.0556934795095,1.436146412761353e-34
300,False,h2+3,h2,200,194,1.0,0.97,0.004222107107503592,0.11373092805533347,14.322276333499758,2.0298682531715944e-34
300,False,h2+3+4,h2,200,191,0.98,0.97,0.017573731081257593,0.38255224353609585,78.10025158399367,1.436146412761353e-34
300,True,h3,h2,200,200,1.0,1.0,0.002128763408039913,0.05907923037513569,12.77510952099692,1.480059211491654e-34
300,True,h4,h2,200,200,1.0,1.0,0.00757115821129295,0.6622412221109137,57.68028531201708,1.436146412761353e-34
300,True,h2+3,h2,200,200,1.0,1.0,0.002197773689835647,0.0257161843637298,14.03035379150242,1.436146412761353e-34
300,True,h2+3+4,h2,200,199,0.995,1.0,0.008727072815645442,0.8191330301367808,60.87772972951643,1.436146412761353e-34
400,False,h3,h2,200,187,1.0,0.935,0.008461383123934407,0.9505109177131341,34.61128772899974,3.6433034333550743e-34
400,False,h4,h2,200,178,0.945,0.935,0.021990649109942195,0.0009007135050669177,137.57050743801665,1.436146412761353e-34
400,False,h2+3,h2,200,187,1.0,0.935,0.006847776405568107,0.9612597806454131,36.937242458501714,2.9101012251863306e-34
400,False,h2+3+4,h2,200,176,0.935,0.935,0.022519254960064683,0.00037666561639308386,151.14898775001348,1.436146412761353e-34
400,True,h3,h2,200,200,1.0,1.0,0.007619819764938196,0.2769609648945649,34.888380374992266,1.436146412761353e-34
400,True,h4,h2,200,200,1.0,1.0,0.020383453091312176,0.9067520147244325,123.06862329201249,1.436146412761353e-34
400,True,h2+3,h2,200,200,1.0,1.0,0.007599129089009837,0.26422711519136577,36.49476689599396,1.436146412761353e-34
400,True,h2+3+4,h2,200,200,1.0,1.0,0.020331104985808146,0.8951595878554448,129.62874254250346,1.436146412761353e-34
500,False,h3,h2,200,169,1.0,0.845,0.009560699612470636,0.7446296087928905,71.98272772900236,1.5253056987437963e-34
500,False,h4,h2,195,166,0.9794871794871794,0.8615384615384616,0.02284436583501437,0.0002315002829049028,487.17112208300387,9.482403857733062e-34
500,False,h2+3,h2,200,169,1.0,0.845,0.010293616614844625,0.8035080239713408,74.69436812549247,1.5253056987437963e-34
500,False,h2+3+4,h2,195,161,0.9487179487179487,0.8615384615384616,0.025545196431189243,2.8748443370137374e-06,500.94423270800326,9.482403857733062e-34
500,True,h3,h2,200,199,1.0,0.995,0.0071866870669572425,0.00912156864491747,74.81745391699951,1.436146412761353e-34
500,True,h4,h2,200,198,0.995,0.995,0.015149840700275807,0.3172060238324653,344.86014235400944,1.436146412761353e-34
500,True,h2+3,h2,200,199,1.0,0.995,0.0059357658484266995,0.0029412524814607737,76.21686914598831,1.436146412761353e-34
500,True,h2+3+4,h2,200,197,0.99,0.995,0.01632367549073921,0.40761440142827865,358.225414000015,1.436146412761353e-34
