vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_on,sc_rate_off,median_diff_apsp,p_apsp,median_diff_time,median_ratio_time,p_time
100,h2,200,200,1.0,1.0,0.0,0.12634070592351893,-0.12207997999939835,0.9457971126531715,2.623107669167546e-18
100,h3,200,200,1.0,1.0,0.00023729357062296508,1.8856747683186974e-10,-0.17897981350688497,0.9483564210439681,9.773891548245168e-18
100,h4,200,191,1.0,0.955,0.0,0.5737120602017727,-0.1780171670106938,0.9711895324683008,8.474050514954247e-15
100,h2+3,200,200,1.0,1.0,0.0007174249712110781,2.6208055803446508e-11,-0.16340841601777356,0.949203395086336,1.6005218492982892e-15
100,h2+3+4,200,187,1.0,0.935,0.0,0.42400684933097954,-0.2013813340163324,0.9737008693124369,6.399745407856054e-13
200,h2,200,200,1.0,1.0,0.0,0.006425518127063211,-0.6128473135177046,0.9438843930076317,1.2119315123602072e-26
200,h3,200,200,1.0,1.0,0.0029623721606556463,4.324844883021055e-12,-0.6342321249976521,0.9437817066437997,3.568514779767268e-13
200,h4,200,198,1.0,0.99,0.0,0.07886656616629047,-1.0875892299955012,0.9679473993164665,9.97037360834454e-08
200,h2+3,200,200,1.0,1.0,0.006106311227861205,4.198965136554974e-14,-0.5752020829968387,0.9527593328876973,1.4539744278526933e-11
200,h2+3+4,200,194,1.0,0.97,0.0,0.12124366864772926,-1.1364258755129413,0.9679890165616949,3.831824791329172e-07
300,h2,200,194,1.0,0.97,0.0,0.14488560586967236,-2.0428622705003363,0.9471084488705084,1.0645060247569748e-20
300,h3,200,200,1.0,1.0,0.0,0.00011409137418845387,-2.299281667001196,0.9333458818634178,3.8203679598066594e-11
300,h4,200,198,1.0,0.99,0.0,0.0193230637461412,-3.6137175830081105,0.9562603004234964,2.3487444920287344e-06
300,h2+3,200,200,1.0,1.0,0.0,0.0004395310505107774,-2.3342615834844764,0.9371529809371297,5.425970201852732e-12
300,h2+3+4,200,195,0.995,0.98,0.0,0.050347155653959856,-3.9603116455036798,0.9425086322257863,4.1993928960897826e-06
400,h2,200,187,1.0,0.935,0.0,0.0027344646374296445,-2.4511309994923067,0.9718487005994334,4.0632267000834686e-14
400,h3,200,200,1.0,1.0,0.0,7.4810465431762294e-06,-2.1354070829911507,0.984595120432072,7.589315044476349e-05
400,h4,200,189,1.0,0.945,0.0,0.4760059823893482,-7.358921687511611,0.9559670571671728,3.982190819864274e-07
400,h2+3,200,200,1.0,1.0,0.0,9.931521964128835e-05,-3.2286641464961576,0.9707775425555321,1.3525389999429875e-06
400,h2+3+4,200,187,1.0,0.935,0.0,0.46443036975743845,-7.032669624997652,0.9546519146382784,1.775993186634433e-05
500,h2,200,169,0.995,0.845,0.0,0.4140668608638932,-5.2890852090058615,0.9128074826502277,4.165388314847619e-16
500,h3,200,200,1.0,1.0,0.0020618066349570308,5.991579736713219e-10,-9.108234896004433,0.9633783570651135,5.453332260655287e-08
500,h4,195,190,0.9948717948717949,0.9794871794871794,0.0,0.5644930948511316,-8.351776207971852,0.9833692803737708,0.0071631229109358815
500,h2+3,200,200,1.0,1.0,0.0010745490273715852,2.4388093612857814e-09,-9.709189353998227,0.9564513942090112,8.29620367369376e-07
500,h2+3+4,195,183,0.9897435897435898,0.9487179487179487,0.0,0.10371911081597905,-7.423345541988965,0.9872061414614275,0.007300262176552
