graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v100_s0_p0,100,0.0,v100_s0_p0__h2__nored__r1,h2,False,1,1.3011614184323599,32.0,2.0914963329560123,100100100100010001001101010111011101111010010001000100011010001001010110101011101110010001011010100010010011011101110110101011101101010110100000100101100101100100100100101111110110
v100_s1_p0,100,0.0,v100_s1_p0__h2__red__r4,h2,True,4,1.2950690374687683,32.0,2.013795625010971,011001011001001001011011011010100000100110010110111001100111011111011101110101000101000100010010100101110111011010101010111011011011100000001000101000100100001001101101100110010111
v100_s2_p0,100,0.0,v100_s2_p0__h2__red__r3,h2,True,3,1.296308375852046,32.0,2.0576948749949224,100110110110100110101010001100100100111011101101010000101000100011011100100110111011101110111010101001001010001001011001000110101101010010100010000010100010111011010001010001001001
v100_s3_p0,100,0.0,v100_s3_p0__h2__nored__r1,h2,False,1,1.2996710073283109,32.0,2.090979792003054,101001101011110100010011001001011111010101001001000110010111110101110110110101101001010001100101110011011101101101010010010100011010110100101010001000010000101111101110101000010100
v100_s4_p0,100,0.0,v100_s4_p0__h2__nored__r0,h2,False,0,1.305726680858582,32.0,2.0380235000047833,010100010001101110101100101000100100101001101110111001010000100101011011011110110100000101000101011110100101110111000101101001010001000101101000110011011001011001100110011011011100
v100_s5_p0,100,0.0,v100_s5_p0__h2__red__r4,h2,True,4,1.3035911881575832,32.0,1.9453052079770714,100110010001000110110111011011001010010110011011011011010100101000101000110101101110111110111011001100110110110010011001010001100110110011011101101010000101001001011011010110001001
v100_s6_p0,100,0.0,v100_s6_p0__h2__nored__r2,h2,False,2,1.3029561273710095,32.0,2.161121000011917,011011100110111110110011001100101101010101001001101101001010100000100101101011111010111001011001011100101001011101010100010100000100111111011111001010001011011011010110010011001101
v100_s7_p0,100,0.0,v100_s7_p0__h2__nored__r4,h2,False,4,1.3054080739357012,32.0,2.1538597919861786,100101100101100110100011010111110111011011010001010010010010101001011100110110111110010100010000101101011111011100101101000110101101000010100010000101100001010010010000010011111111
v100_s8_p0,100,0.0,v100_s8_p0__h2__nored__r0,h2,False,0,1.2993210113646765,32.0,2.0761426659883,010100101001010001001100100001011101111110111010010100010100110101011110110101101001000110111011110010100010001001100110111011101110100100101000100100100100011010111001101111100010
v100_s9_p0,100,0.0,v100_s9_p0__h2__nored__r3,h2,False,3,1.296717482655981,32.0,2.0409023329848424,010110101110111110101010000010001010001111100101000110101010100011010111010101101011100101000011110010100101110101100110111001100100010110101000100010000001011001101011101011111010
v100_s0_p10,100,0.1,v100_s0_p10__h2__nored__r4,h2,False,4,1.437184825819848,40.0,1.8394200829789042,101010110110100101001011001101010111010101100100001101001011011010001111001101111101101000100010110111101010001100100101101011011111001010001000101010001010001101
v100_s1_p10,100,0.1,v100_s1_p10__h2__red__r4,h2,True,4,1.4486153968827704,50.0,1.3425668749841861,101111101110010101000000010111111010101101101010100100100101110110110110100101000101001101110111001010110101001011011100010111001000001101010110110010111000010100
