vertices,hop_key,use_reduction,n_best,n_graphs
100,h2,False,16,40
100,h2,True,7,40
100,h3,False,7,40
100,h3,True,2,40
100,h2+3,False,10,40
200,h2,False,8,40
200,h2,True,10,40
200,h3,False,6,40
200,h3,True,5,40
200,h4,False,1,40
200,h4,True,1,40
200,h2+3,False,5,40
200,h2+3,True,5,40
300,h2,False,5,40
300,h2,True,12,40
300,h3,False,4,40
300,h3,True,7,40
300,h2+3,False,1,40
300,h2+3,True,9,40
300,h2+3+4,True,2,40
400,h2,False,7,40
400,h2,True,9,40
400,h3,False,1,40
400,h3,True,12,40
400,h4,True,7,40
400,h2+3,False,1,40
400,h2+3,True,2,40
400,h2+3+4,True,1,40
500,h2,False,9,40
500,h2,True,8,40
500,h3,False,3,40
500,h3,True,4,40
500,h4,False,1,40
500,h4,True,5,40
500,h2+3,True,7,40
500,h2+3+4,True,3,40
