run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p0__h2__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h2,2,False,True,0,151413802,ok,,,1.3080572090111673,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00022995797917246819,176,4,0,1.0,,180.0,180.0,484.0,180.0,237.59375,1.3193821802413537,1.0,32.0,-292.0,True,True
v100_s0_p0__h2__red__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h2,2,True,True,0,151413802,ok,,,1.2523937079822645,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002668749657459557,176,4,0,1.0,,176.0,176.0,480.0,176.0,234.171875,1.3254435852488404,1.0,32.0,,True,True
v100_s0_p0__h3__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h3,3,False,True,0,151413802,ok,,,2.3898642910062335,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002610000083222985,176,4,0,11.0,12.0,80.0,60.0,242.0,180.0,246.84375,1.315567765815088,1.0,36.0,,True,True
v100_s0_p0__h3__red__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h3,3,True,True,0,151413802,ok,,,2.0953650409937836,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002786249970085919,176,4,0,6.0,10.0,89.0,56.0,281.0,176.0,216.078125,1.3519912397630718,1.0,52.0,,True,True
v100_s0_p0__h4__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h4,4,False,True,0,151413802,ok,,,2.8136547920294106,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002619589795358479,176,4,0,17.0,32.0,118.0,98.0,492.0,180.0,224.671875,1.375326705050406,1.0,56.0,,True,True
v100_s0_p0__h4__red__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h4,4,True,True,0,151413802,ok,,,2.765199000015855,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00024233304429799318,176,4,0,24.0,40.0,99.0,81.0,403.0,176.0,206.90625,1.401929480946853,1.0,64.0,,True,True
v100_s0_p0__h2+3__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h2+3,2+3,False,True,0,151413802,ok,,,2.569876583002042,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00027179199969395995,176,4,0,11.0,12.0,80.0,60.0,242.0,180.0,246.265625,1.3195511022284596,1.0,40.0,,True,True
v100_s0_p0__h2+3__red__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h2+3,2+3,True,True,0,151413802,ok,,,2.290822708979249,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00027362501714378595,176,4,0,6.0,10.0,89.0,56.0,281.0,176.0,215.203125,1.3540331706156088,1.0,64.0,,True,True
v100_s0_p0__h2+3+4__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h2+3+4,2+3+4,False,True,0,151413802,ok,,,3.428129290987272,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002501250128261745,176,4,0,17.0,32.0,118.0,98.0,504.0,180.0,225.4375,1.387941290488077,1.0,52.0,,True,True
v100_s0_p0__h2+3+4__red__r0,v100_s0_p0,100,0,0.0,0.0,100,180,h2+3+4,2+3+4,True,True,0,151413802,ok,,,3.293241625011433,,2026-08-29T06:07:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002364169922657311,176,4,0,24.0,40.0,99.0,81.0,411.0,176.0,207.53125,1.378589711486761,1.0,52.0,,True,True
v100_s0_p10__h2__nored__r0,v100_s0_p10,100,0,0.1,0.1,100,162,h2,2,False,True,0,2002666364,ok,,,1.156202333047986,,2026-08-29T06:07:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002824159455485642,144,16,0,1.0,,162.0,162.0,390.0,162.0,223.84375,1.4747015037019418,0.84,40.0,-226.0,True,True
