vertices,remove_ratio_target,hop_key,use_reduction,n_runs,n_ok,n_timeout,n_error,n_sc,time_mean,time_std,n_subgraphs_mean,qubo_vars_mean,n_edges_mean,n_edges_solved_mean,sc_rate,apsp_mean,apsp_std,apsp_min,apsp_max
100,0.0,h2,False,50,50,0,0,50,2.0869568866770716,0.16529790746343392,1.0,180.0,180.0,180.0,1.0,1.3139223939416322,0.008369429534300865,1.296717482655981,1.3305096568942332
100,0.0,h2,True,50,50,0,0,50,1.984331418381771,0.1583620917886615,1.0,176.0,180.0,176.0,1.0,1.3149481807487384,0.008807441310077222,1.2950690374687683,1.3355488310131756
100,0.0,h3,False,50,50,0,0,50,3.760636021726532,0.35279102987506744,11.64,80.06,180.0,180.0,1.0,1.3531114101406558,0.01581035105978216,1.315567765815088,1.4004584566585392
100,0.0,h3,True,50,50,0,0,50,3.4820894100610165,0.3331081472687901,10.82,80.82,180.0,176.0,1.0,1.3664297007217987,0.01604220584724233,1.326329182288623,1.394245855567152
100,0.0,h4,False,50,50,0,0,50,4.7032112458371556,0.4170048776239096,29.14,93.1,180.0,180.0,1.0,1.3763720037426028,0.01874756095005547,1.342464770210305,1.4342509853980374
100,0.0,h4,True,50,50,0,0,50,4.534628026738065,0.4299128397617501,27.56,98.28,180.0,176.0,1.0,1.380742801038658,0.012146526354036262,1.3514019981306007,1.4040895425463042
100,0.0,h2+3,False,50,50,0,0,50,4.108036231702426,0.3940617754012192,11.64,80.06,180.0,180.0,1.0,1.355878468704328,0.01617858950011485,1.3195511022284596,1.3909944613384855
100,0.0,h2+3,True,50,50,0,0,50,3.802094514215132,0.3594437077605719,10.82,80.82,180.0,176.0,1.0,1.3663146068755907,0.0158221312251031,1.3241102787751589,1.3933691685616711
100,0.0,h2+3+4,False,50,50,0,0,50,5.637360188344028,0.49674667745196166,29.14,93.1,180.0,180.0,1.0,1.3787133909373055,0.017481536106066464,1.337135242357161,1.4184732371345516
100,0.0,h2+3+4,True,50,50,0,0,50,5.468992909117369,0.5081541902253189,27.56,98.28,180.0,176.0,1.0,1.3837927733770081,0.011468920889135172,1.3606161515417228,1.4109390501061558
100,0.1,h2,False,50,50,0,0,50,1.7350117016804871,0.23550361438812392,1.0,162.0,162.0,162.0,1.0,1.4823332659649,0.02518071720732117,1.4307546102144977,1.5327589039006095
100,0.1,h2,True,50,50,0,0,50,1.379262803301681,0.14455924859720812,1.0,146.2,162.0,146.2,1.0,1.4879029225043068,0.023569073443591288,1.4460805252712532,1.5549058123166737
100,0.1,h3,False,50,50,0,0,50,3.302940510879271,0.34831218125974267,4.5,85.58,162.0,162.0,1.0,1.4920996028214153,0.027204724566066825,1.4394775243901792,1.5616330278455883
100,0.1,h3,True,50,50,0,0,50,2.788299104196485,0.27123815758759284,4.4,83.14,162.0,146.2,1.0,1.5006326952248203,0.024014200952716964,1.4493075531288497,1.5561633481722537
100,0.1,h4,False,50,45,0,5,45,3.3455461074854247,0.470422567729314,14.28888888888889,98.44444444444444,162.0,162.0,0.9,1.5164978216673342,0.025959199854060824,1.462985861913221,1.5688559419388217
100,0.1,h4,True,50,45,0,5,45,3.0251687776180916,0.39817229458474435,13.977777777777778,96.55555555555556,162.0,145.88888888888889,0.9,1.5187738381880227,0.024835805987259953,1.4658907800788317,1.5612709177499673
100,0.1,h2+3,False,50,50,0,0,50,3.6087170833407436,0.3753560988846744,4.5,85.58,162.0,162.0,1.0,1.494859372250837,0.0248834914122108,1.4342756084774766,1.550295423448267
100,0.1,h2+3,True,50,50,0,0,50,3.0716080199996942,0.28634529072607035,4.4,83.14,162.0,146.2,1.0,1.5050556951980432,0.02197315224109602,1.459834464736422,1.558156939037057
100,0.1,h2+3+4,False,50,45,0,5,45,4.129602019139566,0.5841852723233385,14.6,97.57777777777778,162.0,162.0,0.9,1.5193836747969875,0.02580855448702397,1.4648729586251823,1.5738510345203658
100,0.1,h2+3+4,True,50,45,0,5,45,3.74431898492272,0.48169627193435227,13.844444444444445,96.26666666666667,162.0,145.88888888888889,0.9,1.5171020516326255,0.024319073913268117,1.464229991290142,1.5717062085105673
100,0.3,h2,False,50,50,0,0,45,0.8433694650360849,0.15605233954304887,1.0,126.0,126.0,126.0,0.9,2.202771221862437,0.15590329832521807,1.887024405280669,2.5808654517866647
100,0.3,h2,True,50,50,0,0,50,0.4213183541991748,0.04008199080489092,1.0,69.7,126.0,69.7,1.0,2.2287782662949183,0.13763484202456125,1.9660526459889753,2.4964739246847314
100,0.3,h3,False,50,50,0,0,50,1.1983298068121075,0.4612638722373518,1.18,117.88,126.0,126.0,1.0,2.055393651138742,0.09483420397331714,1.9116366703871193,2.2213916118324954
100,0.3,h3,True,50,50,0,0,50,0.6057028832973447,0.1300401583101425,1.12,67.28,126.0,69.7,1.0,2.134848959927297,0.10437273322014862,1.8941793101466997,2.3351210724625
100,0.3,h4,False,50,40,0,10,26,1.9616141440789214,0.33029712120140553,4.55,87.7,126.0,126.0,0.52,2.3595060918427704,0.28847580377759185,1.9616553341334753,2.9030669831787668
100,0.3,h4,True,50,45,0,5,45,1.073195003340952,0.13387103656754762,3.6444444444444444,65.95555555555555,126.0,69.11111111111111,0.9,2.3474621643789173,0.2324238959821956,1.9262724146322827,3.000573537949584
100,0.3,h2+3,False,50,50,0,0,50,1.2579549026011956,0.5014256043187943,1.18,117.88,126.0,126.0,1.0,2.0718792642944694,0.11932985291347542,1.9081450122301498,2.4368481951120606
100,0.3,h2+3,True,50,50,0,0,50,0.6365943598735612,0.1501720529151491,1.12,67.28,126.0,69.7,1.0,2.1496171091390464,0.09687237914828278,1.9141553593656437,2.3326049918807117
100,0.3,h2+3+4,False,50,40,0,10,22,2.4814683391177095,0.3863267485420447,4.65,86.0,126.0,126.0,0.44,2.3138857270494806,0.27528550595949125,1.9766966476722412,2.9427703033242616
100,0.3,h2+3+4,True,50,45,0,5,45,1.351869909055531,0.1572188008060562,3.6444444444444444,66.24444444444444,126.0,69.11111111111111,0.9,2.366677013682017,0.2447820616697473,1.953415565860403,2.8556209425173877
100,0.5,h2,False,50,50,0,0,50,0.6993502699595411,0.09832893160178487,1.0,108.5,108.5,108.5,1.0,2.8336935577631817,0.22336825706687266,2.4783931073563714,3.4458916331063394
100,0.5,h2,True,50,50,0,0,50,0.22178018495673313,0.029870424301787726,1.0,24.4,108.5,24.4,1.0,2.893990691599493,0.3219903459822178,2.4287532221830026,4.022704961431646
100,0.5,h3,False,50,50,0,0,50,0.7195007866993547,0.10632501230616256,1.0,108.5,108.5,108.5,1.0,2.8037855112693597,0.2576877129618759,2.428565924102494,3.5426282460136194
100,0.5,h3,True,50,50,0,0,50,0.25001075500156733,0.03430717441621905,1.0,24.4,108.5,24.4,1.0,3.0513994380462997,0.30385599003093383,2.6201794052381175,3.497229277977514
100,0.5,h4,False,50,25,0,25,5,0.7245228241442238,0.2594664681007582,1.28,230.8,108.5,108.4,0.1,3.087768581367705,0.05821856805374106,3.0069485509409684,3.1392762955780986
100,0.5,h4,True,50,0,0,50,0,0.195720054222038,0.02698374569220467,,,108.5,,0.0,,,,
100,0.5,h2+3,False,50,50,0,0,50,0.757216697500553,0.09673534852467361,1.0,108.5,108.5,108.5,1.0,2.805144327201483,0.2777608216431572,2.407290108349357,3.684533871437128
100,0.5,h2+3,True,50,50,0,0,50,0.2607635199569631,0.03707142635952245,1.0,24.4,108.5,24.4,1.0,3.053807704288074,0.31892136529087156,2.6201794052381175,3.497229277977514
100,0.5,h2+3+4,False,50,25,0,25,8,0.9088188074354548,0.4071247555958899,1.68,184.4,108.5,108.4,0.16,3.098559148978413,0.12047113626529689,2.9530695455808234,3.2918183746336833
100,0.5,h2+3+4,True,50,0,0,50,0,0.20555227003991605,0.029893810791456234,,,108.5,,0.0,,,,
200,0.0,h2,False,50,50,0,0,50,7.059853169198614,0.5161973457063379,1.0,364.0,364.0,364.0,1.0,1.2512780041239864,0.005229268628874589,1.24086537794349,1.2624736474141314
200,0.0,h2,True,50,50,0,0,50,6.901203419918893,0.5072677189027621,1.0,360.0,364.0,360.0,1.0,1.2525218782590484,0.006199041777922471,1.2340832520619456,1.2626706896155884
200,0.0,h3,False,50,50,0,0,50,12.166618139197817,0.9906531554082202,37.3,153.2,364.0,364.0,1.0,1.3056547593091394,0.015001049156162868,1.265935009912863,1.3366612698346836
200,0.0,h3,True,50,50,0,0,50,11.518148446620907,0.9661634646932451,44.28,142.52,364.0,360.0,1.0,1.3111583684245773,0.01233079887732867,1.2805142056434258,1.335768962704854
200,0.0,h4,False,50,50,0,0,50,15.696229046677471,1.5170739293870619,82.42,165.46,364.0,364.0,1.0,1.3556731430887137,0.012042279805988902,1.3233132984528677,1.3805499615913457
200,0.0,h4,True,50,50,0,0,50,16.109590620800155,1.8162650183718916,90.06,145.76,364.0,360.0,1.0,1.3538153870734309,0.009292131346149307,1.3314234345455753,1.379049368265338
200,0.0,h2+3,False,50,50,0,0,50,12.909366328418255,1.0476134980598502,37.3,153.2,364.0,364.0,1.0,1.3070795108352966,0.012918899579913618,1.2817044481879203,1.3357019916796085
200,0.0,h2+3,True,50,50,0,0,50,12.232336590863998,1.0254440198445283,44.28,142.52,364.0,360.0,1.0,1.3140524202748833,0.011859955263804796,1.2798551005284964,1.3345746683517359
200,0.0,h2+3+4,False,50,50,0,0,50,17.74499937600107,1.6506453477522285,82.42,165.46,364.0,364.0,1.0,1.3557188546568808,0.0114274304782306,1.3217231913126206,1.3814363861084817
200,0.0,h2+3+4,True,50,50,0,0,50,18.150502437462563,1.9027943178205207,90.06,145.76,364.0,360.0,1.0,1.3548034372120994,0.008282057468858763,1.3386570356673246,1.37622487092659
200,0.1,h2,False,50,50,0,0,50,5.912652097422397,0.5936114893904956,1.0,328.0,328.0,328.0,1.0,1.4073398561225463,0.017444817800704327,1.376225931219099,1.4475681210413198
200,0.1,h2,True,50,50,0,0,50,4.890211720842635,0.422538585645464,1.0,303.1,328.0,303.1,1.0,1.4099871011371314,0.018336101117721278,1.3823610796796153,1.452071033447697
200,0.1,h3,False,50,50,0,0,50,10.007880749932957,1.543492536200437,18.76,149.0,328.0,328.0,1.0,1.4119568652105474,0.018098873540633456,1.3753497902447933,1.4580565146886035
200,0.1,h3,True,50,50,0,0,50,8.890608566603623,1.1354905482951334,17.46,148.58,328.0,303.1,1.0,1.41802495363347,0.019886884586548668,1.3727008049235219,1.4646460676865944
200,0.1,h4,False,50,50,0,0,50,11.378699539121008,1.140546735539273,41.3,161.86,328.0,328.0,1.0,1.427264283484494,0.024667991027425486,1.3822424029236715,1.487807450947851
200,0.1,h4,True,50,50,0,0,50,10.34313863081974,0.9876280948868972,37.02,170.46,328.0,303.1,1.0,1.4295119872614317,0.02294307628177222,1.3809697434947934,1.483256477993561
200,0.1,h2+3,False,50,50,0,0,50,10.742122781720246,1.615092456066119,18.76,149.0,328.0,328.0,1.0,1.4076353705684088,0.017732539289841715,1.3770416205853464,1.4551891864464481
200,0.1,h2+3,True,50,50,0,0,50,9.56850978746661,1.2004454407152043,17.46,148.58,328.0,303.1,1.0,1.4168802156679607,0.019415675022268496,1.3803927451646396,1.462720444085945
200,0.1,h2+3+4,False,50,50,0,0,50,13.240129629083675,1.2903781488034942,41.36,161.92,328.0,328.0,1.0,1.4287514591902877,0.025299449225326988,1.3871890060727163,1.4820812453233931
200,0.1,h2+3+4,True,50,50,0,0,50,12.169891187518369,1.16707021924215,37.12,171.1,328.0,303.1,1.0,1.4287977453589316,0.021605609922120704,1.3875537079254106,1.4777202545795316
200,0.3,h2,False,50,50,0,0,32,2.101554018363822,0.24714548969287362,1.0,255.0,255.0,255.0,0.64,2.293277049209324,0.294716389717349,1.871633539301716,2.8348057217731153
200,0.3,h2,True,50,50,0,0,46,0.9786056609242223,0.09553064639844981,1.0,153.6,255.0,153.6,0.92,2.1729715729763943,0.2638302238447341,1.8431496113452683,3.413845109980838
200,0.3,h3,False,50,50,0,0,48,5.082109770722455,2.813485177170822,1.84,202.7,255.0,255.0,0.96,2.045295923574432,0.18696011362332632,1.8138404615436687,2.5303735220203767
200,0.3,h3,True,50,50,0,0,50,1.9638527800200973,0.7594313077851454,1.84,135.54,255.0,153.6,1.0,2.0286102143661506,0.12099053600818006,1.8507360186645228,2.307497757524737
200,0.3,h4,False,50,40,0,10,15,5.761361149940639,0.952997872963828,10.975,149.3,255.0,255.0,0.3,2.0839297635925624,0.09845063735663788,1.9781388363117556,2.2673839783114267
200,0.3,h4,True,50,50,0,0,50,3.2000904033426196,0.3153748132456563,8.7,124.48,255.0,153.6,1.0,2.079997396014819,0.17209236030313907,1.8211542056744834,2.466342816196587
200,0.3,h2+3,False,50,50,0,0,47,5.402384019981837,2.9963868356146377,1.84,202.7,255.0,255.0,0.94,2.046876588851481,0.1636719184487953,1.8065967516182435,2.573821264779226
200,0.3,h2+3,True,50,50,0,0,50,2.086691484962357,0.8601361246147782,1.84,135.54,255.0,153.6,1.0,2.0198304779820804,0.1238811914504417,1.8587516732966427,2.394633750710533
200,0.3,h2+3+4,False,50,40,0,10,15,6.977872324137715,1.1180406069493138,11.225,147.25,255.0,255.0,0.3,2.1200277588875323,0.08228923478406645,2.0119365321310374,2.29577542868512
200,0.3,h2+3+4,True,50,50,0,0,49,3.9645876591186973,0.3665950839221024,8.7,125.0,255.0,153.6,0.98,2.0729537240166147,0.1639139343581633,1.8400239685139939,2.396545177922127
200,0.5,h2,False,50,50,0,0,15,1.3915331116621383,0.15012593103666488,1.0,213.8,213.8,213.8,0.3,2.981942469668103,0.24231099680819612,2.683469470641144,3.6229576239065677
200,0.5,h2,True,50,50,0,0,49,0.3506512041378301,0.03567571940648429,1.0,51.3,213.8,51.3,0.98,2.8034320358223925,0.2753169286494979,2.2183928682205742,3.619649478019686
200,0.5,h3,False,50,50,0,0,25,1.471630708317971,0.15648642790378076,1.0,213.8,213.8,213.8,0.5,2.9589296850224063,0.26400434945772894,2.543724846146396,3.657944670355717
200,0.5,h3,True,50,50,0,0,50,0.4354235074610915,0.048060411195896505,1.0,51.3,213.8,51.3,1.0,2.798146136068112,0.25677440478150554,2.2946765181929263,3.286530736198854
200,0.5,h4,False,50,35,0,15,0,2.4624193108594046,1.1627728057994853,2.6285714285714286,326.85714285714283,213.8,213.14285714285714,0.0,,,,
200,0.5,h4,True,50,15,0,35,15,0.43107623676187357,0.18837036667294116,3.3333333333333335,42.666666666666664,213.8,53.333333333333336,0.3,2.6446458194649543,0.21896716842682312,2.439511295064297,2.9826860854700623
200,0.5,h2+3,False,50,50,0,0,21,1.5633652950217947,0.15736741223772732,1.0,213.8,213.8,213.8,0.42,3.0621023887726837,0.29395166897088854,2.4521531143995334,3.5364106203475867
200,0.5,h2+3,True,50,50,0,0,50,0.4460310992610175,0.04872809582967749,1.0,51.3,213.8,51.3,1.0,2.797034495309796,0.2560025933260958,2.3689355724934087,3.253108567802242
200,0.5,h2+3+4,False,50,30,0,20,0,2.938234955880325,1.4554223248660045,3.2666666666666666,277.6666666666667,213.8,213.33333333333334,0.0,,,,
200,0.5,h2+3+4,True,50,15,0,35,15,0.5107791941764299,0.2657303992465621,3.933333333333333,34.6,213.8,53.333333333333336,0.3,2.6419008702696987,0.2109153140603897,2.439511295064296,2.9545513894198456
300,0.0,h2,False,50,50,0,0,50,16.78057011170662,1.115781293200863,1.0,577.0,577.0,577.0,1.0,1.2176168308168274,0.004488425291119364,1.2020678756712506,1.2261775381603017
300,0.0,h2,True,50,50,0,0,50,16.60548234741902,1.116632021382876,1.0,573.0,577.0,573.0,1.0,1.218025179046828,0.004788051611292602,1.2040586351592828,1.2280853334753838
300,0.0,h3,False,50,50,0,0,50,30.27919375250698,2.6958601920906924,67.72,225.54,577.0,577.0,1.0,1.2751516059851062,0.013102899433801786,1.2441611815097489,1.302284995259352
300,0.0,h3,True,50,50,0,0,50,31.05000904921675,2.7773339298126447,102.78,183.22,577.0,573.0,1.0,1.2969952781605791,0.01366217137421849,1.2616414161981495,1.3246699686947847
300,0.0,h4,False,50,50,0,0,50,46.934771138463404,5.217429459191217,129.78,228.46,577.0,577.0,1.0,1.3059008448422673,0.013252536925474966,1.279632005987832,1.3335758817947234
300,0.0,h4,True,50,50,0,0,50,46.730052650821165,6.038725829885129,162.56,197.58,577.0,573.0,1.0,1.3455261239519516,0.007591971024237298,1.3301569290190902,1.3626425343018804
300,0.0,h2+3,False,50,50,0,0,50,31.52802194910124,2.7541967468198383,67.72,225.54,577.0,577.0,1.0,1.273701416273898,0.01257185101235254,1.242093183665975,1.309373134887862
300,0.0,h2+3,True,50,50,0,0,50,32.25729344754713,2.8404057503135443,102.78,183.22,577.0,573.0,1.0,1.2973181619206855,0.012729375198979901,1.2679305683339825,1.3224874776806947
300,0.0,h2+3+4,False,50,50,0,0,50,50.416494714198635,5.625773616891842,130.14,228.74,577.0,577.0,1.0,1.3143484976748265,0.012363015906521382,1.2912186810460962,1.3379071274626264
300,0.0,h2+3+4,True,50,50,0,0,50,50.31020455007674,6.263981601000401,162.58,197.28,577.0,573.0,1.0,1.3441053261675244,0.007920235668873475,1.316415411262256,1.3614300417736296
300,0.1,h2,False,50,50,0,0,50,13.497268146659481,1.864053674610986,1.0,519.0,519.0,519.0,1.0,1.3627716937689052,0.014667032889618075,1.3308174111992084,1.394209694338819
300,0.1,h2,True,50,50,0,0,50,11.900851864962606,1.0643054314536624,1.0,483.8,519.0,483.8,1.0,1.3610583405250447,0.01571404983613366,1.318759097953956,1.3981446358610925
300,0.1,h3,False,50,50,0,0,50,22.42437318587559,3.2538683535215753,31.42,228.46,519.0,519.0,1.0,1.369060573948032,0.016578556277123575,1.3351436932996865,1.4189822487034485
300,0.1,h3,True,50,50,0,0,50,20.07648388586007,2.993315895281389,30.02,227.46,519.0,483.8,1.0,1.3692826998274163,0.012919241539242295,1.3494647291685413,1.3983469765219192
300,0.1,h4,False,50,50,0,0,50,30.027660413242412,3.483674480906631,75.42,226.18,519.0,519.0,1.0,1.381073604048826,0.013349403643564486,1.351368697186927,1.4189255468524964
300,0.1,h4,True,50,50,0,0,50,28.17440975586418,3.4607838304615988,74.9,221.04,519.0,483.8,1.0,1.3862766799308297,0.014985375605860229,1.353461333211386,1.4242144727349104
300,0.1,h2+3,False,50,50,0,0,50,23.58238234408316,3.325699313972465,31.42,228.46,519.0,519.0,1.0,1.3710508537916033,0.01732372162817119,1.340578807906365,1.408314089557298
300,0.1,h2+3,True,50,50,0,0,50,21.210906119295394,3.101107181131289,30.02,227.46,519.0,483.8,1.0,1.3704488456608,0.014924248956369837,1.3395904756970645,1.4110910092807212
300,0.1,h2+3+4,False,50,50,0,0,50,33.055739625857676,3.6109474600483553,75.68,225.66,519.0,519.0,1.0,1.3845734883862368,0.014028301408022434,1.3490651862071792,1.4133939806822535
300,0.1,h2+3+4,True,50,50,0,0,50,31.021748694961424,3.580592081837869,75.0,222.12,519.0,483.8,1.0,1.3881306701639786,0.015475108926207314,1.3586770144700564,1.4311116342172412
300,0.3,h2,False,50,50,0,0,10,4.479770256617339,0.4052509035669536,1.0,404.0,404.0,404.0,0.2,2.2653229989368695,0.17981429532351736,1.9707351916830582,2.5365192028914874
300,0.3,h2,True,50,50,0,0,35,1.9617829741362949,0.16884608024242173,1.0,253.8,404.0,253.8,0.7,2.174155746992537,0.15098064680299916,1.8792415841001513,2.656814427422196
300,0.3,h3,False,50,50,0,0,43,8.961924160899361,5.287924283242942,1.88,361.52,404.0,404.0,0.86,2.0224862913847543,0.19397958543564056,1.7861727485050998,2.727909918855233
300,0.3,h3,True,50,50,0,0,50,4.524008143298561,1.9941336098503286,1.6,233.1,404.0,253.8,1.0,1.9238577871875377,0.09105221848238237,1.7297378858142207,2.1610901449986075
300,0.3,h4,False,50,40,0,10,10,13.534685129941208,1.9257044507617567,14.6,268.35,404.0,404.0,0.2,1.9431053660461153,0.11401032092156772,1.811567539195349,2.189376305603799
300,0.3,h4,True,50,45,0,5,41,7.291614793395857,0.6281463386510018,15.066666666666666,188.77777777777777,404.0,253.77777777777777,0.82,1.924471416524436,0.07770560568114525,1.74418415024653,2.137431401872119
300,0.3,h2+3,False,50,50,0,0,44,9.323417862413917,5.534309614915406,1.88,361.52,404.0,404.0,0.88,2.0375205513415002,0.18041799315029292,1.7943912293275548,2.5987020367086724
300,0.3,h2+3,True,50,50,0,0,50,4.628513093304354,2.2737180816510842,1.6,233.1,404.0,253.8,1.0,1.903431541831135,0.0801609887608373,1.7614488555814884,2.1304233466693288
300,0.3,h2+3+4,False,50,40,0,10,10,15.709115037382581,2.1347718101531132,15.85,260.075,404.0,404.0,0.2,1.9471644892212665,0.06931317617898199,1.8820953618167677,2.1196909742402075
300,0.3,h2+3+4,True,50,45,0,5,43,8.671737728381995,0.7161492855432634,15.088888888888889,189.64444444444445,404.0,253.77777777777777,0.86,1.9245759418591928,0.07347000561106569,1.733958228823171,2.042073663061546
300,0.5,h2,False,50,50,0,0,6,2.5527521374996285,0.26811291627056616,1.0,332.9,332.9,332.9,0.12,3.218493337460495,0.42553346729138314,2.7434361581821056,3.7452916305380533
300,0.5,h2,True,50,50,0,0,48,0.5186669550219085,0.05524698297264656,1.0,75.8,332.9,75.8,0.96,3.009207391241263,0.27470226598659936,2.6343521652008945,4.023358522043585
300,0.5,h3,False,50,50,0,0,12,2.7010741482209415,0.3010059189309418,1.0,332.9,332.9,332.9,0.24,3.2473512283157593,0.2839525857517876,2.8307868672216205,3.9525651522262626
300,0.5,h3,True,50,50,0,0,50,0.6363678716402501,0.06788473553007134,1.0,75.8,332.9,75.8,1.0,2.821197502407721,0.22342935504621572,2.558692053691131,3.447970126916225
300,0.5,h4,False,50,35,0,15,0,6.563065298197325,1.6907751272463332,5.171428571428572,302.9142857142857,332.9,332.42857142857144,0.0,,,,
300,0.5,h4,True,50,25,0,25,25,0.8520603490970098,0.2724123804561101,4.24,54.92,332.9,72.0,0.5,3.040559361883835,0.13861384111324537,2.8195930789670016,3.3515884541732373
300,0.5,h2+3,False,50,50,0,0,5,2.8562533425039147,0.2986834590292372,1.0,332.9,332.9,332.9,0.1,3.2831498586886196,0.3437503102685354,2.803005941228202,3.71819530570179
300,0.5,h2+3,True,50,50,0,0,50,0.6550087375554722,0.06588943177701555,1.0,75.8,332.9,75.8,1.0,2.855431086089595,0.21899486789571085,2.500069099008176,3.5215706901534896
300,0.5,h2+3+4,False,50,35,0,15,0,7.614848222502042,2.2130111586632895,5.285714285714286,300.0571428571429,332.9,332.42857142857144,0.0,,,,
300,0.5,h2+3+4,True,50,25,0,25,25,1.036033489163965,0.37193507820063076,4.24,55.4,332.9,72.0,0.5,3.0518514039673232,0.16568778063953127,2.83396733558527,3.4593366530218024
400,0.0,h2,False,50,50,0,0,50,28.852346800020896,1.607581019834217,1.0,760.0,760.0,760.0,1.0,1.2002923689916671,0.004063220160002189,1.1875216076684276,1.2061435342543296
400,0.0,h2,True,50,50,0,0,50,28.658716055935948,1.6099656292420932,1.0,756.0,760.0,756.0,1.0,1.1991683909145687,0.004571000335864406,1.1895640772474279,1.2095942930974568
400,0.0,h3,False,50,50,0,0,50,58.338969771740956,5.141926343366528,110.64,267.86,760.0,760.0,1.0,1.2750855648132524,0.010614639254690424,1.2518842397061882,1.3017782316031896
400,0.0,h3,True,50,50,0,0,50,59.03413812500075,4.94737941167966,91.78,298.32,760.0,756.0,1.0,1.264276696534033,0.01208361389622666,1.2345075564874666,1.2830372167578064
400,0.0,h4,False,50,50,0,0,50,104.5277734433394,12.689832643795711,234.18,215.76,760.0,760.0,1.0,1.3345683640245465,0.01585238520021425,1.2883391169194789,1.3534974950325513
400,0.0,h4,True,50,50,0,0,50,101.02943953074515,15.962117817940493,217.68,242.36,760.0,756.0,1.0,1.316940016759113,0.025137672593838676,1.2759443435150926,1.3558538457531797
400,0.0,h2+3,False,50,50,0,0,50,60.259871609192345,5.363486092394543,110.64,267.86,760.0,760.0,1.0,1.2753925180359076,0.009568632060036511,1.2555764712509792,1.3010843530779859
400,0.0,h2+3,True,50,50,0,0,50,60.66250247079763,4.937277789625327,91.78,298.32,760.0,756.0,1.0,1.2624012662303905,0.012692273458624148,1.2379515721872225,1.2854587523145875
400,0.0,h2+3+4,False,50,50,0,0,50,108.82913053582655,12.69341137666522,234.18,215.76,760.0,760.0,1.0,1.3379140436076875,0.014853265925732093,1.2893613557392787,1.3564750359622901
400,0.0,h2+3+4,True,50,50,0,0,50,105.91696858164156,15.813497909479398,217.6,244.02,760.0,756.0,1.0,1.3200789271751747,0.024772233515283088,1.2669541434001628,1.3526779252663919
400,0.1,h2,False,50,50,0,0,50,20.927293824182126,3.58554467251279,1.0,684.0,684.0,684.0,1.0,1.3366212685019812,0.009781612973086225,1.3149920583014847,1.355749102393409
400,0.1,h2,True,50,50,0,0,50,19.068662747502096,2.2154350157646823,1.0,642.2,684.0,642.2,1.0,1.3419813659724418,0.010144060591682188,1.3208201889785327,1.3647446305759112
400,0.1,h3,False,50,50,0,0,50,37.97314628009335,4.871406518100728,52.2,285.5,684.0,684.0,1.0,1.34756822428955,0.012505995168011331,1.3187803220607766,1.3778660975360104
400,0.1,h3,True,50,50,0,0,50,35.88786874931771,4.456190305287892,53.22,273.54,684.0,642.2,1.0,1.3460602881173127,0.011547215631708215,1.3202032399686818,1.3711409555418441
400,0.1,h4,False,50,50,0,0,50,61.78408261163859,10.170724441956287,109.48,281.0,684.0,684.0,1.0,1.3584009412484368,0.01443360351180122,1.3316180496714043,1.390599808146573
400,0.1,h4,True,50,50,0,0,50,57.664900822555644,7.772555048099835,108.52,276.34,684.0,642.2,1.0,1.3623162094760353,0.011151896746100613,1.333146660816214,1.3883316842639803
400,0.1,h2+3,False,50,50,0,0,50,39.50356783824391,4.94668100786079,52.2,285.5,684.0,684.0,1.0,1.3473393495911747,0.014326437166485496,1.3153495641168784,1.379763403161235
400,0.1,h2+3,True,50,50,0,0,50,37.35495008166297,4.480819760405309,53.22,273.54,684.0,642.2,1.0,1.3457270828037151,0.01259715438127607,1.3215028822285035,1.3812728394000058
400,0.1,h2+3+4,False,50,50,0,0,50,66.33954499088577,10.053593080082102,109.58,281.24,684.0,684.0,1.0,1.3600952736265517,0.01402112708735626,1.3285315523334122,1.393131003128276
400,0.1,h2+3+4,True,50,50,0,0,50,61.96546004909673,8.049591074327283,109.4,273.4,684.0,642.2,1.0,1.3611850792949993,0.009779277402833917,1.334998859391505,1.385294891668222
400,0.3,h2,False,50,50,0,0,8,7.505778680704534,0.7913783234588765,1.0,532.0,532.0,532.0,0.16,2.2272650183102276,0.24094265708380028,1.933143844817851,2.6865768436168
400,0.3,h2,True,50,50,0,0,25,3.1319755732663905,0.2579510599133191,1.0,340.8,532.0,340.8,0.5,2.2500269825683894,0.22475031585347016,1.9930380108158265,3.000019925059346
