vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_dnc,sc_rate_whole,n_subgraphs_dnc,median_diff_apsp,p_apsp,median_ratio_time,p_time
100,h2,80,79,0.9875,0.9875,1.0,0.0,,1.1141354040315252,7.005622308183928e-08
100,h3,80,80,1.0,1.0,4.575,0.0029004478884154805,2.048043618469585e-08,1.6756086670466424,9.847700597928496e-15
100,h4,60,0,0.8833333333333333,0.0,14.75,,,1.67080473837884,1.629555794311934e-11
100,h2+3,80,80,1.0,1.0,4.575,0.019692450698217567,1.7720370014560372e-08,1.766837793036971,8.792926151362765e-15
100,h2+3+4,60,0,0.9,0.0,14.7,,,1.9261457440571683,1.629555794311934e-11
200,h2,80,70,0.875,0.875,1.0,0.0,,1.0434388758262818,4.471895018591363e-05
200,h3,80,73,0.9125,0.9125,15.5125,0.030156719356072115,1.5068910657715602e-06,1.599224466061894,2.7049761317164137e-14
200,h4,68,0,0.8235294117647058,0.0,39.794117647058826,,,2.289278537852175,7.641054566506878e-13
200,h2+3,80,75,0.9375,0.9375,15.5125,0.013775836255137008,0.00010139441993470211,1.65142257481084,1.6051579997687537e-14
200,h2+3+4,67,0,0.835820895522388,0.0,40.47761194029851,,,2.5303571411733885,1.1197003099219975e-12
300,h2,80,59,0.7375,0.7375,1.0,0.0,,1.0382719178674427,1.0915470729433998e-05
300,h3,80,70,0.875,0.875,29.4625,0.027429951604944214,2.5993971313725643e-08,1.3630929542405053,1.7957546368041127e-14
300,h4,69,0,0.8260869565217391,0.0,68.3623188405797,,,3.2615114937098104,5.214926521052864e-13
300,h2+3,80,71,0.8875,0.8875,29.4625,0.03298138814632057,1.2151825707109716e-08,1.4229641986362762,1.1026754326146025e-14
300,h2+3+4,69,0,0.8260869565217391,0.0,68.68115942028986,,,3.315662238778216,5.214926521052864e-13
400,h2,80,51,0.6375,0.6375,1.0,0.0,,1.03903362313269,0.002677932795094098
400,h3,80,65,0.8375,0.825,39.9375,0.03986332746717247,4.696732589550207e-07,1.5665465475795126,4.063403741222439e-14
400,h4,72,0,0.7777777777777778,0.0,101.55555555555556,,,4.620373015578207,1.658751802376397e-13
400,h2+3,80,65,0.8375,0.825,39.9375,0.030983259519422157,1.6709547983259312e-06,1.6099374128305963,2.6063839255225115e-14
400,h2+3+4,72,0,0.8055555555555556,0.0,101.51388888888889,,,4.537939998206262,1.658751802376397e-13
500,h2,80,51,0.6375,0.6375,1.0,0.0,,1.0704087406353873,2.2547379139834857e-06
500,h3,80,65,0.85,0.8125,59.6625,0.0326536925723504,0.0007528852124151667,1.8512236789197467,8.792926151362765e-15
500,h4,73,0,0.7671232876712328,0.0,130.68493150684932,,,6.18477453097599,1.1325002193757658e-13
500,h2+3,80,65,0.8625,0.8125,59.6625,0.028343499015526907,4.9344303288356825e-05,1.8961963739808652,8.152358880315248e-15
500,h2+3+4,72,0,0.7638888888888888,0.0,132.38888888888889,,,6.235026281894065,1.658751802376397e-13
