vertices,use_reduction,hop_key,baseline,n_pairs,n_pairs_both_sc,sc_rate_hop,sc_rate_base,median_diff_apsp,p_apsp,median_diff_time,p_time
100,False,h3,h2,200,195,1.0,0.975,0.01021739670179933,0.26098095570632585,0.953701458463911,8.870498002190682e-32
100,False,h4,h2,160,125,0.7875,0.98125,0.05517490999130725,4.541652482718958e-15,1.582001291506458,2.823512737185666e-27
100,False,h2+3,h2,200,195,1.0,0.975,0.013828705772999994,0.629214371555836,1.2580650000018068,3.380510745174652e-34
100,False,h2+3+4,h2,160,124,0.78125,0.98125,0.05888396710900923,2.8973620518546093e-18,2.3359178334940225,7.491404898209499e-28
100,True,h3,h2,200,200,1.0,1.0,0.035893652459235925,7.015064532686491e-06,0.6534227084775921,6.055611299941551e-34
100,True,h4,h2,140,140,1.0,1.0,0.05303845861176382,2.1703019860646052e-14,1.7269011464959476,1.0114520744886416e-24
100,True,h2+3,h2,200,200,1.0,1.0,0.037503267483687264,2.5535999152690213e-06,0.7735237919841893,2.659700440508187e-34
100,True,h2+3+4,h2,140,140,1.0,1.0,0.05950384009894205,1.7728191735815786e-15,2.502416979026748,1.0114520744886416e-24
200,False,h3,h2,200,139,0.865,0.735,0.019179757459981017,0.08817350531536759,3.764197812502971,1.3931041772432526e-33
200,False,h4,h2,175,109,0.6571428571428571,0.7942857142857143,0.0604619317473134,2.6511038853759682e-11,4.8466336249839514,1.3820816242699918e-29
200,False,h2+3,h2,200,142,0.84,0.735,0.012654510129447627,0.3473120936630495,4.520648437493946,1.436146412761353e-34
200,False,h2+3+4,h2,170,109,0.6764705882352942,0.8,0.05795766763259036,3.692492735219606e-13,6.703457521012751,1.2392270550993068e-29
200,True,h3,h2,200,195,1.0,0.975,0.01710363884592181,0.3034656959753824,2.22861304145772,1.436146412761353e-34
200,True,h4,h2,165,161,1.0,0.9757575757575757,0.02915554507992768,2.5882118447304327e-05,5.027696750010364,7.914547386137409e-29
200,True,h2+3,h2,200,195,1.0,0.975,0.020528578027056765,0.5246633019467515,2.514254166453611,1.4579385692155712e-34
200,True,h2+3+4,h2,165,160,0.9939393939393939,0.9757575757575757,0.0351915160567825,7.253947270401611e-05,6.990653457003646,7.914547386137409e-29
300,False,h3,h2,200,111,0.775,0.58,0.032493065815023536,1.0386540623279285e-06,6.618651604483603,4.295042458635465e-34
300,False,h4,h2,175,101,0.6285714285714286,0.6457142857142857,0.05143953010296465,5.899721414205422e-16,14.301847458002158,1.8082562147130168e-30
300,False,h2+3,h2,200,110,0.745,0.58,0.035785078696326966,4.8664586613968285e-08,7.893104478978785,1.436146412761353e-34
300,False,h2+3+4,h2,175,100,0.6285714285714286,0.6457142857142857,0.062428960225694885,2.273152530832865e-17,16.899820583930705,1.8082562147130168e-30
300,True,h3,h2,200,183,1.0,0.915,0.00020234066082669422,0.006632926959740012,5.37427089601988,1.436146412761353e-34
300,True,h4,h2,170,150,0.9764705882352941,0.9,0.0370766103833301,0.00259274102472945,13.941362666460918,1.1960577973779534e-29
300,True,h2+3,h2,200,183,1.0,0.915,0.0010894550102322764,0.013637522584867357,6.140219687484205,1.436146412761353e-34
300,True,h2+3+4,h2,170,151,0.9882352941176471,0.9,0.03776276350658003,0.009251215022757877,16.704892854526406,1.1960577973779534e-29
400,False,h3,h2,200,108,0.73,0.54,0.036600565501911375,3.6942252443766257e-09,18.31753152096644,3.1365573901826937e-34
400,False,h4,h2,180,100,0.5611111111111111,0.5777777777777777,0.07485751165659649,2.8782421504419467e-17,31.76496856252197,2.734887091049599e-31
400,False,h2+3,h2,200,108,0.725,0.54,0.03496038360103837,3.2431956355681724e-09,19.53356710402295,1.436146412761353e-34
400,False,h2+3+4,h2,180,100,0.5833333333333334,0.5777777777777777,0.07693729053339493,1.05018875346145e-17,36.003268104512244,2.734887091049599e-31
400,True,h3,h2,200,150,0.97,0.775,0.004808636040260272,0.7249920819087889,11.588558687450131,2.5810859240030472e-34
400,True,h4,h2,180,139,1.0,0.7722222222222223,0.030170287407579766,0.010569551316428772,32.7194100409979,2.734887091049599e-31
400,True,h2+3,h2,200,149,0.96,0.775,0.00425053535853781,0.5150687267715395,12.75708195855259,1.91143045566245e-34
400,True,h2+3+4,h2,180,136,0.9833333333333333,0.7722222222222223,0.030949249186863703,0.009679903637449472,35.98052627101424,2.734887091049599e-31
500,False,h3,h2,200,105,0.725,0.525,0.03547540194199428,2.9757452229006677e-11,30.772343895485392,2.0917928377154404e-34
500,False,h4,h2,185,95,0.5621621621621622,0.5135135135135135,0.12692863066736315,6.390923357328237e-12,35.89001399994595,4.137911583731518e-32
500,False,h2+3,h2,200,105,0.715,0.525,0.03797191037668646,1.0606949754890382e-11,32.36104335449636,1.436146412761353e-34
500,False,h2+3+4,h2,180,95,0.5833333333333334,0.5277777777777778,0.12673507638704185,1.9323973069767415e-11,41.53015014604898,2.734887091049599e-31
500,True,h3,h2,200,148,0.995,0.74,0.0180315678388715,0.9969452730215856,19.140378291514935,1.436146412761353e-34
500,True,h4,h2,180,134,0.9555555555555556,0.7611111111111111,0.04332446208229457,0.0203609232542843,61.84359856203082,2.734887091049599e-31
500,True,h2+3,h2,200,148,0.985,0.74,0.01479979043585855,0.9847272605663616,20.372274166555144,1.436146412761353e-34
500,True,h2+3+4,h2,180,135,0.9611111111111111,0.7611111111111111,0.0415216152886313,0.040236667951473216,66.98378937499365,2.734887091049599e-31
