vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_on,sc_rate_off,median_diff_apsp,p_apsp,median_diff_time,median_ratio_time,p_time
100,h2,200,195,1.0,0.975,0.007810070714258988,0.015607515645581677,-0.3863412289938424,0.6621484546752003,1.8829099829017235e-34
100,h3,200,200,1.0,1.0,0.03027168800873581,8.151647835448812e-16,-0.4551521874964237,0.6949516768553781,4.2836182413428855e-33
100,h4,135,121,1.0,0.8962962962962963,-0.003684571436350259,0.5020780689345601,-0.3849914590246044,0.9008542403838049,4.61594908365226e-21
100,h2+3,200,200,1.0,1.0,0.030770272856442404,7.911345358511978e-16,-0.4874380005057901,0.7188511690318226,4.748491079044562e-33
100,h2+3+4,135,117,1.0,0.8666666666666667,-0.0032772862082179888,0.39687293530511925,-0.44996187498327345,0.9060145913776205,8.448177654578046e-21
200,h2,200,146,0.975,0.735,-1.2752842050600677e-05,0.08938338107637991,-0.9897937709756661,0.6439388632746101,2.8241355773118014e-34
200,h3,200,173,1.0,0.865,0.0038761389972044036,0.9438077093179725,-1.0465655424632132,0.7845686196378396,5.961535526918443e-26
200,h4,155,115,1.0,0.7419354838709677,-0.00272724177364303,0.3854354936546456,-1.4579448759322986,0.8980862235650873,4.647431385097941e-13
200,h2+3,200,168,1.0,0.84,0.0025271930914950724,0.40391599764939123,-1.1038703539816197,0.7876383861991805,2.1096966072330497e-25
200,h2+3+4,155,115,0.9935483870967742,0.7419354838709677,-0.0030122065056565894,0.017419892826494077,-1.4643789159599692,0.8976757954401882,7.333206610406247e-14
300,h2,200,115,0.915,0.58,0.0002945258934166084,0.26668867464874935,-2.0352322704857215,0.6359730686379117,4.874912004635053e-30
300,h3,200,155,1.0,0.775,0.0024792533959834273,0.43708961262358426,-1.976693479489768,0.7436135247706487,1.8374801659582e-15
300,h4,160,110,0.975,0.6875,0.025202611671963027,7.961865856786155e-09,-4.478909791476326,0.8604610933332864,3.304817450245012e-11
300,h2+3,200,149,1.0,0.745,0.0036729063000957574,0.15494796997094132,-2.1392168330203276,0.7505426680882854,1.3396313260926927e-15
300,h2+3+4,160,110,0.9875,0.6875,0.019219600584435614,8.395623886408961e-09,-5.2737287289928645,0.8586877175888114,1.4286569710812796e-11
400,h2,200,106,0.775,0.54,0.00031668075354185365,0.32774715136562294,-2.6575531250273343,0.6413603475569843,9.821267701153764e-29
400,h3,200,144,0.97,0.73,-0.008397312376328014,6.841208685713877e-07,-2.7823433539888356,0.8593228558706427,1.3031875682467323e-11
400,h4,170,101,1.0,0.5941176470588235,-0.003192079263547809,0.040246108997176726,-9.84861912499764,0.7656520968864341,2.100943928295442e-12
400,h2+3,200,143,0.96,0.725,-0.010563658362747086,1.8243864524148243e-06,-3.0854518754931632,0.8619393654973955,5.197970742298448e-12
400,h2+3+4,170,105,0.9882352941176471,0.6176470588235294,-0.004724688689887735,0.0013515545715019643,-10.90489770800923,0.7811710227196487,1.199625277126975e-12
500,h2,200,105,0.74,0.525,0.00017112995753643112,0.6123692824477842,-4.160690437507583,0.6136793279922248,2.8505069392254303e-29
500,h3,200,144,0.995,0.725,-0.002408037246818595,0.5916352223306933,-4.096541228995193,0.8288645472594627,6.703819175037071e-07
500,h4,175,104,0.9542857142857143,0.5942857142857143,-0.0032034236149636186,0.064544465231566,-16.336095665988978,0.6489174564244542,6.405662945183887e-08
500,h2+3,200,140,0.985,0.715,-0.002804614933738403,0.5477457270003036,-4.2916715424798895,0.8361796241294079,1.3197619390221634e-06
500,h2+3+4,170,105,0.9588235294117647,0.6176470588235294,-0.004251935166302179,0.07163948180637965,-18.591714812529972,0.6893316048829892,1.346061847703418e-07
