graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v100_s0_p0,100,0.0,v100_s0_p0__h3__red__r3,h3,True,3,1.6743702512122434,70.0,1.1349153749761172,10101010111101010110101110010101110010010001010111001001010001010001001010111001011101011111100101001011100101011111100000011000011
v100_s1_p0,100,0.0,v100_s1_p0__h2+3__red__r0,h2+3,True,0,1.6717886500576946,70.0,0.8281051249941811,01010101000010101001010001101010001101101110110101110110101110101000101000000110100011010111011010111010100011010100011001100001100
v100_s2_p0,100,0.0,v100_s2_p0__h2+3__red__r0,h2+3,True,0,1.6776123219197148,70.0,1.0955321249784902,10111101010101010110101111110101110010010001001010001001010010111111001010111001000101011111100101000101000101011111100110011000011
v100_s3_p0,100,0.0,v100_s3_p0__h2+3__nored__r3,h2+3,False,3,1.6916006881156713,70.0,1.8088220420177095,01000010111101010111010100010101110010010111010111001001010001010001010111111001011101011100101011101011100100101000011000011110000
v100_s4_p0,100,0.0,v100_s4_p0__h2+3__red__r4,h2+3,True,4,1.6836518170979093,70.0,1.260651541990228,10101010111101001000101110010101111110010001001010001001010001010111001010111001011101011111100101000101000101011111100110000000011
v100_s5_p0,100,0.0,v100_s5_p0__h3__red__r3,h3,True,3,1.681643676518145,70.0,1.1413083749939688,10111110111101001000101110010010101110010001001010111001010010111111010111111001000101011100100101001011100100101011100000011110011
v100_s6_p0,100,0.0,v100_s6_p0__h3__nored__r4,h3,False,4,1.684961043432292,70.0,1.7307677090284415,10101010111101010110101110010101110010010001001010001001010010111111010111111000100001011101011111111011100101000100111000011000000
v100_s7_p0,100,0.0,v100_s7_p0__h2+3__nored__r2,h2+3,False,2,1.6897535143020685,70.0,1.8630882909637876,10101001000000010110101111111010000001110001001000110110101001010111110101000111011100101010111010100101011100010100011110000001100
v100_s8_p0,100,0.0,v100_s8_p0__h3__red__r3,h3,True,3,1.6863819268872011,70.0,1.1798922500456683,10101001010101010110101111110010100010010001010111111010111010111001010111001001000101011100100101001011100100101011100000011111111
v100_s9_p0,100,0.0,v100_s9_p0__h2+3__nored__r3,h2+3,False,3,1.696255448058739,70.0,1.824654083000496,10111101010101010110010010100010100010010111111010111010111001010111010111001001011101011101011111100101000101000100100110011001111
v100_s0_p10,100,0.1,v100_s0_p10__h2+3__nored__r3,h2+3,False,3,1.969922046735893,44.0,1.2215395419625565,0101010101011111111001010000010000010000101001010111111110111001000101101000101111111100101010000101010100110000000011
v100_s1_p10,100,0.1,v100_s1_p10__h2+3__red__r4,h2+3,True,4,1.9975070196550402,44.0,0.6748440839583054,0100001010100001001100000101010111000111011101110011111001111111001001010100000001001010010111110111111100000000001111
v100_s2_p10,100,0.1,v100_s2_p10__h2+3__red__r2,h2+3,True,2,1.974886476497557,44.0,0.695068083005026,1011111101111010000101011001000110110101000100110100111101011001010000001000001011000010101000000111101100111111111111
v100_s3_p10,100,0.1,v100_s3_p10__h2+3__nored__r0,h2+3,False,0,2.044986234919481,44.0,1.0060533750220202,0100000000100100000110110001010110010111010010100010100000111110001000010010101101101111000011000100111011001111000000
v100_s4_p10,100,0.1,v100_s4_p10__h3__nored__r4,h3,False,4,2.0773922338388915,44.0,1.1147552090114914,1010101011111011110011100010100100110101000100010010001011110000111001010101001001010111001110011011101011111100001100
v100_s5_p10,100,0.1,v100_s5_p10__h2+3__nored__r1,h2+3,False,1,2.0381418466490495,44.0,1.028829415969085,0101010101010101011110011100110101000100111010000001110100000111110101000101000010110111111011110000010100000011000011
v100_s6_p10,100,0.1,v100_s6_p10__h2+3__red__r2,h2+3,True,2,1.898597627536385,44.0,0.6962290840456262,0100001010101010111010001000110001000111011010110101101010000011000111101100000011010101111101101111100111110000000000
v100_s7_p10,100,0.1,v100_s7_p10__h2+3__nored__r4,h2+3,False,4,1.9409960800423545,44.0,1.4177133330376819,1011010100001011111000010101011111110011101010000101001010011100001110111001101010000000010100000011011011111111111100
