vertices,hop_key,use_reduction,n_best,n_graphs
100,h2,False,6,40
100,h2,True,3,40
100,h3,False,9,40
100,h3,True,4,40
100,h4,False,1,40
100,h2+3,False,12,40
100,h2+3,True,6,40
200,h2,False,1,40
200,h2,True,6,40
200,h3,False,6,40
200,h3,True,10,40
200,h4,False,2,40
200,h4,True,1,40
200,h2+3,False,2,40
200,h2+3,True,13,40
200,h2+3+4,True,1,40
300,h2,True,1,40
300,h3,False,1,40
300,h3,True,15,40
300,h4,False,2,40
300,h4,True,3,40
300,h2+3,False,1,40
300,h2+3,True,15,40
300,h2+3+4,False,1,40
300,h2+3+4,True,1,40
400,h2,True,3,40
400,h3,True,14,40
400,h4,False,4,40
400,h4,True,2,40
400,h2+3,True,13,40
400,h2+3+4,False,4,40
400,h2+3+4,True,1,40
500,h3,True,11,40
500,h4,False,8,40
500,h4,True,7,40
500,h2+3,True,8,40
500,h2+3+4,False,1,40
500,h2+3+4,True,6,40
