run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p0__h2__nored__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h2,2,False,True,0,151413802,ok,,,0.7445518330205232,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00035666697658598423,105,16,0,1.0,,131.0,131.0,236.0,131.0,181.84375,2.0031579379827558,0.36,70.0,-96.0,True,True
v100_s0_p0__h2__red__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h2,2,True,True,0,151413802,ok,,,0.5048026249860413,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.000257291947491467,105,16,0,1.0,,105.0,105.0,210.0,105.0,164.53125,2.167022144109538,1.0,70.0,,True,True
v100_s0_p0__h3__nored__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h3,3,False,True,0,151413802,ok,,,1.1659887909772806,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002998750424012542,105,16,0,1.0,,131.0,131.0,666.0,131.0,232.515625,1.721187853858249,1.0,70.0,-163.0,True,True
v100_s0_p0__h3__red__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h3,3,True,True,0,151413802,ok,,,0.7783358749584295,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00031879101879894733,105,16,0,1.0,,105.0,105.0,600.0,105.0,189.65625,1.8035066878450423,1.0,70.0,,True,True
v100_s0_p0__h4__nored__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h4,4,False,True,0,151413802,ok,,,1.750393541995436,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003091659746132791,105,16,0,3.0,9.0,92.0,86.0,375.0,131.0,198.96875,1.8323964018332166,1.0,70.0,,True,True
v100_s0_p0__h4__red__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h4,4,True,True,0,151413802,ok,,,1.5023898750077933,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00025379203725606203,105,16,0,3.0,10.0,58.0,50.0,175.0,105.0,196.03125,1.8178696356487734,1.0,70.0,,True,True
v100_s0_p0__h2+3__nored__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h2+3,2+3,False,True,0,151413802,ok,,,1.2028110409737565,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002850420423783362,105,16,0,1.0,,131.0,131.0,666.0,131.0,231.453125,1.7322635417870744,1.0,70.0,-328.0,True,True
v100_s0_p0__h2+3__red__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h2+3,2+3,True,True,0,151413802,ok,,,0.817627958022058,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00024512497475370765,105,16,0,1.0,,105.0,105.0,600.0,105.0,189.46875,1.7339361819501655,1.0,70.0,,True,True
v100_s0_p0__h2+3+4__nored__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h2+3+4,2+3+4,False,True,0,151413802,ok,,,2.071970167045947,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00028362503508105874,105,16,0,3.0,9.0,92.0,86.0,375.0,131.0,190.375,1.8602974939758017,1.0,70.0,,True,True
v100_s0_p0__h2+3+4__red__r0,v100_s0_p0,100,0,0.0,0.0,96,131,h2+3+4,2+3+4,True,True,0,151413802,ok,,,1.8216810839949176,,2026-08-29T06:08:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003173750010319054,105,16,0,3.0,10.0,58.0,50.0,180.0,105.0,195.8125,1.7682804885020598,1.0,70.0,,True,True
v100_s0_p10__h2__nored__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h2,2,False,True,0,2002666364,ok,,,0.5463535000453703,,2026-08-29T06:09:00+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00028062501223757863,66,29,0,1.0,,118.0,118.0,184.0,118.0,162.484375,2.2182764982034024,0.1,44.0,-96.0,True,True
v100_s0_p10__h2__red__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h2,2,True,True,0,2002666364,ok,,,0.2872122910339385,,2026-08-29T06:08:59+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00030270800925791264,66,29,0,1.0,,66.0,66.0,131.0,66.0,157.15625,2.6453501424535104,1.0,44.0,,True,True
v100_s0_p10__h3__nored__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h3,3,False,True,0,2002666364,ok,,,0.7461229579639621,,2026-08-29T06:09:00+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002852079924196005,66,29,0,1.0,,118.0,118.0,471.0,118.0,185.484375,2.0980242503842765,0.41,44.0,-131.0,True,True
v100_s0_p10__h3__red__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h3,3,True,True,0,2002666364,ok,,,0.41655391704989597,,2026-08-29T06:09:00+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00030200002947822213,66,29,0,1.0,,66.0,66.0,342.0,66.0,170.1875,1.9728838709308802,1.0,44.0,,True,True
v100_s0_p10__h4__nored__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h4,4,False,True,0,2002666364,ok,,,1.1683291250374168,,2026-08-29T06:09:00+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002770000137388706,66,29,0,2.0,9.0,102.0,99.0,446.0,118.0,161.9375,,0.0,48.0,,False,True
v100_s0_p10__h4__red__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h4,4,True,True,0,2002666364,ok,,,0.6755783749977127,,2026-08-29T06:09:00+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002697500167414546,66,29,0,2.0,3.0,80.0,78.0,396.0,66.0,163.515625,2.2876044016294452,1.0,44.0,,True,True
v100_s0_p10__h2+3__nored__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h2+3,2+3,False,True,0,2002666364,ok,,,0.7475102079915814,,2026-08-29T06:09:00+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002540420391596854,66,29,0,1.0,,118.0,118.0,471.0,118.0,178.9375,2.137309503139822,0.32,44.0,-272.0,True,True
v100_s0_p10__h2+3__red__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h2+3,2+3,True,True,0,2002666364,ok,,,0.43979775003390387,,2026-08-29T06:09:00+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00027658400358632207,66,29,0,1.0,,66.0,66.0,342.0,66.0,169.875,1.989029102713103,1.0,44.0,,True,True
v100_s0_p10__h2+3+4__nored__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h2+3+4,2+3+4,False,True,0,2002666364,ok,,,1.462985583988484,,2026-08-29T06:09:01+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.000256291008554399,66,29,0,2.0,9.0,102.0,99.0,446.0,118.0,162.96875,2.6752563325302288,1.0,44.0,,True,True
v100_s0_p10__h2+3+4__red__r0,v100_s0_p10,100,0,0.1,0.09923664122137404,96,118,h2+3+4,2+3+4,True,True,0,2002666364,ok,,,0.8275859580026008,,2026-08-29T06:09:01+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002882909611798823,66,29,0,2.0,3.0,80.0,78.0,396.0,66.0,161.5625,2.30690969866199,1.0,44.0,,True,True
v100_s0_p30__h2__nored__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h2,2,False,True,0,822628483,ok,,,0.45308829098939896,,2026-08-29T06:09:01+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002538330154493451,21,21,0,1.0,,103.0,103.0,124.0,103.0,162.34375,2.7203937733012156,0.11,14.0,-96.0,True,True
v100_s0_p30__h2__red__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h2,2,True,True,0,822628483,ok,,,0.16463474999181926,,2026-08-29T06:09:01+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00024875003146007657,21,21,0,1.0,,21.0,21.0,38.0,21.0,155.03125,2.74940910631151,1.0,14.0,,True,True
v100_s0_p30__h3__nored__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h3,3,False,True,0,822628483,ok,,,0.4717995829996653,,2026-08-29T06:09:01+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002662080223672092,21,21,0,1.0,,103.0,103.0,269.0,103.0,163.78125,2.7066013875486403,0.12,14.0,-103.0,True,True
v100_s0_p30__h3__red__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h3,3,True,True,0,822628483,ok,,,0.16597308398922905,,2026-08-29T06:09:01+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00022808299399912357,21,21,0,1.0,,21.0,21.0,92.0,21.0,154.765625,2.9222850998340304,1.0,14.0,,True,True
v100_s0_p30__h4__nored__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h4,4,False,True,0,822628483,ok,,,0.44622870901366696,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00024737499188631773,21,21,0,1.0,,262.0,262.0,1321.0,103.0,153.875,,0.0,82.0,5.0,False,True
v100_s0_p30__h4__red__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h4,4,True,True,0,822628483,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=14, edges=21)
",0.1384957500267774,,2026-08-29T06:09:01+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002393340109847486,21,21,0,,,,,,,153.265625,,,,,False,False
v100_s0_p30__h2+3__nored__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h2+3,2+3,False,True,0,822628483,ok,,,0.515540249994956,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0004890830023214221,21,21,0,1.0,,103.0,103.0,269.0,103.0,166.515625,2.682299805181996,0.16,14.0,-213.0,True,True
v100_s0_p30__h2+3__red__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h2+3,2+3,True,True,0,822628483,ok,,,0.1660646660020575,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00023170904023572803,21,21,0,1.0,,21.0,21.0,92.0,21.0,155.78125,3.008089489962358,1.0,14.0,,True,True
v100_s0_p30__h2+3+4__nored__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h2+3+4,2+3+4,False,True,0,822628483,ok,,,0.5157613339833915,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00029912497848272324,21,21,0,1.0,,262.0,262.0,1335.0,103.0,154.609375,,0.0,86.0,-168.0,False,True
v100_s0_p30__h2+3+4__red__r0,v100_s0_p30,100,0,0.3,0.21374045801526717,96,103,h2+3+4,2+3+4,True,True,0,822628483,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=14, edges=21)
",0.14242112502688542,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00025766697945073247,21,21,0,,,,,,,152.90625,,,,,False,False
v100_s0_p50__h2__nored__r0,v100_s0_p50,100,0,0.5,0.21374045801526717,96,103,h2,2,False,True,0,1450776837,ok,,,0.4802594580105506,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0004807919613085687,21,21,0,1.0,,103.0,103.0,124.0,103.0,166.9375,2.6664013410342693,0.16,14.0,-96.0,True,True
v100_s0_p50__h2__red__r0,v100_s0_p50,100,0,0.5,0.21374045801526717,96,103,h2,2,True,True,0,1450776837,ok,,,0.15870749996975064,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.000251916004344821,21,21,0,1.0,,21.0,21.0,38.0,21.0,154.5,3.0504112170709714,1.0,14.0,,True,True
v100_s0_p50__h3__nored__r0,v100_s0_p50,100,0,0.5,0.21374045801526717,96,103,h3,3,False,True,0,1450776837,ok,,,0.4736596249858849,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002245419891551137,21,21,0,1.0,,103.0,103.0,269.0,103.0,165.75,2.741884483115248,0.15,14.0,-103.0,True,True
v100_s0_p50__h3__red__r0,v100_s0_p50,100,0,0.5,0.21374045801526717,96,103,h3,3,True,True,0,1450776837,ok,,,0.16894925001543015,,2026-08-29T06:09:02+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002696249866858125,21,21,0,1.0,,21.0,21.0,92.0,21.0,155.203125,3.01251809784094,1.0,14.0,,True,True
v100_s0_p50__h4__nored__r0,v100_s0_p50,100,0,0.5,0.21374045801526717,96,103,h4,4,False,True,0,1450776837,ok,,,0.44972441700519994,,2026-08-29T06:09:03+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021829199977219105,21,21,0,1.0,,262.0,262.0,1321.0,103.0,154.859375,,0.0,82.0,5.0,False,True
v100_s0_p50__h4__red__r0,v100_s0_p50,100,0,0.5,0.21374045801526717,96,103,h4,4,True,True,0,1450776837,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=14, edges=21)
",0.13528187503106892,,2026-08-29T06:09:03+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00024454196682199836,21,21,0,,,,,,,152.96875,,,,,False,False
