vertices,remove_ratio_target,hop_key,use_reduction,n_runs,n_ok,n_timeout,n_error,n_sc,time_mean,time_std,n_subgraphs_mean,qubo_vars_mean,n_edges_mean,n_edges_solved_mean,sc_rate,apsp_mean,apsp_std,apsp_min,apsp_max
100,0.0,h2,False,50,50,0,0,50,0.9924546192027628,0.07938347857263314,1.0,131.0,131.0,131.0,1.0,1.9940405976436488,0.058286950521007075,1.8514430647852818,2.1241572742861035
100,0.0,h2,True,50,50,0,0,50,0.7209118083352223,0.055089368796908365,1.0,105.0,131.0,105.0,1.0,2.0502129618303977,0.10862136405907932,1.8710556103971345,2.3431950412863314
100,0.0,h3,False,50,50,0,0,50,1.7041413891559933,0.11950764210226764,1.0,131.0,131.0,131.0,1.0,1.721729489669269,0.016263454988418507,1.684961043432292,1.7462465861538496
100,0.0,h3,True,50,50,0,0,50,1.1457353474746923,0.08461972067716884,1.0,105.0,131.0,105.0,1.0,1.728249634321685,0.02757436042662938,1.6743702512122434,1.8035066878450423
100,0.0,h4,False,50,50,0,0,50,2.476436597496504,0.22534553244991998,3.78,92.76,131.0,131.0,1.0,1.8387894789808963,0.0469193515291865,1.7673548818254246,1.9618258445274612
100,0.0,h4,True,50,50,0,0,50,1.9417965900793206,0.145323418187121,3.72,80.98,131.0,105.0,1.0,1.8259181895323515,0.041460216771022344,1.7524264293488527,1.9354627739930517
100,0.0,h2+3,False,50,50,0,0,50,1.7773916549969,0.1278252469702431,1.0,131.0,131.0,131.0,1.0,1.7201981081814697,0.014950467807907817,1.6897535143020685,1.7518762040216345
100,0.0,h2+3,True,50,50,0,0,50,1.1888277884444687,0.08361566038876717,1.0,105.0,131.0,105.0,1.0,1.7259012646623624,0.024143166931008583,1.6717886500576946,1.7718556649428272
100,0.0,h2+3+4,False,50,50,0,0,50,3.029261519184802,0.26146176650537817,3.78,92.76,131.0,131.0,1.0,1.847932546788043,0.044011743998606724,1.7734272803723132,1.9569567397652563
100,0.0,h2+3+4,True,50,50,0,0,50,2.4131893050833604,0.17987136717259156,3.72,80.98,131.0,105.0,1.0,1.8171186745340409,0.04729450486084732,1.7438589908198607,1.9763350083584201
100,0.1,h2,False,50,50,0,0,49,0.7911476633395068,0.08637978844391435,1.0,118.0,118.0,118.0,0.98,2.3863859361433004,0.14353827851427015,2.1308077318075003,2.812082826003421
100,0.1,h2,True,50,50,0,0,50,0.4056619849812705,0.033288601797186325,1.0,66.0,118.0,66.0,1.0,2.3883983963959197,0.17571552378554806,2.1260217150857157,2.8389698582069296
100,0.1,h3,False,50,50,0,0,50,1.0926977125974373,0.16451189844268455,1.0,118.0,118.0,118.0,1.0,2.116627668863009,0.07933006916509068,1.974295524753644,2.343627184597057
100,0.1,h3,True,50,50,0,0,50,0.6149633325845935,0.04827614688681735,1.0,66.0,118.0,66.0,1.0,2.1173874262658825,0.10657806130908959,1.9055669884433768,2.5078210014303686
100,0.1,h4,False,50,40,0,10,37,1.8024947767297272,0.3406504508226726,3.125,72.225,118.0,118.0,0.74,2.3274782414683415,0.22730472392874426,2.057091421249874,3.0472945922976993
100,0.1,h4,True,50,50,0,0,50,1.0270642315410077,0.09362121375770623,3.24,64.4,118.0,66.0,1.0,2.3569701523773396,0.18055088311518883,2.055543295517629,2.7073249568331583
100,0.1,h2+3,False,50,50,0,0,50,1.126320679935161,0.16185073562938787,1.0,118.0,118.0,118.0,1.0,2.1182335947209507,0.08876944097184772,1.9409960800423545,2.3409407664405952
100,0.1,h2+3,True,50,50,0,0,50,0.6467337767814751,0.05275245149940687,1.0,66.0,118.0,66.0,1.0,2.116827372594084,0.10080134161452821,1.898597627536385,2.3071307277338016
100,0.1,h2+3+4,False,50,40,0,10,35,2.2330917466583196,0.3784061718848821,3.125,71.325,118.0,118.0,0.7,2.3275377867548848,0.18780378637717945,2.108161260874683,2.69510412906638
100,0.1,h2+3+4,True,50,50,0,0,50,1.2704110716003925,0.11439554961783868,3.24,64.4,118.0,66.0,1.0,2.3528563477800826,0.1759269379317668,2.0654005990392346,2.637424341986769
100,0.3,h2,False,50,50,0,0,50,0.6962225008546374,0.0762483633755028,1.0,103.5,103.5,103.5,1.0,2.762370228869142,0.13675952478041165,2.4754088185054446,3.1517550269281185
100,0.3,h2,True,50,50,0,0,50,0.2198348299821373,0.022774682694086,1.0,22.5,103.5,22.5,1.0,2.77319871619678,0.13984589731434316,2.4924345191396755,3.0976115740069314
100,0.3,h3,False,50,50,0,0,50,0.7121242907398846,0.08901068157612856,1.0,103.5,103.5,103.5,1.0,2.755883108940134,0.14264653749843564,2.4649057729210018,3.0136530305574523
100,0.3,h3,True,50,50,0,0,50,0.24020942076225765,0.029612799858077826,1.0,22.5,103.5,22.5,1.0,2.844310526293733,0.18809460649452192,2.5493067709553254,3.2655512488835785
100,0.3,h4,False,50,50,0,0,0,0.670828321732115,0.062221595092884885,1.0,269.4,103.5,103.5,0.0,,,,
100,0.3,h4,True,50,5,0,45,5,0.2002653416641988,0.04466014274651597,2.0,7.0,103.5,21.0,0.1,2.9256275050130562,0.07970893526580528,2.8579109735364576,3.0127031749507007
100,0.3,h2+3,False,50,50,0,0,50,0.7496292808151338,0.07308204552054745,1.0,103.5,103.5,103.5,1.0,2.7335406561939495,0.12441820715562439,2.4720055962541543,3.027017522429895
100,0.3,h2+3,True,50,50,0,0,50,0.2566513158835005,0.03303243651386975,1.0,22.5,103.5,22.5,1.0,2.848827975185307,0.18824049254186417,2.5493067709553254,3.2655512488835794
100,0.3,h2+3+4,False,50,50,0,0,0,0.7615582567057573,0.0634099593565513,1.0,269.4,103.5,103.5,0.0,,,,
100,0.3,h2+3+4,True,50,5,0,45,5,0.21780244347522967,0.05089450512366586,2.0,7.0,103.5,21.0,0.1,2.9256275050130562,0.07970893526580528,2.8579109735364576,3.0127031749507007
100,0.5,h2,False,50,50,0,0,50,0.6956382933200803,0.07910229670531344,1.0,103.5,103.5,103.5,1.0,2.7423213378439573,0.13774622382420795,2.4521695062465994,3.074540062288123
100,0.5,h2,True,50,50,0,0,50,0.22304582000011577,0.027960935942556553,1.0,22.5,103.5,22.5,1.0,2.771658547055136,0.16253010387726463,2.4868819549584207,3.1524211491057836
100,0.5,h3,False,50,50,0,0,50,0.7082356524316128,0.07663267693751279,1.0,103.5,103.5,103.5,1.0,2.7208149288058636,0.11875704876163283,2.470510072971203,2.9537199402934595
100,0.5,h3,True,50,50,0,0,50,0.2448621632612776,0.03278707447854729,1.0,22.5,103.5,22.5,1.0,2.861847467682421,0.1806283991880965,2.5493067709553254,3.2655512488835785
100,0.5,h4,False,50,50,0,0,0,0.663779831759166,0.057103173524841205,1.0,269.4,103.5,103.5,0.0,,,,
100,0.5,h4,True,50,5,0,45,5,0.2056619407981634,0.04362042000015332,2.0,7.0,103.5,21.0,0.1,2.950834348548189,0.07859282545967271,2.8579109735364576,3.0127031749507007
100,0.5,h2+3,False,50,50,0,0,49,0.756623442445416,0.08311180783732525,1.0,103.5,103.5,103.5,0.98,2.723277329845043,0.13482529566351506,2.4613846795139653,3.031137852561562
100,0.5,h2+3,True,50,50,0,0,50,0.24988789587863722,0.034474232266426125,1.0,22.5,103.5,22.5,1.0,2.8387724941555352,0.19329013598705774,2.5493067709553254,3.2655512488835794
100,0.5,h2+3+4,False,50,50,0,0,0,0.763888771639904,0.06090829402674738,1.0,269.4,103.5,103.5,0.0,,,,
100,0.5,h2+3+4,True,50,5,0,45,5,0.22151876335148699,0.050889958291214614,2.0,7.0,103.5,21.0,0.1,2.894669064730208,0.06638013381507943,2.8579109735364576,3.0127031749507007
200,0.0,h2,False,50,50,0,0,50,2.7789188283775004,0.20128643425365417,1.0,278.0,278.0,278.0,1.0,2.001013595406319,0.07496860984748684,1.8760691888070369,2.18774009146989
200,0.0,h2,True,50,50,0,0,50,2.125014599140268,0.1564533017369079,1.0,240.0,278.0,240.0,1.0,2.046968792684364,0.10913944366218094,1.9042183634665621,2.352423289425446
