vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_dnc,sc_rate_whole,n_subgraphs_dnc,median_diff_apsp,p_apsp,median_ratio_time,p_time
100,h2,80,80,1.0,1.0,1.0,0.0,,1.7398055015082257,1.489300950098453e-14
100,h3,80,80,1.0,1.0,1.0,0.0,,1.6875236463852452,4.884576664074266e-14
100,h4,60,3,0.6333333333333333,0.05,2.5166666666666666,-0.2742944096766853,,2.509580528590351,1.629555794311934e-11
100,h2+3,80,80,1.0,1.0,1.0,0.0,,1.7578558794011805,3.505608712933152e-14
100,h2+3+4,60,2,0.65,0.03333333333333333,2.533333333333333,-0.47910687748527603,,2.960415126252222,1.629555794311934e-11
200,h2,80,68,0.85,0.85,1.0,0.0,,1.4044798172931876,7.217747405191763e-13
200,h3,80,75,0.9375,0.9375,1.0,0.0,,1.34097390870009,2.7900481045118465e-11
200,h4,57,0,0.7192982456140351,0.0,4.350877192982456,,,3.4279631833296307,5.143753751233157e-11
200,h2+3,80,74,0.925,0.925,1.0,0.0,,1.3819225948176177,9.392072654327989e-12
200,h2+3+4,57,0,0.7017543859649122,0.0,4.350877192982456,,,3.9357145551282833,5.143753751233157e-11
300,h2,80,57,0.7125,0.7125,1.0,0.0,,1.3291893510649415,2.700471503911108e-11
300,h3,80,64,0.8,0.8,1.0,0.0,,1.3038734325313381,2.4949732068023325e-09
300,h4,74,0,0.6621621621621622,0.0,5.094594594594595,,,4.13632386857543,7.732733053009577e-14
300,h2+3,80,63,0.7875,0.7875,1.0,0.0,,1.3324697508738717,6.914806971669327e-10
300,h2+3+4,74,0,0.6756756756756757,0.0,5.148648648648648,,,4.5572587007958925,7.732733053009577e-14
400,h2,80,44,0.55,0.55,1.0,0.0,,1.3430462685261269,3.9889496295261684e-11
400,h3,80,62,0.775,0.775,1.0,0.0,,1.3156989674213864,1.0548785867084607e-09
400,h4,70,0,0.6285714285714286,0.0,5.957142857142857,,,5.513676833893612,3.559469460061398e-13
400,h2+3,80,61,0.7625,0.7625,1.0,0.0,,1.3293699720474472,7.127629342353275e-10
400,h2+3+4,70,0,0.5857142857142857,0.0,5.9714285714285715,,,5.636759733727782,3.559469460061398e-13
500,h2,80,34,0.425,0.425,1.0,0.0,,1.315405082477961,9.933822353550458e-10
500,h3,80,60,0.75,0.75,1.0,0.0,,1.2933592008400208,5.7906988504595885e-09
500,h4,78,0,0.6666666666666666,0.0,8.076923076923077,,,6.397366651095413,1.6821750448706568e-14
500,h2+3,80,60,0.75,0.75,1.0,0.0,,1.3145714274771216,2.0303640947515705e-09
500,h2+3+4,78,0,0.5897435897435898,0.0,8.282051282051283,,,6.587228344505169,1.6821750448706568e-14
