vertices,use_reduction,hop_key,baseline,n_pairs,n_pairs_both_sc,sc_rate_hop,sc_rate_base,median_diff_apsp,p_apsp,median_diff_time,p_time
100,False,h3,h2,200,199,1.0,0.995,-0.15147431922296573,1.300289036804038e-19,0.12458166695432737,4.2810046785705335e-24
100,False,h4,h2,190,87,0.45789473684210524,1.0,-0.14000646005171258,9.229480402883112e-08,0.1244493544800207,3.277752356265964e-13
100,False,h2+3,h2,200,198,0.995,0.995,-0.1549439365071692,3.0721780803963576e-21,0.15881147951586172,1.0335155805569243e-32
100,False,h2+3+4,h2,190,85,0.4473684210526316,1.0,-0.1379487399367063,9.565183818412459e-08,0.19793285347986966,8.745869310512792e-29
100,True,h3,h2,200,200,1.0,1.0,-0.1360726098194266,1.2561945855074401e-08,0.1193621670245193,4.1206271515798104e-30
100,True,h4,h2,110,110,1.0,1.0,-0.11858912358091378,2.1378394910279685e-09,0.7069513955211733,8.748478943443364e-20
100,True,h2+3,h2,200,200,1.0,1.0,-0.13830773531846918,2.104497589821885e-09,0.1467129175143782,1.8004256574214576e-32
100,True,h2+3+4,h2,110,110,1.0,1.0,-0.1356065882655293,1.8799829767282538e-09,0.9854148750018794,8.748478943443364e-20
200,False,h3,h2,200,137,0.815,0.755,-0.38234796141876304,3.2349210316947593e-19,0.5523277090105694,1.1105962838048977e-29
200,False,h4,h2,165,84,0.5212121212121212,0.8121212121212121,-0.3578268719062767,1.7106552178285207e-15,4.418524624954443,7.134541868450004e-23
200,False,h2+3,h2,200,136,0.8,0.755,-0.35936476723417277,3.0297626596470486e-17,0.6536153955094051,2.50478024800258e-34
200,False,h2+3+4,h2,165,78,0.47878787878787876,0.8121212121212121,-0.35645851732510914,1.6821750448706568e-14,5.577503165986855,1.1399738407403938e-28
200,True,h3,h2,200,200,1.0,1.0,-0.31393734278191776,2.386651392379345e-19,0.45703727050567977,1.4579385692155712e-34
200,True,h4,h2,120,120,1.0,1.0,-0.3407769156882309,6.197187458624381e-19,2.796823395998217,1.971951712152436e-21
200,True,h2+3,h2,200,200,1.0,1.0,-0.2989467933411254,9.879535466303468e-20,0.5126005834899843,1.436146412761353e-34
200,True,h2+3+4,h2,120,120,1.0,1.0,-0.3397775827054038,2.97521141350469e-19,3.551680791482795,1.971951712152436e-21
300,False,h3,h2,200,88,0.575,0.46,-0.5110731324090385,3.732014234846568e-16,1.3285432915145066,2.8785583783353454e-31
300,False,h4,h2,200,72,0.415,0.46,-0.48084609696472436,1.658751802376397e-13,6.792208104510792,1.685040498180046e-20
300,False,h2+3,h2,200,88,0.55,0.46,-0.502469619009396,1.667300608185628e-15,1.5119118549919222,1.5253056987437963e-34
300,False,h2+3+4,h2,200,71,0.4,0.46,-0.4684608667226273,2.4297600020869786e-13,8.281419646489667,1.4579385692155712e-34
300,True,h3,h2,200,185,1.0,0.925,-0.44698750102742846,8.832747110623558e-31,1.401948083541356,1.436146412761353e-34
300,True,h4,h2,170,149,0.9647058823529412,0.9117647058823529,-0.43330012555324315,1.5326370926719758e-20,6.12766899948474,1.1960577973779534e-29
300,True,h2+3,h2,200,185,1.0,0.925,-0.4530056049885596,4.589020004902107e-31,1.4697710625478067,1.436146412761353e-34
300,True,h2+3+4,h2,170,149,0.9647058823529412,0.9117647058823529,-0.4444771199798552,6.264003466858686e-21,7.52092449949123,1.1960577973779534e-29
400,False,h3,h2,200,69,0.535,0.37,-0.5602695900957935,5.214926521052864e-13,2.0607609589933418,3.416855810135565e-31
400,False,h4,h2,180,59,0.37222222222222223,0.38333333333333336,-0.5490144416219342,2.3900953516978203e-11,11.67875918696518,9.82870855505547e-23
400,False,h2+3,h2,200,69,0.525,0.37,-0.5577820661409911,5.214926521052864e-13,2.157571999996435,1.4579385692155712e-34
400,False,h2+3+4,h2,180,58,0.36666666666666664,0.38333333333333336,-0.5543483409800054,3.5060510731588664e-11,14.010130124515854,2.1376957155111782e-27
400,True,h3,h2,200,150,1.0,0.75,-0.4790956866248237,5.27706452370882e-24,2.175096332997782,1.436146412761353e-34
400,True,h4,h2,170,118,0.9352941176470588,0.7294117647058823,-0.47308575918929696,5.0589861261144004e-17,10.824082750012167,1.1960577973779534e-29
400,True,h2+3,h2,200,150,1.0,0.75,-0.48062793195531484,1.0855751709759372e-24,2.4487419994839,1.436146412761353e-34
400,True,h2+3+4,h2,170,117,0.9176470588235294,0.7294117647058823,-0.4670139019340589,1.5473268547689533e-15,12.752923479973106,1.1960577973779534e-29
500,False,h3,h2,200,52,0.505,0.27,-0.6131048454694609,3.5038649642082634e-10,3.8841552290250547,2.4949475052796965e-31
500,False,h4,h2,190,45,0.29473684210526313,0.2789473684210526,-0.5956012361590499,5.684341886080802e-14,16.51324322950677,1.2340824147379586e-21
500,False,h2+3,h2,200,52,0.5,0.27,-0.6057274960179889,3.5038649642082634e-10,4.195492104016012,1.5719261027266513e-34
500,False,h2+3+4,h2,190,44,0.2894736842105263,0.2789473684210526,-0.5926492279418745,1.1368683772161603e-13,19.649169165990315,2.311582809349924e-28
500,True,h3,h2,200,119,1.0,0.595,-0.5568068383058673,2.8809188185621938e-21,3.4095101460115984,1.436146412761353e-34
500,True,h4,h2,200,110,0.94,0.595,-0.4556969931755608,2.4911328441596273e-17,9.45485668751644,1.436146412761353e-34
500,True,h2+3,h2,200,119,1.0,0.595,-0.5361364376573097,3.3543457528556505e-21,3.187361749995034,1.436146412761353e-34
500,True,h2+3+4,h2,200,105,0.885,0.595,-0.4707922223942689,9.822596362689093e-17,10.846462999994401,1.436146412761353e-34
