graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v100_s0_p0,100,0.0,v100_s0_p0__h2__nored__r0,h2,False,0,1.3094349446849456,60.0,4.337200832989765,10111001010100100110110110001001001001010011111001010010111010010101011110000101011000110010110101011111001010011011001100011100101100010100011101010101100100000011010100101010010010011011110011000011110010110010100011001110011100110101101011101110001000101110111111101100100101010001
v100_s1_p0,100,0.0,v100_s1_p0__h2__nored__r0,h2,False,0,1.2916308722142038,78.0,4.887238666997291,010100001110011011000110011101000101111101111000100111010000100110101101001101010110001010011001110000111100101010100111001001000111110110110111010110101010000111001000001100110101110010100001000100010100011000001111111010111010010001101101011111001100110101101100101000110001111010
v100_s0_p10,100,0.1,v100_s0_p10__h2__red__r0,h2,True,0,1.3449863716530384,50.0,1.9411332500021672,0101110011001001100100011010110011000101011010101010000111100110000011110001001101000101100011110010101111010100101001111000010011010110000110110011000111100010101111000111011111001011101100010101001010100100110011100100101010110010011101101010010110010101
v100_s1_p10,100,0.1,v100_s1_p10__h3__nored__r0,h3,False,0,1.3564503367003324,70.0,4.075130167009775,10101011000011110100100001101010101001010110100100110101011000101011100110101011011011100100101011001010001100010100101100000101100111100001001110011100010101111111100110001010111001011000010011111101111010001101101001001000101100110110110010001100010011
v100_s0_p30,100,0.3,v100_s0_p30__h2__nored__r0,h2,False,0,1.4764291726791763,48.0,1.6236945829878096,0010101010110010100100110110000101011101101010111010010101100011010110110011100001110101010001011100101110110010110011010100110011011001010111100110111001100010111011000001100011001100111110011010100
v100_s1_p30,100,0.3,v100_s1_p30__h2__nored__r0,h2,False,0,1.4293431756234818,42.0,2.9483968339918647,10101000111001001011011000011100001100110110011010111101001010101011100111110111001110101001010100101010111000111001010101010111010000101011010011101111011110000101011100001010101111111000010010110
v100_s0_p50,100,0.5,v100_s0_p50__h3__red__r0,h3,True,0,1.8670063068244935,42.0,1.0500113329908345,0111001001101010010110001010101101011001101010101011001100101010101100010010011110101011101001101001000100110111110011010001001011100111011100
v100_s1_p50,100,0.5,v100_s1_p50__h2__nored__r0,h2,False,0,1.8798459455807968,26.0,0.9976894999999786,001011001100101110111100110011101001100001011011001110100011001001100001110010011100001100000101010010010010011000010110010101010100110001010
v200_s0_p0,200,0.0,v200_s0_p0__h2__nored__r0,h2,False,0,1.2953778642490936,106.0,26.70225758300512,1010011001111000011001110100101010010110011101001101001110010101011001000101011001011101100101100100110101101000100011010101101000001100101100100110100101100010111001110100100110110111001010110110110001011010011011001011010110010110101000111000110010110101001011100101101110001101001000110111001100101110000001110101110010100000101001010001100001000100101110011101010100101010011000110010100010101111011001111001000110100100010010011101111101011100111000101010001101001111000111100100001100001001010100100101011110111011000110001111110101010101101111101101110000010111010111100000100
v200_s1_p0,200,0.0,v200_s1_p0__h2__nored__r0,h2,False,0,1.3057758607249812,152.0,22.11976758298988,101010110010001011010010011000111100100101010101011001001100001110001100101101011011010101110011000100110101110001100010011001110101011100011110110001001010011001101100111110000000111010101101110100001100000011001010011010111010100010011110011000110001010001100100011100001101100111001110100100101100101010001100101110110010100111101100010010110000100110101001011100011010100110001110100010110001101010101101011000110101110010000100100101110010101000110010110111111110010010001110000100110011100110100101100101111001001001110110000011001000110101011110100101110010101010111100101101
v200_s0_p10,200,0.1,v200_s0_p10__h2+3__nored__r0,h2+3,False,0,1.3314556603362842,180.0,23.84774691599887,100111011011100001101001011010110100111000110010100100110001010111000010011010101010110011101001000111011101100110001111010101010111001111010110001110011000100101101001100101011000110110010111010100011100011101000011101101100101001001000100100100110010110110101000111000110010110101010110010011100101101000100110011010100111011101011001110100000101010101001000111110110100010010111010101000110001011011111110000010110101100010010011001000010101100110110100001011001001101101011000110110001111011001001110011100101110100001100
v200_s1_p10,200,0.1,v200_s1_p10__h2__nored__r0,h2,False,0,1.3368149105919056,158.0,16.865234000011696,10010111010001100010100011001100100110110111001000111010101101001100011010101011000111001100110110011001010010001110110100100111100011011001000110011001101011001010101001001100000010101010101001011100101001010110000101010010000110001110010010001101011001011010110001011011100010111010100111100110110010100011011001001010001010010011100110100101010010111110110110100101101110100110110111010100011111000100110101111011000111001001101110111011011011001011011110000011100110101100110001001101100101110010100001110110100101011010
v200_s0_p30,200,0.3,v200_s0_p30__h2+3+4__nored__r0,h2+3+4,False,0,1.4492069169663746,130.0,15.762919707995025,110010010011011111010101011111000010101100000110011011010101001011000011011110101001010110001110011000011110001101011100001010111001001110011001110001100001010010100011000010000100100010111011101101001110110110111001101100010001110101100001110011111010100110101011011100010110001110011010110101001010100110111000010010100110110011110010101011011100101111010010101110100101000111001011011111110011100100111010
v200_s1_p30,200,0.3,v200_s1_p30__h2__nored__r0,h2,False,0,1.4768393165321572,90.0,6.5774401249946095,10100111000011110010111010111001011110100001111001100101010101011001101000101100110001101100010110011010010100110100100111100101101001011001100010101011101000000110011001101011001001010110101110100111110011010010110111100010001100100100011010001011010101011001110001101100101111101000100001100110000111101100011101100111000100010100100011010010100100101101110010010100100101010101111001010101110110001100110
