vertices,remove_ratio_target,hop_key,use_reduction,k,best_mean,best_std,sc_frac,n_graphs
100,0.0,h2,False,1,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,False,2,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,False,3,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,False,4,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,False,5,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,True,1,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,True,2,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,True,3,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,True,4,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2,True,5,1.3005329084495747,0.012589380376798244,1.0,2
100,0.0,h2+3,False,1,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,False,2,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,False,3,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,False,4,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,False,5,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,True,1,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,True,2,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,True,3,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,True,4,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3,True,5,1.3352174923841584,0.009743097020203269,1.0,2
100,0.0,h2+3+4,False,1,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,False,2,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,False,3,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,False,4,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,False,5,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,True,1,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,True,2,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,True,3,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,True,4,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h2+3+4,True,5,1.3479217372134014,0.0013646979480248247,1.0,2
100,0.0,h3,False,1,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,False,2,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,False,3,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,False,4,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,False,5,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,True,1,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,True,2,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,True,3,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,True,4,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h3,True,5,1.3348719135802467,0.017673786507816168,1.0,2
100,0.0,h4,False,1,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,False,2,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,False,3,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,False,4,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,False,5,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,True,1,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,True,2,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,True,3,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,True,4,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.0,h4,True,5,1.3404439634439638,0.0034916585933906963,1.0,2
100,0.1,h2,False,1,1.3598927168510526,0.007304134152324897,1.0,2
100,0.1,h2,False,2,1.3598927168510526,0.007304134152324897,1.0,2
100,0.1,h2,False,3,1.3598927168510526,0.007304134152324897,1.0,2
100,0.1,h2,False,4,1.3598927168510526,0.007304134152324897,1.0,2
100,0.1,h2,False,5,1.3598927168510526,0.007304134152324897,1.0,2
100,0.1,h2,True,1,1.3518722943722943,0.009738165299024746,1.0,2
100,0.1,h2,True,2,1.3518722943722943,0.009738165299024746,1.0,2
100,0.1,h2,True,3,1.3518722943722943,0.009738165299024746,1.0,2
100,0.1,h2,True,4,1.3518722943722943,0.009738165299024746,1.0,2
100,0.1,h2,True,5,1.3518722943722943,0.009738165299024746,1.0,2
100,0.1,h2+3,False,1,1.359510441718774,0.0027192206782209803,1.0,2
100,0.1,h2+3,False,2,1.359510441718774,0.0027192206782209803,1.0,2
100,0.1,h2+3,False,3,1.359510441718774,0.0027192206782209803,1.0,2
100,0.1,h2+3,False,4,1.359510441718774,0.0027192206782209803,1.0,2
100,0.1,h2+3,False,5,1.359510441718774,0.0027192206782209803,1.0,2
100,0.1,h2+3,True,1,1.3585978435145099,0.00013854168456032878,1.0,2
100,0.1,h2+3,True,2,1.3585978435145099,0.00013854168456032878,1.0,2
100,0.1,h2+3,True,3,1.3585978435145099,0.00013854168456032878,1.0,2
100,0.1,h2+3,True,4,1.3585978435145099,0.00013854168456032878,1.0,2
