graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v100_s0_p0,100,0.0,v100_s0_p0__h2__nored__r0,h2,False,0,1.3734191919192114,128.0,4.855009457969572,010101010100011010100000010100111101100100101101000010000101111000101110100010100011111100011100101010110000110101100001110010100000111010010100001001110001100110110101101010111001101011100101111011011101100100101000010110001110100010011000100001100001000110011000100101100101001001110010100100
v100_s1_p0,100,0.0,v100_s1_p0__h2__nored__r0,h2,False,0,1.3562828282828496,104.0,4.907236542028841,011110000011101001010100010011000110110011110100011101100010110110111001110100011110000111001111100010111000011001010110101001000100001110100010000110011011100001001111110000110101010111010010110010111010001010110011000110010001110011100001100010101110010010110100110100001111100011011000111001
v100_s0_p10,100,0.1,v100_s0_p10__h2__nored__r0,h2,False,0,1.3824360269360512,90.0,3.438698749989271,1010010001101101101111001010100010101001001111001001100100110111010001001000011110010110001001011010100110111110100111001110011011010111011000111001100101010011101010001000110110010001111100010011010111000001111100010001010100110110001010001101001101000011011111010
v100_s1_p10,100,0.1,v100_s1_p10__h2__nored__r0,h2,False,0,1.3631245791246003,86.0,3.5521312080090865,1011000011111100100000001100100111011110001110010110101100110000011000111001111100001010011110010011000000101011011010111100000111001001100110011100100100101001111000101100111100110101010000111101110001100001001001001001100100010010010101101001111010111000101110011
v100_s0_p30,100,0.3,v100_s0_p30__h2__nored__r0,h2,False,0,1.3976697931698006,38.0,2.2599597909720615,11100000111011100001000110110110110101110000001010110110111000111000011010100010000110011101110001110100010110011001010001001100110101010100110001100111001000101010001100011110110010101001101000001100111111
v100_s1_p30,100,0.3,v100_s1_p30__h3__nored__r0,h3,False,0,1.4359420394420512,36.0,2.8362710409564897,10010100100101001110011000101111011010011001000111101100100111010101100101000101100010000011001001001000111101110111111011000100111000001110101001011001100101001101110101010000011011110110111101111110010010
v100_s0_p50,100,0.5,v100_s0_p50__h2+3+4__red__r0,h2+3+4,True,0,1.8110469704257661,34.0,1.5217147080111317,100110101100011101011000101100010011110111000001101011011100101101101011100010011001010001110011110001101101011001100011011111101001101100011011111
v100_s1_p50,100,0.5,v100_s1_p50__h2__nored__r0,h2,False,0,1.622086842450483,28.0,1.6673887920333073,100010111011001111000010011111100001010110010011011100001100110111100000101111001001110110100011101010101000011011000111111100111010110110001000100
v200_s0_p0,200,0.0,v200_s0_p0__h2__nored__r0,h2,False,0,1.3434660804020178,228.0,22.515943499980494,010101010100011001101000101100101011001001010001110001101000000110011010110101110011001100000100111010001110101111010010010010100010011001001001111101011110011000111000100111001001110010001111101001000110000111001100001110100111100111101000000100111000001000100111000101011101000110100100101000101001110000101001111000111101000101010000110110001101100001111110010101101100100001011110110111110101110000010001101001100001110101110100010111111001100101010000111010111011100010001100111011110100110001010100010001101111011010100101101100111011010010010010100100011001111001001011011011011011001000
v200_s1_p0,200,0.0,v200_s1_p0__h2__nored__r0,h2,False,0,1.3526442928930331,224.0,24.70825883402722,011110101000110011000100101010110011000001110100101101011011001010010101011000010101001110010101101100010000010101010110101110101000111110100010011010000110101010101011100110010011000011010101000010111010110010100110111000110101010111100100101011010011100010010000111110111000110101000111011100000110110011011010000100111001101111001100010100100010011001100101101010101101110100001100010111111011110100110001110000110011100001000011101011100100010000011001000110011111001001101000101010010001011001011001001001000110111000011110100100100011101101100101001010001011110100100000111010110101111011
v200_s0_p10,200,0.1,v200_s0_p10__h2__nored__r0,h2,False,0,1.3602601698970815,198.0,16.824597499973606,0110101011001000100011101010110111110011010010110001011110101000010011000000111100011101100000010100110111001010000111001111011100010110011101001001001000111101011100101000000110110111001010010110001001100110001100110111011000011011110000011110000000001111101111010000110110101100001110111110001110100110001110011001101111010001011101001100010010010010100000110010010110100101100101000011001101101100101000110011011010110001010010011001100110010010110101001110110111101100010001111100100011011010011001110101001100101001110111011000100
