run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p0__h2__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h2,2,False,True,0,151413802,ok,,,4.855009457969572,,2026-08-29T06:09:35+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003191669820807874,294,0,0,49,43,161,21,365,294,175.859375,1.3734191919192114,1.0,128.0,,True,True
v100_s0_p0__h2__red__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h2,2,True,True,0,151413802,ok,,,4.826942791987676,,2026-08-29T06:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00025825004559010267,294,0,0,49,43,161,21,365,294,180.375,1.3734191919192114,1.0,128.0,,True,True
v100_s0_p0__h3__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h3,3,False,True,0,151413802,ok,,,6.73602791596204,,2026-08-29T06:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002792500308714807,294,0,0,49,43,161,21,507,294,183.46875,1.3846969696969826,1.0,84.0,,True,True
v100_s0_p0__h3__red__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h3,3,True,True,0,151413802,ok,,,6.6925790419918485,,2026-08-29T06:09:35+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002571250079199672,294,0,0,49,43,161,21,507,294,184.5625,1.3846969696969826,1.0,84.0,,True,True
v100_s0_p0__h4__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h4,4,False,True,0,151413802,ok,,,40.70192716602469,,2026-08-29T06:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002019999665208161,294,0,0,81,86,149,18,361,294,484.84375,1.3742575757575917,1.0,112.0,,True,True
v100_s0_p0__h4__red__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h4,4,True,True,0,151413802,ok,,,39.82474116701633,,2026-08-29T06:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021683401428163052,294,0,0,81,86,149,18,361,294,487.953125,1.3742575757575917,1.0,112.0,,True,True
v100_s0_p0__h2+3__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h2+3,2+3,False,True,0,151413802,ok,,,7.332641541957855,,2026-08-29T06:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002633330295793712,294,0,0,49,43,161,21,507,294,181.90625,1.39097306397308,1.0,88.0,,True,True
v100_s0_p0__h2+3__red__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h2+3,2+3,True,True,0,151413802,ok,,,7.326139417011291,,2026-08-29T06:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00026933400658890605,294,0,0,49,43,161,21,507,294,186.03125,1.39097306397308,1.0,88.0,,True,True
v100_s0_p0__h2+3+4__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h2+3+4,2+3+4,False,True,0,151413802,ok,,,42.82128058298258,,2026-08-29T06:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002590420190244913,294,0,0,81,86,149,18,359,294,480.609375,1.377462962962982,1.0,128.0,,True,True
v100_s0_p0__h2+3+4__red__r0,v100_s0_p0,100,0,0.0,0.0,100,294,h2+3+4,2+3+4,True,True,0,151413802,ok,,,42.81392154202331,,2026-08-29T06:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00024183298228308558,294,0,0,81,86,149,18,359,294,491.109375,1.377462962962982,1.0,128.0,,True,True
