vertices,remove_ratio_target,hop_key,use_reduction,n_runs,n_ok,n_timeout,n_error,n_sc,time_mean,time_std,n_subgraphs_mean,qubo_vars_mean,n_edges_mean,n_edges_solved_mean,sc_rate,apsp_mean,apsp_std,apsp_min,apsp_max
100,0.0,h2,False,2,2,0,0,2,4.8811229999992065,0.036930125299908405,44.5,173.0,294.0,294.0,1.0,1.3648510101010305,0.012117238932149943,1.3562828282828496,1.3734191919192114
100,0.0,h2,True,2,2,0,0,2,4.907689374987967,0.11419291279429652,44.5,173.0,294.0,294.0,1.0,1.3648510101010305,0.012117238932149943,1.3562828282828496,1.3734191919192114
100,0.0,h3,False,2,2,0,0,2,6.817367874959018,0.11503207317639726,57.0,148.5,294.0,294.0,1.0,1.3862104377104494,0.0021403669908625377,1.3846969696969826,1.3877239057239161
100,0.0,h3,True,2,2,0,0,2,6.895008458493976,0.28627842624058064,57.0,148.5,294.0,294.0,1.0,1.3862104377104494,0.0021403669908625377,1.3846969696969826,1.3877239057239161
100,0.0,h4,False,2,2,0,0,2,40.23037664551521,0.6668731414486009,84.0,147.0,294.0,294.0,1.0,1.3723341750841886,0.0027200993182040943,1.3704107744107856,1.3742575757575917
100,0.0,h4,True,2,2,0,0,2,39.76873047900153,0.07921107462837004,84.0,147.0,294.0,294.0,1.0,1.3723341750841886,0.0027200993182040943,1.3704107744107856,1.3742575757575917
100,0.0,h2+3,False,2,2,0,0,2,7.358103375474457,0.036008470282063644,57.0,148.5,294.0,294.0,1.0,1.388096801346816,0.004067649615009332,1.385220538720552,1.39097306397308
100,0.0,h2+3,True,2,2,0,0,2,7.394208750512917,0.0962645746196965,57.0,148.5,294.0,294.0,1.0,1.388096801346816,0.004067649615009332,1.385220538720552,1.39097306397308
100,0.0,h2+3+4,False,2,2,0,0,2,42.84696110399091,0.03631774109878145,84.0,147.0,294.0,294.0,1.0,1.3766540404040573,0.0011439892537409018,1.3758451178451325,1.377462962962982
100,0.0,h2+3+4,True,2,2,0,0,2,42.587770208512666,0.31982628299951216,84.0,147.0,294.0,294.0,1.0,1.3766540404040573,0.0011439892537409018,1.3758451178451325,1.377462962962982
100,0.1,h2,False,2,2,0,0,2,3.495414978999179,0.08020886027246983,21.5,201.5,265.0,265.0,1.0,1.3727803030303258,0.013655255702007114,1.3631245791246003,1.3824360269360512
100,0.1,h2,True,2,2,0,0,2,3.332028270990122,0.014848859178770511,27.5,173.0,265.0,253.5,1.0,1.3867643097643225,0.0054378178054936875,1.382919191919201,1.390609427609444
100,0.1,h3,False,2,2,0,0,2,5.204869687528117,0.05883797273869701,50.5,142.5,265.0,265.0,1.0,1.384470538720552,0.00868408075548137,1.3783299663299795,1.3906111111111243
100,0.1,h3,True,2,2,0,0,2,5.2014140829851385,0.11994970526935139,53.5,125.5,265.0,253.5,1.0,1.4023619528619702,0.0077091304965729674,1.3969107744107914,1.4078131313131488
100,0.1,h4,False,2,2,0,0,2,25.64704441651702,1.0005210349072917,69.0,149.0,265.0,265.0,1.0,1.3876363636363793,0.015123037959928915,1.376942760942772,1.3983299663299866
100,0.1,h4,True,2,2,0,0,2,25.43911535400548,1.9526154786348457,85.0,84.5,265.0,253.5,1.0,1.3787112794613003,0.008003163114336508,1.373052188552211,1.3843703703703896
100,0.1,h2+3,False,2,2,0,0,2,5.600117104506353,0.07926605144678062,50.5,142.5,265.0,265.0,1.0,1.3909393939394097,0.0037783786590710254,1.38826767676769,1.3936111111111293
