vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_dnc,sc_rate_whole,n_subgraphs_dnc,median_diff_apsp,p_apsp,median_ratio_time,p_time
100,h2,16,16,1.0,1.0,21.875,0.0037107984608013567,0.5013044015719108,1.4931581575770232,3.0517578125e-05
100,h3,16,16,1.0,1.0,36.625,0.05093097643097333,0.0004358423668112834,1.2901823735782671,3.0517578125e-05
100,h4,16,0,1.0,0.0,56.1875,,,0.6794163406208054,9.1552734375e-05
100,h2+3,16,16,1.0,1.0,36.625,0.054771043771041916,0.009701160801134775,1.3574292798103316,3.0517578125e-05
100,h2+3+4,16,0,1.0,0.0,56.1875,,,0.7073558855608495,0.00042724609375
200,h2,16,16,1.0,1.0,50.25,-0.008817330701114456,0.0019120513329395137,1.9960316551867758,3.0517578125e-05
200,h3,16,16,1.0,1.0,84.25,0.040599874371846756,0.0019120513329395137,1.8602933861633026,3.0517578125e-05
200,h4,16,0,1.0,0.0,124.25,,,0.814007138304971,0.000152587890625
200,h2+3,16,16,1.0,1.0,84.25,0.0363344908511507,0.011258320034839954,1.8680439996538392,3.0517578125e-05
200,h2+3+4,16,0,1.0,0.0,124.25,,,0.8344258860504323,0.00030517578125
300,h2,16,16,1.0,1.0,98.0,-0.004615869034389042,0.022849203484986404,2.7699418593995,3.0517578125e-05
300,h3,16,16,1.0,1.0,132.625,0.037788575864243446,0.007150446793058351,2.4658453337657185,9.1552734375e-05
300,h4,16,0,1.0,0.0,183.125,,,0.8767417222245699,0.104583740234375
300,h2+3,16,16,1.0,1.0,132.625,0.03673782980298079,0.002274451645991133,2.157002519237424,6.103515625e-05
300,h2+3+4,16,0,1.0,0.0,183.625,,,0.849589286163523,0.021392822265625
400,h2,16,15,1.0,0.9375,128.8125,-0.003963868003351356,0.28033687850550715,3.2295212504173962,6.103515625e-05
400,h3,16,16,1.0,1.0,194.1875,0.03321816529332888,0.029818382500813,3.2397305876180313,6.103515625e-05
400,h4,12,0,0.9166666666666666,0.0,223.16666666666666,,,0.9431208011266388,0.02099609375
400,h2+3,16,15,1.0,0.9375,194.1875,0.033607692258959654,0.06903186385765112,3.100401712476241,6.103515625e-05
400,h2+3+4,12,0,1.0,0.0,223.16666666666666,,,0.9009226633659231,0.0048828125
500,h2,16,15,0.9375,1.0,162.75,-0.005551741578339486,0.03084041158891083,4.4166796213040245,3.0517578125e-05
500,h3,16,14,1.0,0.875,217.0625,0.026576270334530916,0.08413097782968183,3.955265393511671,3.0517578125e-05
500,h4,12,0,1.0,0.0,278.8333333333333,,,1.4269698503082562,0.00048828125
500,h2+3,16,16,1.0,1.0,217.0625,0.021932066462572175,0.07023190420675463,4.6201243034234505,3.0517578125e-05
500,h2+3+4,12,0,1.0,0.0,278.75,,,1.5313028904139927,0.00048828125
