vertices,use_reduction,hop_key,baseline,n_pairs,n_pairs_both_sc,sc_rate_hop,sc_rate_base,median_diff_apsp,p_apsp,median_diff_time,p_time
100,False,h3,h2,8,8,1.0,1.0,0.01599077353622058,0.0234375,1.1702675209962763,0.015625
100,False,h4,h2,8,8,1.0,1.0,0.01501094276093573,0.0078125,13.768103750015143,0.0078125
100,False,h2+3,h2,8,8,1.0,1.0,0.021348484848479177,0.0078125,1.5311709585075732,0.0078125
100,False,h2+3+4,h2,8,8,1.0,1.0,0.030028619528611467,0.0078125,15.00927952103666,0.0078125
100,True,h3,h2,8,8,1.0,1.0,0.018085858585859538,0.7421875,1.2824889789917506,0.0078125
100,True,h4,h2,8,8,1.0,1.0,0.0011447811447844458,0.9453125,13.03350458299974,0.0078125
100,True,h2+3,h2,8,8,1.0,1.0,0.02152441077441536,0.7421875,1.632143395516323,0.0078125
100,True,h2+3+4,h2,8,8,1.0,1.0,0.010254208754215233,0.7421875,14.577414083469193,0.0078125
200,False,h3,h2,8,8,1.0,1.0,0.01043238513998257,0.25,7.858924520958681,0.0078125
200,False,h4,h2,8,8,1.0,1.0,0.02434341694737352,0.0234375,85.59215045798919,0.0078125
200,False,h2+3,h2,8,8,1.0,1.0,0.014377284130589696,0.1484375,8.52568493745639,0.0078125
200,False,h2+3+4,h2,8,8,1.0,1.0,0.0250612885857856,0.015625,91.69832675004727,0.0078125
200,True,h3,h2,8,8,1.0,1.0,0.010307504785831756,0.0078125,5.362935604003724,0.0078125
200,True,h4,h2,8,8,1.0,1.0,0.018034694751076108,0.109375,76.5531682294968,0.0078125
200,True,h2+3,h2,8,8,1.0,1.0,0.014837067001963078,0.015625,6.067214167007478,0.0078125
200,True,h2+3+4,h2,8,8,1.0,1.0,0.017401471643948563,0.078125,82.45576685402193,0.0078125
300,False,h3,h2,8,8,1.0,1.0,0.01799076286036938,0.1484375,15.054761728999438,0.0078125
300,False,h4,h2,8,8,1.0,1.0,0.01500393065073613,0.0390625,245.69475856248755,0.0078125
300,False,h2+3,h2,8,8,1.0,1.0,0.014103320592478763,0.078125,15.17990254148026,0.0078125
300,False,h2+3+4,h2,8,8,1.0,1.0,0.014748659553045274,0.0390625,253.40204816646292,0.0078125
300,True,h3,h2,8,8,1.0,1.0,0.025425253490503175,0.078125,9.635899062501267,0.0078125
300,True,h4,h2,8,8,1.0,1.0,0.011081196581207431,0.3125,203.5194970004959,0.0078125
300,True,h2+3,h2,8,8,1.0,1.0,0.023527379625248535,0.1953125,9.049580646009417,0.0078125
300,True,h2+3+4,h2,8,8,1.0,1.0,0.012426633752765981,0.078125,215.15258033349528,0.0078125
400,False,h3,h2,8,8,1.0,1.0,0.01754464161391378,0.1953125,58.826480916992296,0.0078125
400,False,h4,h2,8,8,1.0,1.0,0.010491716642755833,0.1953125,544.6664348750201,0.0078125
400,False,h2+3,h2,8,8,1.0,1.0,0.01807229382976916,0.1953125,65.61412160351756,0.0078125
400,False,h2+3+4,h2,8,8,1.0,1.0,0.011073346626900848,0.1953125,524.2221575005387,0.0078125
400,True,h3,h2,8,8,1.0,1.0,0.013820097117755004,0.1484375,35.79523827001685,0.0078125
400,True,h4,h2,8,7,0.875,1.0,0.006025845864595647,0.296875,489.297034896008,0.0078125
400,True,h2+3,h2,8,8,1.0,1.0,0.015837406014989397,0.1953125,37.952233644988155,0.0078125
400,True,h2+3+4,h2,8,8,1.0,1.0,0.006773421649340916,0.1484375,493.7696181665233,0.0078125
500,False,h3,h2,8,8,1.0,1.0,0.014679993319935858,0.078125,47.83410887501668,0.0078125
500,False,h4,h2,8,8,1.0,1.0,0.012357152399988136,0.0390625,1219.2125373749877,0.0078125
500,False,h2+3,h2,8,8,1.0,1.0,0.014060292012596731,0.0546875,56.21749972901307,0.0078125
500,False,h2+3+4,h2,8,8,1.0,1.0,0.009197871139071001,0.0546875,1200.8655497914879,0.0078125
500,True,h3,h2,8,7,1.0,0.875,0.019066800267199646,0.015625,75.14688443747582,0.0078125
500,True,h4,h2,8,7,1.0,0.875,0.009493339059030825,0.296875,1043.6848038329917,0.0078125
500,True,h2+3,h2,8,7,1.0,0.875,0.016778538028479284,0.109375,86.4600952504552,0.0078125
500,True,h2+3+4,h2,8,7,1.0,0.875,0.00966549289049734,0.296875,1064.1248419164622,0.0078125
