vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_on,sc_rate_off,median_diff_apsp,p_apsp,median_diff_time,median_ratio_time,p_time
100,h2,8,8,1.0,1.0,0.02293458393458092,0.03125,-0.37519947849796154,0.84886957797598,0.0234375
100,h3,8,8,1.0,1.0,0.01789141414141815,0.3125,-0.2719699165027123,0.9046714992799709,0.078125
100,h4,8,8,1.0,1.0,-0.0020853775853780787,0.4375,-0.8586522700206842,0.909146046318057,0.0234375
100,h2+3,8,8,1.0,1.0,0.00989309764310109,0.3125,-0.30152458348311484,0.9075656559211558,0.0390625
100,h2+3+4,8,8,1.0,1.0,7.960557960462467e-05,0.84375,-0.6941766460367944,0.9393290143913624,0.0078125
200,h2,8,8,1.0,1.0,0.005977416846134176,0.21875,-0.7144729379797354,0.9117046054988008,0.4609375
200,h3,8,8,1.0,1.0,0.008894666786309902,0.15625,-2.230944187467685,0.8576480266056706,0.0234375
200,h4,8,8,1.0,1.0,0.0,0.84375,-3.619459270994412,0.9053725423303354,0.0390625
200,h2+3,8,8,1.0,1.0,0.009725059523104651,0.21875,-2.3975852909788955,0.8815731483463711,0.0546875
200,h2+3+4,8,8,1.0,1.0,0.0,0.84375,-3.8395641459792387,0.9157433816263866,0.0390625
300,h2,8,8,1.0,1.0,0.006973410044071371,0.15625,-2.76836570847081,0.8739705932521686,0.546875
300,h3,8,8,1.0,1.0,0.006498141954653147,0.3125,-2.4119684789911844,0.8745881412571661,0.9453125
300,h4,8,8,1.0,1.0,0.0,1.0,-12.626840708457166,0.8847075560837419,0.0078125
300,h2+3,8,8,1.0,1.0,0.007714823220262956,0.3125,-3.3996298755228054,0.8725161965166703,0.546875
300,h2+3+4,8,8,1.0,1.0,0.001956010776657635,0.5625,-11.717873521032743,0.9013391934626815,0.0078125
400,h2,8,8,1.0,1.0,0.0016166516666646924,0.4375,-7.364288083510473,0.872727508520307,0.0546875
400,h3,8,8,1.0,1.0,0.003426132295029194,0.4375,-7.99123847897863,0.7655241669342606,0.0234375
400,h4,8,7,0.875,1.0,0.0,0.4375,-11.231006916495971,0.9066451351054702,0.078125
400,h2+3,8,8,1.0,1.0,5.1546276398029e-05,0.6875,-8.507635166519322,0.7606390112611447,0.1953125
400,h2+3+4,8,8,1.0,1.0,0.0022881981740282553,0.21875,-7.936713729519397,0.9478773203535419,0.4609375
500,h2,8,7,0.875,1.0,0.0,0.8125,-14.093309436982963,0.9005975753123732,0.3828125
500,h3,8,8,1.0,1.0,0.00889105592140027,0.0625,-2.3379579170432407,0.9952578430101278,1.0
500,h4,8,8,1.0,1.0,0.0006777642586718313,0.3125,-63.6765392080124,0.8849655966205627,0.0546875
500,h2+3,8,8,1.0,1.0,0.00972795701924134,0.15625,-7.1860602290253155,0.9888692732205491,1.0
500,h2+3+4,8,8,1.0,1.0,0.002520046442093582,0.3125,-48.45416108347126,0.9062722092480152,0.109375
