graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v100_s0_p0,100,0.0,v100_s0_p0__h3__red__r0,h3,True,0,1.7782636238621086,96.0,1.2168250830145553,1001100001011001100110010111010011101001010011001010100100100101011001111101001101011100010101010110010100100110011001000100100100111010001000111001
v100_s1_p0,100,0.0,v100_s1_p0__h2+3+4__red__r0,h2+3+4,True,0,1.7317117391587162,96.0,2.5114682499552146,1000101110100011101011001011001010010101010011010010100101100011111011111110100101011101000010010100101101001001100110011101001010011010101111000001
v100_s0_p10,100,0.1,v100_s0_p10__h3__red__r0,h3,True,0,2.018903368953955,66.0,0.6406600420014001,0110001010101001001010110100111110011010101000100010101010111010011001010101010100100010010111000011011001001100110001101101000010111
v100_s1_p10,100,0.1,v100_s1_p10__h3__nored__r0,h3,False,0,2.0648180413202755,66.0,0.7846177500323392,1101010010101101010111111001001010101110101011110010101010010010111001011100100101000010101111111010111011000100100101001001011100110
v100_s0_p30,100,0.3,v100_s0_p30__h2+3__red__r0,h2+3,True,0,2.609172983039251,22.0,0.21204170800046995,010101101011010011010100010010010011101101010101111001110101110111011001101001100110100110010011010010111100010
v100_s1_p30,100,0.3,v100_s1_p30__h2+3__nored__r0,h2+3,False,0,2.8326941710486158,10.0,0.5038367090164684,100110110101101001011011000110100110110110011111011110110010000001001000100101010110111010010010101100111
v100_s0_p50,100,0.5,v100_s0_p50__h3__nored__r0,h3,False,0,2.536975012048449,22.0,0.5055355000076815,010010010101001100101011110010010010100010100101101011010110001001011000101101000110100111101100010100011100011
v100_s1_p50,100,0.5,v100_s1_p50__h2__nored__r0,h2,False,0,2.853951264502905,10.0,0.47242558299330994,011001001010010110100101011001011001001001100000100011001101111101110111011010101001000101101101010011000
v200_s0_p0,200,0.0,v200_s0_p0__h3__red__r0,h3,True,0,1.6793275000977277,196.0,4.249837958021089,0101101000110011010010110110111101011010110010101100101101101100100110100110001010110001011001001101100111001011110100000100110110010011110101111101011011111010010100100100010110100010101001010110010101000100011011000101101010010010111010001011101100110010010101110111010110000101010100001000101110
v200_s1_p0,200,0.0,v200_s1_p0__h3__red__r0,h3,True,0,1.6722436828045257,196.0,4.501575667003635,1001101101010100010101011011010100101111011010001000111011101100001110010111001010010100101110101011011000010010001001011001100111011011111010101101001101000101110111001100110010110100010110110010100101000111010011111010111100110001001001000001100111011101010110110000101110111000100010011010101010
v200_s0_p10,200,0.1,v200_s0_p10__h4__red__r0,h4,True,0,1.8794736029229746,136.0,3.306534958013799,1001000100011011010010101101010101000110011010011001011011101100100011010111011101010011010010001100100001011101110000101010011001101101000101010000110001010110111110110101101110010001101001000010000100000101011010111010011001101100010010100001010101110111000110110101
v200_s1_p10,200,0.1,v200_s1_p10__h2+3+4__red__r0,h2+3+4,True,0,1.8864012722276116,136.0,4.001693375001196,0100101001010010110101001010110000101010111110111010101000000001001000100101001011101100011101011010001010010110110011101010101110100010110110100010000010010100010101001101000101010000111100111000100011110101000001000011101011010100110101001111101101011000101111101101
