vertices,remove_ratio_target,hop_key,use_reduction,k,best_mean,best_std,sc_frac,n_graphs
100,0.0,h2,False,1,2.1991911927858965,0.13921531997579645,1.0,2
100,0.0,h2,False,2,2.1991911927858965,0.13921531997579645,1.0,2
100,0.0,h2,False,3,2.1991911927858965,0.13921531997579645,1.0,2
100,0.0,h2,False,4,2.1991911927858965,0.13921531997579645,1.0,2
100,0.0,h2,False,5,2.1991911927858965,0.13921531997579645,1.0,2
100,0.0,h2,True,1,2.104003071003076,0.09597547106543301,1.0,2
100,0.0,h2,True,2,2.104003071003076,0.09597547106543301,1.0,2
100,0.0,h2,True,3,2.104003071003076,0.09597547106543301,1.0,2
100,0.0,h2,True,4,2.104003071003076,0.09597547106543301,1.0,2
100,0.0,h2,True,5,2.104003071003076,0.09597547106543301,1.0,2
100,0.0,h2+3,False,1,1.7757291937860158,0.005278526699873066,1.0,2
100,0.0,h2+3,False,2,1.7757291937860158,0.005278526699873066,1.0,2
100,0.0,h2+3,False,3,1.7757291937860158,0.005278526699873066,1.0,2
100,0.0,h2+3,False,4,1.7757291937860158,0.005278526699873066,1.0,2
100,0.0,h2+3,False,5,1.7757291937860158,0.005278526699873066,1.0,2
100,0.0,h2+3,True,1,1.7625050101413762,0.031341334646755724,1.0,2
100,0.0,h2+3,True,2,1.7625050101413762,0.031341334646755724,1.0,2
100,0.0,h2+3,True,3,1.7625050101413762,0.031341334646755724,1.0,2
100,0.0,h2+3,True,4,1.7625050101413762,0.031341334646755724,1.0,2
100,0.0,h2+3,True,5,1.7625050101413762,0.031341334646755724,1.0,2
100,0.0,h2+3+4,False,1,1.7965860929194322,0.06903168809300948,1.0,2
100,0.0,h2+3+4,False,2,1.7965860929194322,0.06903168809300948,1.0,2
100,0.0,h2+3+4,False,3,1.7965860929194322,0.06903168809300948,1.0,2
100,0.0,h2+3+4,False,4,1.7965860929194322,0.06903168809300948,1.0,2
100,0.0,h2+3+4,False,5,1.7965860929194322,0.06903168809300948,1.0,2
100,0.0,h2+3+4,True,1,1.7750171156004524,0.06124305068757568,1.0,2
100,0.0,h2+3+4,True,2,1.7750171156004524,0.06124305068757568,1.0,2
100,0.0,h2+3+4,True,3,1.7750171156004524,0.06124305068757568,1.0,2
100,0.0,h2+3+4,True,4,1.7750171156004524,0.06124305068757568,1.0,2
100,0.0,h2+3+4,True,5,1.7750171156004524,0.06124305068757568,1.0,2
100,0.0,h3,False,1,1.7969022744931855,0.035671382272576255,1.0,2
100,0.0,h3,False,2,1.7969022744931855,0.035671382272576255,1.0,2
100,0.0,h3,False,3,1.7969022744931855,0.035671382272576255,1.0,2
100,0.0,h3,False,4,1.7969022744931855,0.035671382272576255,1.0,2
100,0.0,h3,False,5,1.7969022744931855,0.035671382272576255,1.0,2
100,0.0,h3,True,1,1.772999680033771,0.007444340753605048,1.0,2
100,0.0,h3,True,2,1.772999680033771,0.007444340753605048,1.0,2
100,0.0,h3,True,3,1.772999680033771,0.007444340753605048,1.0,2
100,0.0,h3,True,4,1.772999680033771,0.007444340753605048,1.0,2
100,0.0,h3,True,5,1.772999680033771,0.007444340753605048,1.0,2
100,0.0,h4,False,1,1.8182674544871587,0.045150540837589175,1.0,2
100,0.0,h4,False,2,1.8182674544871587,0.045150540837589175,1.0,2
100,0.0,h4,False,3,1.8182674544871587,0.045150540837589175,1.0,2
100,0.0,h4,False,4,1.8182674544871587,0.045150540837589175,1.0,2
100,0.0,h4,False,5,1.8182674544871587,0.045150540837589175,1.0,2
100,0.0,h4,True,1,1.7993692734033706,0.054923504679937965,1.0,2
100,0.0,h4,True,2,1.7993692734033706,0.054923504679937965,1.0,2
100,0.0,h4,True,3,1.7993692734033706,0.054923504679937965,1.0,2
100,0.0,h4,True,4,1.7993692734033706,0.054923504679937965,1.0,2
100,0.0,h4,True,5,1.7993692734033706,0.054923504679937965,1.0,2
100,0.1,h2,False,1,2.609645323832609,0.36339501002240227,1.0,2
100,0.1,h2,False,2,2.609645323832609,0.36339501002240227,1.0,2
100,0.1,h2,False,3,2.609645323832609,0.36339501002240227,1.0,2
100,0.1,h2,False,4,2.609645323832609,0.36339501002240227,1.0,2
100,0.1,h2,False,5,2.609645323832609,0.36339501002240227,1.0,2
100,0.1,h2,True,1,2.5499288693332827,0.41224686440061525,1.0,2
100,0.1,h2,True,2,2.5499288693332827,0.41224686440061525,1.0,2
100,0.1,h2,True,3,2.5499288693332827,0.41224686440061525,1.0,2
