graph_id,vertices,remove_ratio_target,hop_key,rep,apsp_sum_off,apsp_sum_on,elapsed_sec_off,elapsed_sec_on,ok_off,ok_on,qubo_vars_total_off,qubo_vars_total_on,strongly_connected_off,strongly_connected_on,both_sc,diff_apsp,diff_time,ratio_time,diff_qubo_vars
v100_s0_p0,100,0.0,h2,0,2.2976312895858375,2.1718679774210172,0.6143688750453293,0.5888981660245918,True,True,148.0,144.0,True,True,True,-0.12576331216482028,-0.02547070902073756,0.9585416676278429,-4.0
v100_s0_p0,100,0.0,h3,0,1.8221257507924218,1.7782636238621086,1.2772459170082584,1.2168250830145553,True,True,148.0,144.0,True,True,True,-0.04386212693031322,-0.06042083399370313,0.9526944395052527,-4.0
v100_s0_p0,100,0.0,h4,0,1.8501937080876583,1.8382060560090858,2.0787438330007717,2.022869708016515,True,True,112.0,100.0,True,True,True,-0.011987652078572442,-0.05587412498425692,0.9731212070976539,-12.0
v100_s0_p0,100,0.0,h2+3,0,1.7794616758101705,1.7846666804015339,1.3135017500026152,1.2520392919541337,True,True,148.0,144.0,True,True,True,0.005205004591363416,-0.061462458048481494,0.9532071746015115,-4.0
v100_s0_p0,100,0.0,h2+3+4,0,1.8453988676867537,1.8183224920421888,2.514112541975919,2.4296586660202593,True,True,112.0,100.0,True,True,True,-0.027076375644564887,-0.0844538759556599,0.9664080765894095,-12.0
v100_s0_p10,100,0.1,h2,0,2.352686247996415,2.2584263159927165,0.4915205420111306,0.3452467499882914,True,True,133.0,99.0,True,True,True,-0.09425993200369831,-0.1462737920228392,0.7024055364515635,-34.0
v100_s0_p10,100,0.1,h3,0,2.043034726092882,2.018903368953955,0.7458236670354381,0.6406600420014001,True,True,133.0,99.0,True,True,True,-0.024131357138927,-0.10516362503403798,0.8589966641149226,-34.0
v100_s0_p10,100,0.1,h2+3,0,2.028948497696272,2.0760237246248856,0.8523194580338895,0.6844319590018131,True,True,133.0,99.0,True,True,True,0.047075226928613656,-0.16788749903207645,0.8030228015451444,-34.0
v100_s0_p30,100,0.3,h2,0,2.7906920713151577,2.716002207209742,0.46096816699719056,0.16764016699744388,True,True,111.0,33.0,True,True,True,-0.07468986410541589,-0.2933279999997467,0.3636697260235447,-78.0
v100_s0_p30,100,0.3,h3,0,2.750716687337919,2.6919214927246893,0.45326387498062104,0.2042885419796221,True,True,111.0,33.0,True,True,True,-0.058795194613229906,-0.24897533300099894,0.45070554539197794,-78.0
