run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p0__h2__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h2,2,False,True,0,151413802,ok,,,0.6143688750453293,,2026-08-29T17:55:35+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0001853749854490161,144,4,0,1.0,,148.0,148.0,292.0,148.0,161.59375,2.2976312895858375,0.08,96.0,-100.0,True,True
v100_s0_p0__h2__red__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h2,2,True,True,0,151413802,ok,,,0.5888981660245918,,2026-08-29T17:55:35+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00017604196909815073,144,4,0,1.0,,144.0,144.0,288.0,144.0,161.1875,2.1718679774210172,1.0,96.0,,True,True
v100_s0_p0__h3__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h3,3,False,True,0,151413802,ok,,,1.2772459170082584,,2026-08-29T17:55:35+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002192090032622218,144,4,0,1.0,,148.0,148.0,839.0,148.0,237.140625,1.8221257507924218,1.0,96.0,-188.0,True,True
v100_s0_p0__h3__red__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h3,3,True,True,0,151413802,ok,,,1.2168250830145553,,2026-08-29T17:55:35+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00022466701921075583,144,4,0,1.0,,144.0,144.0,819.0,144.0,233.5,1.7782636238621086,1.0,96.0,,True,True
v100_s0_p0__h4__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h4,4,False,True,0,151413802,ok,,,2.0787438330007717,,2026-08-29T17:55:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00019045895896852016,144,4,0,2.0,21.0,112.0,93.0,399.0,148.0,205.421875,1.8501937080876583,1.0,96.0,,True,True
v100_s0_p0__h4__red__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h4,4,True,True,0,151413802,ok,,,2.022869708016515,,2026-08-29T17:55:36+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00018400000408291817,144,4,0,3.0,13.0,100.0,83.0,329.0,144.0,214.046875,1.8382060560090858,1.0,96.0,,True,True
v100_s0_p0__h2+3__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h2+3,2+3,False,True,0,151413802,ok,,,1.3135017500026152,,2026-08-29T17:55:37+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00015224999515339732,144,4,0,1.0,,148.0,148.0,839.0,148.0,235.578125,1.7794616758101705,0.98,96.0,-384.0,True,True
v100_s0_p0__h2+3__red__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h2+3,2+3,True,True,0,151413802,ok,,,1.2520392919541337,,2026-08-29T17:55:37+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00015708396676927805,144,4,0,1.0,,144.0,144.0,819.0,144.0,233.546875,1.7846666804015339,1.0,96.0,,True,True
v100_s0_p0__h2+3+4__nored__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h2+3+4,2+3+4,False,True,0,151413802,ok,,,2.514112541975919,,2026-08-29T17:55:39+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00017274997662752867,144,4,0,2.0,21.0,112.0,93.0,400.0,148.0,207.015625,1.8453988676867537,1.0,96.0,,True,True
v100_s0_p0__h2+3+4__red__r0,v100_s0_p0,100,0,0.0,0.0,100,148,h2+3+4,2+3+4,True,True,0,151413802,ok,,,2.4296586660202593,,2026-08-29T17:55:39+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00016695796512067318,144,4,0,3.0,13.0,100.0,83.0,330.0,144.0,212.21875,1.8183224920421888,1.0,96.0,,True,True
