vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_dnc,sc_rate_whole,n_subgraphs_dnc,median_diff_apsp,p_apsp,median_ratio_time,p_time
100,h2,16,16,1.0,1.0,1.0,0.0,,0.8530825031742824,0.0155029296875
100,h3,16,16,1.0,1.0,1.0,0.0,,0.837603385728448,0.00335693359375
100,h4,11,0,0.5454545454545454,0.0,2.4545454545454546,,,1.4650012224745257,0.001953125
100,h2+3,16,16,1.0,1.0,1.0,0.0,,0.8853506152983588,0.02496337890625
100,h2+3+4,11,0,0.5454545454545454,0.0,2.4545454545454546,,,1.5779701731491713,0.0009765625
200,h2,16,11,0.6875,0.6875,1.0,0.0,,0.7499401968982998,0.001312255859375
200,h3,16,13,0.8125,0.8125,1.0,0.0,,0.736220787767748,0.001312255859375
200,h4,14,0,0.5714285714285714,0.0,4.142857142857143,,,1.8982049975188477,0.0052490234375
200,h2+3,16,13,0.8125,0.8125,1.0,0.0,,0.7482344339563869,0.001312255859375
200,h2+3+4,14,0,0.5,0.0,4.142857142857143,,,1.843485172713593,0.0052490234375
300,h2,16,12,0.75,0.75,1.0,0.0,,0.7087595536061524,0.001007080078125
300,h3,16,14,0.875,0.875,1.0,0.0,,0.6878590617789515,6.103515625e-05
300,h4,14,0,0.7142857142857143,0.0,5.214285714285714,,,2.733781817178384,0.0052490234375
300,h2+3,16,14,0.875,0.875,1.0,0.0,,0.6978525587518776,0.000152587890625
300,h2+3+4,14,0,0.7142857142857143,0.0,5.214285714285714,,,2.7692527980864687,0.0052490234375
400,h2,16,3,0.1875,0.1875,1.0,0.0,,1.1654897902937664,0.05767822265625
400,h3,16,12,0.75,0.75,1.0,0.0,,1.15680411297377,0.05767822265625
400,h4,14,0,0.5,0.0,7.785714285714286,,,4.896875915341923,0.0001220703125
400,h2+3,16,12,0.75,0.75,1.0,0.0,,1.1553844864662843,3.0517578125e-05
400,h2+3+4,14,0,0.5,0.0,9.357142857142858,,,5.57469514201262,0.0001220703125
500,h2,16,4,0.25,0.25,1.0,0.0,,1.1027475902452553,3.0517578125e-05
500,h3,16,12,0.75,0.75,1.0,0.0,,1.0812201000179213,3.0517578125e-05
500,h4,15,0,0.6666666666666666,0.0,8.8,,,3.238982088031601,6.103515625e-05
500,h2+3,16,12,0.75,0.75,1.0,0.0,,1.1149579715490998,3.0517578125e-05
500,h2+3+4,15,0,0.6,0.0,8.8,,,3.4544819837332423,6.103515625e-05
