vertices,use_reduction,hop_key,baseline,n_pairs,n_pairs_both_sc,sc_rate_hop,sc_rate_base,median_diff_apsp,p_apsp,median_diff_time,p_time
100,False,h3,h2,8,8,1.0,1.0,-0.254199279622743,0.0390625,0.13722254149615765,0.0390625
100,False,h4,h2,8,3,0.375,1.0,-0.3712177501972529,,0.5000428330095019,0.25
100,False,h2+3,h2,8,8,1.0,1.0,-0.17665973840886817,0.25,0.19226616647210903,0.0078125
100,False,h2+3+4,h2,8,3,0.375,1.0,-0.45223242189908386,,0.7348253125092015,0.0234375
100,True,h3,h2,8,8,1.0,1.0,-0.159768261515717,0.0546875,0.10520920850103721,0.0078125
100,True,h4,h2,3,3,1.0,1.0,-0.3336619214119314,,1.433971541991923,
100,True,h2+3,h2,8,8,1.0,1.0,-0.1446159077691609,0.0546875,0.1275906869850587,0.0078125
100,True,h2+3+4,h2,3,3,1.0,1.0,-0.35354548537882846,,1.8407604999956675,
200,False,h3,h2,8,3,0.625,0.625,-0.5084138108087617,,0.5348992294748314,0.0546875
200,False,h4,h2,8,1,0.25,0.625,-0.4981501088330169,,1.6128998124913778,0.25
200,False,h2+3,h2,8,3,0.625,0.625,-0.5030422239917036,,0.6593729999731295,0.0078125
200,False,h2+3+4,h2,8,1,0.25,0.625,-0.4792534861155153,,2.171915082988562,0.0078125
200,True,h3,h2,8,6,1.0,0.75,-0.18544245311579455,0.21875,0.725616396026453,0.0078125
200,True,h4,h2,6,4,1.0,0.6666666666666666,-0.3238308073927231,,2.4888160210102797,0.03125
200,True,h2+3,h2,8,6,1.0,0.75,-0.16116420952200694,0.03125,0.7328916045080405,0.0078125
200,True,h2+3+4,h2,6,3,0.8333333333333334,0.6666666666666666,-0.2223209672814348,,3.0972232290077955,0.03125
300,False,h3,h2,8,4,0.75,0.625,-0.6835472317227336,,1.5505623745266348,0.0546875
300,False,h4,h2,8,2,0.5,0.625,-0.6801960604025542,,3.857168562535662,0.3125
300,False,h2+3,h2,8,4,0.75,0.625,-0.4481066034245619,,1.5331766250310466,0.0078125
300,False,h2+3+4,h2,8,2,0.5,0.625,-0.6432992006879127,,4.733610520517686,0.3125
300,True,h3,h2,8,7,1.0,0.875,-0.22084484036109098,0.15625,1.6030157089990098,0.0078125
300,True,h4,h2,6,5,1.0,0.8333333333333334,-0.4801631394684145,0.125,6.877928000030806,0.03125
300,True,h2+3,h2,8,7,1.0,0.875,-0.26915299868362963,0.15625,1.6409197710163426,0.0078125
300,True,h2+3+4,h2,6,5,1.0,0.8333333333333334,-0.4958847124324044,0.1875,7.941344791528536,0.03125
400,False,h3,h2,8,0,0.5,0.0,,,2.8923241869779304,0.0078125
400,False,h4,h2,8,0,0.25,0.0,,,12.253448686999036,0.3125
400,False,h2+3,h2,8,0,0.5,0.0,,,3.0440515204973053,0.0078125
400,False,h2+3+4,h2,8,0,0.25,0.0,,,19.961353354447056,0.0078125
400,True,h3,h2,8,3,1.0,0.375,-0.23065893396968606,,4.3277212285320275,0.0078125
400,True,h4,h2,6,1,0.8333333333333334,0.16666666666666666,-0.6128192841816933,,17.299598625017097,0.03125
400,True,h2+3,h2,8,3,1.0,0.375,-0.10200250746047379,,3.980691208038479,0.0078125
400,True,h2+3+4,h2,6,1,0.8333333333333334,0.16666666666666666,-0.6812775708161878,,19.88187929149717,0.03125
500,False,h3,h2,8,1,0.5,0.125,-0.6242752670890772,,5.777495333488332,0.0078125
500,False,h4,h2,7,1,0.2857142857142857,0.14285714285714285,-0.6919947574930396,,-0.7097589170443825,0.578125
500,False,h2+3,h2,8,1,0.5,0.125,-0.6165840882292071,,5.48769774948596,0.0078125
500,False,h2+3+4,h2,7,1,0.2857142857142857,0.14285714285714285,-0.6925981420748932,,0.41886899998644367,0.078125
500,True,h3,h2,8,3,1.0,0.375,-0.2601499646856671,,7.747503333521308,0.0078125
500,True,h4,h2,8,3,1.0,0.375,-0.0222675019172196,,16.6856870414922,0.0078125
500,True,h2+3,h2,8,3,1.0,0.375,-0.20843119995215398,,8.281383646011818,0.0078125
500,True,h2+3+4,h2,8,2,0.875,0.375,0.18442730033907262,,18.700637582980562,0.0078125
