vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_on,sc_rate_off,median_diff_apsp,p_apsp,median_diff_time,median_ratio_time,p_time
100,h2,8,8,1.0,1.0,-0.055574210879649755,0.25,-0.2267801875132136,0.5234124781500317,0.0078125
100,h3,8,8,1.0,1.0,0.034127454501143184,0.296875,-0.2592256870120764,0.5536283622986669,0.0078125
100,h4,3,3,1.0,1.0,-0.025808710089003872,,-0.05587412498425692,0.9731212070976539,
100,h2+3,8,8,1.0,1.0,0.026140115759988536,0.9453125,-0.29145566700026393,0.5394896819272644,0.0078125
100,h2+3+4,3,3,1.0,1.0,-0.027076375644564887,,-0.0844538759556599,0.9664080765894095,
200,h2,8,5,0.75,0.625,-0.21457263378653657,0.125,-0.6194095629907679,0.41874645089683943,0.0078125
200,h3,8,5,1.0,0.625,-0.05100828753021158,0.0625,-0.602569978509564,0.5194157226341511,0.0078125
200,h4,6,2,1.0,0.3333333333333333,0.037015691298325826,,-0.6347823955002241,0.6946032734967162,0.03125
200,h2+3,8,5,1.0,0.625,-0.00885181244789246,0.4375,-0.6472358125029132,0.5230519889855907,0.0078125
200,h2+3+4,6,1,0.8333333333333334,0.3333333333333333,0.04052404936486842,,-0.8319366450305097,0.6928184136893891,0.03125
300,h2,8,4,0.875,0.625,-0.26977320846323005,,-1.3299033129878808,0.3569059004693872,0.0234375
300,h3,8,6,1.0,0.75,-0.05488340629909527,0.15625,-1.1288789575337432,0.5220977096695932,0.0078125
300,h4,6,4,1.0,0.6666666666666666,-0.03590043538136156,,-0.6753774374665227,0.7274945672168756,0.84375
300,h2+3,8,6,1.0,0.75,-0.023033464945498294,0.4375,-1.2215911874664016,0.5226605518475328,0.0078125
300,h2+3+4,6,4,1.0,0.6666666666666666,-0.036334709653064734,,-0.9730763760162517,0.7337742345387088,0.84375
400,h2,8,0,0.375,0.0,,,-2.3595623334986158,0.4331927983340257,0.0234375
400,h3,8,4,1.0,0.5,-0.059903040715785116,,-1.458203041460365,0.6491270677637498,0.1484375
400,h4,6,1,0.8333333333333334,0.3333333333333333,-0.003316057109223225,,-3.901934853522107,0.6731864130135721,0.03125
400,h2+3,8,4,1.0,0.5,-0.1273365007126056,,-1.4009362710057758,0.651960335744934,0.0546875
400,h2+3+4,6,1,0.8333333333333334,0.3333333333333333,-0.019511603452237347,,-3.2019812910002656,0.6756619519146572,0.03125
500,h2,8,0,0.375,0.125,,,-3.938092416530708,0.38974222392064967,0.0078125
500,h3,8,4,1.0,0.5,-0.006390793243800541,,-2.5762271664862055,0.5978498055870964,0.0234375
500,h4,7,2,1.0,0.2857142857142857,0.03433241274617327,,-1.9025406249566004,0.5379175207112799,0.03125
500,h2+3,8,4,1.0,0.5,-0.02766811133249869,,-3.9067132499767467,0.547712932377798,0.0390625
500,h2+3+4,7,2,0.8571428571428571,0.2857142857142857,0.002586545439650534,,-2.648120375990402,0.5483720112397129,0.03125
