candidate_id,graph_id,vertices,use_reduction,hop_key,target_k,rank,n_vertices,n_edges,n_directed,n_vars,n_couplings,max_degree,degeneracy,degeneracy_sec,tw_min_degree,tw_min_degree_sec,tw_min_fill_in,tw_min_fill_in_sec,embeddable,physical_qubits,max_chain_length,embed_sec,attempts,timeout_sec,rechecked,first_timeout_sec
v100_s0_p0__h2+3__nored__k12__max,v100_s0_p0,100,False,h2+3,12,max,24,35,17,35,249,23,11,0.0002653,14,0.0006534,14,0.00142,True,103,4,1.75836,1,60,,
v100_s0_p0__h2+3__nored__k12__mid,v100_s0_p0,100,False,h2+3,12,mid,12,11,11,11,38,9,5,0.0001374,6,0.0003332,6,0.0001584,True,16,2,0.170909,1,60,,
v100_s0_p0__h2+3__nored__k16__max,v100_s0_p0,100,False,h2+3,16,max,46,61,40,61,384,20,10,0.0003744,13,0.0020488,13,0.0057259,True,156,4,4.12919,1,60,,
v100_s0_p0__h2+3__nored__k16__mid,v100_s0_p0,100,False,h2+3,16,mid,11,10,10,10,32,9,5,0.0001127,5,0.0001874,5,0.0001124,True,14,2,0.12,1,60,,
v100_s0_p0__h2+3__nored__k16__min,v100_s0_p0,100,False,h2+3,16,min,4,1,4,0,0,0,0,9.00007e-07,0,1.33e-05,,,True,0,0,1.4e-06,0,60,,
v100_s0_p0__h2+3__nored__k24__max,v100_s0_p0,100,False,h2+3,24,max,16,17,14,17,79,13,7,0.0001406,9,0.0002501,9,0.0002818,True,31,3,0.287809,1,60,,
v100_s0_p0__h2+3__nored__k24__mid,v100_s0_p0,100,False,h2+3,24,mid,6,5,5,5,10,4,4,0.0001103,4,0.0001259,4,3.81e-05,True,6,2,0.0887844,1,60,,
v100_s0_p0__h2+3__nored__k2__max,v100_s0_p0,100,False,h2+3,2,max,92,222,30,222,2820,40,16,0.0032172,50,0.0274396,47,0.195357,True,1981,23,61.3619,1,60,,
v100_s0_p0__h2+3__nored__k2__min,v100_s0_p0,100,False,h2+3,2,min,19,32,11,32,280,24,12,0.0002697,18,0.0008226,17,0.003105,True,110,5,2.34778,1,60,,
v100_s0_p0__h2+3__nored__k32__max,v100_s0_p0,100,False,h2+3,32,max,12,13,10,13,56,11,7,0.0001509,8,0.0005391,8,0.0002749,True,23,2,0.162188,1,60,,
v100_s0_p0__h2+3__nored__k32__mid,v100_s0_p0,100,False,h2+3,32,mid,8,5,8,5,8,4,3,7.49e-05,3,0.0001075,3,4.63e-05,True,5,1,0.0838583,1,60,,
v100_s0_p0__h2+3__nored__k3__max,v100_s0_p0,100,False,h2+3,3,max,79,171,33,171,2059,38,16,0.0021767,34,0.0112289,28,0.0849083,True,1112,11,36.4195,1,60,,
v100_s0_p0__h2+3__nored__k3__min,v100_s0_p0,100,False,h2+3,3,min,40,77,20,77,765,35,13,0.0007596,24,0.0027774,22,0.0163752,True,332,7,17.1253,1,60,,
v100_s0_p0__h2+3__nored__k48__max,v100_s0_p0,100,False,h2+3,48,max,18,23,14,23,127,17,8,0.0001546,10,0.0003374,10,0.0025303,True,47,3,0.595783,1,60,,
v100_s0_p0__h2+3__nored__k48__mid,v100_s0_p0,100,False,h2+3,48,mid,6,3,6,3,3,2,2,8.71e-05,2,9.33e-05,2,3.13e-05,True,3,1,0.0922384,1,60,,
v100_s0_p0__h2+3__nored__k4__max,v100_s0_p0,100,False,h2+3,4,max,33,60,18,60,629,32,14,0.0005328,26,0.0023569,23,0.0099224,True,290,7,8.22128,1,60,,
v100_s0_p0__h2+3__nored__k4__mid,v100_s0_p0,100,False,h2+3,4,mid,31,54,18,54,487,27,13,0.0004729,23,0.001454,20,0.0045857,True,216,7,6.06643,1,60,,
v100_s0_p0__h2+3__nored__k4__min,v100_s0_p0,100,False,h2+3,4,min,4,1,4,0,0,0,0,8.00006e-07,0,1.22e-05,,,True,0,0,1.10001e-06,0,60,,
v100_s0_p0__h2+3__nored__k64__max,v100_s0_p0,100,False,h2+3,64,max,10,9,9,9,27,7,5,0.0001577,5,0.0002874,5,0.0001429,True,13,2,0.0970573,1,60,,
v100_s0_p0__h2+3__nored__k64__mid,v100_s0_p0,100,False,h2+3,64,mid,6,3,6,3,3,2,2,7.6e-05,2,8.16e-05,2,2.61e-05,True,3,1,0.121355,1,60,,
v100_s0_p0__h2+3__nored__k6__max,v100_s0_p0,100,False,h2+3,6,max,40,81,18,81,887,31,15,0.0011723,30,0.0078426,23,0.0284484,True,414,8,15.4395,1,60,,
v100_s0_p0__h2+3__nored__k6__mid,v100_s0_p0,100,False,h2+3,6,mid,22,37,13,37,342,27,13,0.0003413,22,0.0010369,21,0.0043847,True,140,6,3.41779,1,60,,
v100_s0_p0__h2+3__nored__k6__min,v100_s0_p0,100,False,h2+3,6,min,11,8,11,8,16,5,3,7.01e-05,3,0.0001135,3,7.54e-05,True,9,2,0.0726392,1,60,,
v100_s0_p0__h2+3__nored__k8__max,v100_s0_p0,100,False,h2+3,8,max,40,77,20,77,853,33,15,0.0008147,28,0.0053306,25,0.0180138,True,373,8,8.58498,1,60,,
v100_s0_p0__h2+3__nored__k8__mid,v100_s0_p0,100,False,h2+3,8,mid,18,19,16,19,99,16,8,0.0002197,9,0.0004283,9,0.0005774,True,41,4,0.371855,1,60,,
v100_s0_p0__h2+3__nored__k8__min,v100_s0_p0,100,False,h2+3,8,min,4,1,4,0,0,0,0,8.00006e-07,0,0.0002132,,,True,0,0,2.1e-06,0,60,,
v100_s0_p0__h2+3__nored__k96__max,v100_s0_p0,100,False,h2+3,96,max,9,6,9,6,13,5,4,6.91e-05,4,9.7e-05,4,4.89e-05,True,8,2,0.0752063,1,60,,
v100_s0_p0__h2+3__nored__k96__mid,v100_s0_p0,100,False,h2+3,96,mid,4,1,4,0,0,0,0,5.00004e-07,0,7.2e-06,,,True,0,0,8.00006e-07,0,60,,
v100_s0_p0__h2+3__nored__k96__min,v100_s0_p0,100,False,h2+3,96,min,4,1,4,0,0,0,0,6.00005e-07,0,6e-06,,,True,0,0,7.00005e-07,0,60,,
