run_id,graph_id,vertices,remove_ratio,hop_key,use_reduction,arm,metric,threshold,run_seed,status,error,elapsed_sec,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,apsp_sum,strong_connect_rate,flow_score,strongly_connected,n_subgraphs_checked,n_subgraphs_embeddable,partition_embeddable,physical_qubits_total,max_chain_length,verify_sec
v100_s0_p0__h2+3__nored__degeneracy8,v100_s0_p0,100,0,h2+3,False,degeneracy8,degeneracy,8,151413802,ok,,17.4718,41,25,153,38,541,1.34292,1,108,True,41,41,True,254,4,1.74977
v100_s0_p0__h2+3__nored__treewidth454,v100_s0_p0,100,0,h2+3,False,treewidth454,treewidth,454,151413802,ok,,10.176,1,,284,284,4427,1.35142,1,48,True,1,1,True,2638,17,60.3801
v100_s0_p0__h2+3__red__degeneracy8,v100_s0_p0,100,0,h2+3,True,degeneracy8,degeneracy,8,151413802,ok,,17.0237,41,25,153,38,541,1.34292,1,108,True,41,41,True,241,4,1.80262
v100_s0_p0__h2+3__red__treewidth454,v100_s0_p0,100,0,h2+3,True,treewidth454,treewidth,454,151413802,ok,,9.67553,1,,284,284,4427,1.35142,1,48,True,1,1,True,2934,21,114.178
v100_s0_p0__h2__nored__degeneracy8,v100_s0_p0,100,0,h2,False,degeneracy8,degeneracy,8,151413802,ok,,18.1928,5,2,252,122,1062,1.30943,1,60,True,5,5,True,503,4,3.71626
v100_s0_p0__h2__nored__treewidth454,v100_s0_p0,100,0,h2,False,treewidth454,treewidth,454,151413802,ok,,8.80733,1,,284,284,1412,1.31966,1,48,True,1,1,True,1023,9,11.3417
v100_s0_p0__h2__red__degeneracy8,v100_s0_p0,100,0,h2,True,degeneracy8,degeneracy,8,151413802,ok,,18.0559,5,2,252,122,1062,1.30943,1,60,True,5,5,True,548,5,4.36846
v100_s0_p0__h2__red__treewidth454,v100_s0_p0,100,0,h2,True,treewidth454,treewidth,454,151413802,ok,,8.21515,1,,284,284,1412,1.31966,1,48,True,1,1,True,932,9,10.3596
v100_s0_p30__h2+3__nored__degeneracy8,v100_s0_p30,100,0.3,h2+3,False,degeneracy8,degeneracy,8,822628483,ok,,9.08134,14,9,119,52,427,1.50425,1,68,True,14,14,True,185,3,1.38591
v100_s0_p30__h2+3__nored__treewidth454,v100_s0_p30,100,0.3,h2+3,False,treewidth454,treewidth,454,822628483,ok,,5.56299,1,,199,199,2062,1.51362,0.92,48,True,1,1,True,1178,11,12.3439
v100_s0_p30__h2+3__red__degeneracy8,v100_s0_p30,100,0.3,h2+3,True,degeneracy8,degeneracy,8,822628483,ok,,7.03287,12,10,111,40,461,1.50255,1,68,True,12,12,True,196,4,1.44346
v100_s0_p30__h2+3__red__treewidth454,v100_s0_p30,100,0.3,h2+3,True,treewidth454,treewidth,454,822628483,ok,,4.62295,1,,182,182,2032,1.50925,1,48,True,1,1,True,1308,15,30.3255
v100_s0_p30__h2__nored__degeneracy8,v100_s0_p30,100,0.3,h2,False,degeneracy8,degeneracy,8,822628483,ok,,4.19765,1,,199,199,699,1.47643,0.87,48,True,1,1,True,425,4,2.76713
v100_s0_p30__h2__nored__treewidth454,v100_s0_p30,100,0.3,h2,False,treewidth454,treewidth,454,822628483,ok,,4.19226,1,,199,199,699,1.47643,0.87,48,True,1,1,True,425,4,2.97226
v100_s0_p30__h2__red__degeneracy8,v100_s0_p30,100,0.3,h2,True,degeneracy8,degeneracy,8,822628483,ok,,3.31662,1,,182,182,676,1.50152,1,48,True,1,1,True,446,7,6.98741
v100_s0_p30__h2__red__treewidth454,v100_s0_p30,100,0.3,h2,True,treewidth454,treewidth,454,822628483,ok,,3.11842,1,,182,182,676,1.50152,1,48,True,1,1,True,425,5,9.12885
v200_s0_p0__h2+3__nored__degeneracy8,v200_s0_p0,200,0,h2+3,False,degeneracy8,degeneracy,8,331455054,ok,,110.788,105,55,294,26,1019,1.32093,1,194,True,105,105,True,469,3,3.65904
v200_s0_p0__h2+3__nored__treewidth454,v200_s0_p0,200,0,h2+3,False,treewidth454,treewidth,454,331455054,ok,,50.852,1,,583,583,9710,1.34997,1,94,True,1,0,False,0,0,166.705
v200_s0_p0__h2+3__red__degeneracy8,v200_s0_p0,200,0,h2+3,True,degeneracy8,degeneracy,8,331455054,ok,,121.091,105,55,294,26,1019,1.32093,1,194,True,105,105,True,462,3,4.255
v200_s0_p0__h2+3__red__treewidth454,v200_s0_p0,200,0,h2+3,True,treewidth454,treewidth,454,331455054,ok,,48.7402,1,,583,583,9710,1.34997,1,94,True,1,0,False,0,0,153.998
v200_s0_p0__h2__nored__degeneracy8,v200_s0_p0,200,0,h2,False,degeneracy8,degeneracy,8,331455054,ok,,84.9633,5,2,530,451,2393,1.29538,1,106,True,5,5,True,1497,8,26.1388
v200_s0_p0__h2__nored__treewidth454,v200_s0_p0,200,0,h2,False,treewidth454,treewidth,454,331455054,ok,,22.5138,1,,583,583,2996,1.3115,1,94,True,1,1,True,1964,10,12.929
v200_s0_p0__h2__red__degeneracy8,v200_s0_p0,200,0,h2,True,degeneracy8,degeneracy,8,331455054,ok,,106.109,5,2,530,451,2393,1.29538,1,106,True,5,5,True,1412,12,89.2819
