stratum,metric,n,n_embeddable,auc,target_threshold,target_accuracy,target_fp,target_fn,best_threshold,best_accuracy,best_fp,best_fn,loo_accuracy
all,degeneracy,1031,1012,0.975296,8,0.783705,0,223,18,0.988361,6,6,0.984481
all,tw_min_degree,1031,1012,0.998674,454,0.981571,19,0,100,0.99612,4,0,0.99515
all,tw_min_fill_in,782,778,0.998393,454,0.994885,4,0,83,0.998721,1,0,0.996164
all,n_vars,1031,1012,0.991315,5640,0.981571,19,0,711,0.986421,7,7,0.984481
all,n_couplings,1031,1012,0.999896,40484,0.981571,19,0,6743,0.99903,1,0,0.99612
all,max_degree,1031,1012,0.97085,15,0.774976,0,232,50,0.986421,6,8,0.979631
h2+3,degeneracy,514,497,0.98414,8,0.610895,0,200,18,0.980545,4,6,0.972763
h2+3,tw_min_degree,514,497,0.998106,454,0.966926,17,0,100,0.996109,2,0,0.994163
h2+3,tw_min_fill_in,393,389,0.996787,454,0.989822,4,0,83,0.997455,1,0,0.992366
h2+3,n_vars,514,497,0.997278,5640,0.966926,17,0,623,0.992218,4,0,0.98249
h2+3,n_couplings,514,497,0.999763,40484,0.966926,17,0,6743,0.998054,1,0,0.992218
h2+3,max_degree,514,497,0.983016,15,0.585603,0,213,50,0.976654,4,8,0.963035
h2,degeneracy,517,515,0.990291,8,0.955513,0,23,10,0.996132,2,0,0.996132
h2,tw_min_degree,517,515,1,454,0.996132,2,0,65,1,0,0,0.996132
h2,tw_min_fill_in,389,389,nan,454,1,0,0,48,1,0,0,0.994859
h2,n_vars,517,515,1,5640,0.996132,2,0,1037,1,0,0,0.996132
h2,n_couplings,517,515,1,40484,0.996132,2,0,4649,1,0,0,0.998066
h2,max_degree,517,515,0.98932,15,0.96325,0,19,17,0.996132,2,0,0.996132
