graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v100_s0_p0,100,0.0,v100_s0_p0__h2__nored__whole__r0,h2,False,0,1.3196556036556053,48.0,2.0423264169949107,01101010101101010001111011000110001110011101001001101110101110101011000010110111010000110010011100100001100100110101001100110000011010010100101010100111100011010110010110001110111011001001110010011110110001001111010100101010101101010001101100111001110000001000010110011101001010100000
v100_s1_p0,100,0.0,v100_s1_p0__h2__nored__whole__r0,h2,False,0,1.3002646304312957,50.0,2.1263897090102546,100101110011000111001010100101101001110100001011010011000110110010011010101110001001110101100001110101100100010100111100110110110010110100110101100011010001100100001101001001010101101111010000010100110011001101011000111001111000110010011010101010001100101001010100111101100101000001
v100_s2_p0,100,0.0,v100_s2_p0__h2__nored__whole__r0,h2,False,0,1.3168682058682049,54.0,2.2288215000007767,010011010001111001001111000111011100010101101101001000011101000110110101000101001001011111000100110001101100100011011001011100100110100001111000110001101101001010100010000011111101001000110011100100000110010111011100100100111010101001111011010011011010010111110100010000001101000101011
v100_s3_p0,100,0.0,v100_s3_p0__h2__nored__whole__r0,h2,False,0,1.3106519560686278,52.0,2.5683314579946455,00101011010110101100011100100001101101001001011001110111001010011100101101011000101001110101111001001000101001111011001001111011011010001011101010010101101110000111111000110011001001110100011101010100001101010110011101001111001000101100110111001000101110101001011000001000101011101111001
v100_s4_p0,100,0.0,v100_s4_p0__h2__nored__whole__r0,h2,False,0,1.3087023809523788,46.0,2.2901592919952236,01010100011001011010001001101100000110110101100111001101010111010111100111000101010101100101001100001100100010001111011010010011000111001101000101001001001111100101100001001011001101011011001111010100001001001101101010000101100100011110011001001100110101011010110010100101001000101011
v100_s5_p0,100,0.0,v100_s5_p0__h2__nored__whole__r0,h2,False,0,1.3229479316979327,48.0,2.264716750010848,1001111001001010110101000101111000101100101010011011100101001110001100101000110011010101101000001110111000111010101010110110001101101111110011100001110100000110100110011101101011111010010101100000011101010110010100001101101010101101000011101100011000010100010011110111011001100001111
v100_s6_p0,100,0.0,v100_s6_p0__h2__nored__whole__r0,h2,False,0,1.3199858104858064,48.0,2.2509736249921843,01101010001101101001110010110101000011011000111000001010110111010110011010100110010110011000111100101001101101011101101101001010110011011010110001011001101110000111010110010011110000011011010101110101100011110100101010101110101000110100001101010110001010101110110001101000100110111000
v100_s7_p0,100,0.0,v100_s7_p0__h2__nored__whole__r0,h2,False,0,1.3121857864357807,42.0,2.300341333990218,01000111001010100111100101101001100101011000001111010010001111001010100110010111010011010011010011010110011011001100011110011110101001110011011100101101001100101100110000100000110010011010010110000110000010101000100100100010101000000110110101011001010000101000101100110000110001100001
v100_s8_p0,100,0.0,v100_s8_p0__h2__nored__whole__r0,h2,False,0,1.3006614558281198,52.0,2.2805062499828637,0011010011101000101100101010101001110001011001001100010111001110010111010011001011000110010011011100100110101000011110100101101010101011001001100101110010100110010100111000101110100111010000111010101011000010001110111010000110001111010010010000000000101101010001101101111110111000
v100_s9_p0,100,0.0,v100_s9_p0__h2__nored__whole__r0,h2,False,0,1.3189840067340104,58.0,2.3516355419997126,1001001101101001100011001001100110001011101000110111000100011101010011101010001101110110011110100101001101100000011101110010100010110101110111000110111001100101000100100101001011001010101010011001010110010001111100010110101111001001110000110000110100010010001111010101001101100101011001
v100_s0_p10,100,0.1,v100_s0_p10__h2__red__whole__r0,h2,True,0,1.3449863716530384,50.0,1.8694777080090716,0101110011001001100100011010110011000101011010101010000111100110000011110001001101000101100011110010101111010100101001111000010011010110000110110011000111100010101111000111011111001011101100010101001010100100110011100100101010110010011101101010010110010101
v100_s1_p10,100,0.1,v100_s1_p10__h2__red__whole__r0,h2,True,0,1.3413508096841393,54.0,1.9459096250066068,00101001110110011000101110010100011101001100110011100111001000011101101000110010100101010111000101010000011010010110011101000000101010101110010001001111110011010001001010110110010100001111000001101011100010111110010000011010110010101001010011110010110110
v100_s2_p10,100,0.1,v100_s2_p10__h2__nored__whole__r0,h2,False,0,1.3349798781465347,40.0,2.06078704202082,01011000001110101000111111010011010011010011011010001100110010101101100100011100101100010100110011110010101011001011000111000111101000000010011011001101110110110100101011101001011000010100110101101001111011110100010111010101000110001010000101000001000111011
