vertices,hop_key,use_reduction,n_best,n_graphs
100,h2,False,23,40
100,h2,True,17,40
100,h3,False,9,40
100,h2+3,False,2,40
200,h2,False,23,40
200,h2,True,15,40
200,h3,False,6,40
200,h3,True,1,40
200,h2+3,False,5,40
300,h2,False,22,40
300,h2,True,14,40
300,h3,False,7,40
300,h2+3,False,6,40
300,h2+3,True,1,40
400,h2,False,20,40
400,h2,True,14,40
400,h3,False,5,40
400,h3,True,2,40
400,h2+3,False,7,40
400,h2+3,True,2,40
500,h2,False,20,40
500,h2,True,14,40
500,h3,False,9,40
500,h2+3,False,6,40
500,h2+3,True,1,40
