vertices,remove_ratio_target,hop_key,use_reduction,best_mean,best_std,n_graphs_with_sc
100,0.0,h2,False,1.3130907768157762,0.00804034269586623,10
100,0.0,h2,True,1.3130907768157762,0.00804034269586623,10
100,0.0,h3,False,1.356084130992461,0.008079847198497825,10
100,0.0,h3,True,1.356084130992461,0.008079847198497825,10
100,0.0,h2+3,False,1.3540952741702714,0.01031064196896632,10
100,0.0,h2+3,True,1.3540952741702714,0.01031064196896632,10
100,0.1,h2,False,1.3426340468173765,0.010861431504639817,10
100,0.1,h2,True,1.3472318983485612,0.007683024822145278,10
100,0.1,h3,False,1.3807412057078672,0.008906378522044624,10
100,0.1,h3,True,1.3886116001282618,0.011565203183738656,10
100,0.1,h2+3,False,1.3796541847041799,0.012460723285452327,10
100,0.1,h2+3,True,1.3795105419272031,0.015112182108442581,10
100,0.3,h2,False,1.479247174850964,0.019064074659415717,10
100,0.3,h2,True,1.4926051135452671,0.023839830152923475,10
100,0.3,h3,False,1.4945416684886397,0.024130561563714993,10
100,0.3,h3,True,1.5175771040127102,0.02309112029111739,10
100,0.3,h2+3,False,1.498821006602825,0.02244969837000297,10
100,0.3,h2+3,True,1.5109470451265907,0.021044844393092222,10
100,0.5,h2,False,1.915317423331445,0.1011274049495185,10
100,0.5,h2,True,1.918104803235492,0.0916485093560364,10
100,0.5,h3,False,1.8377742122355798,0.08996498806619316,10
100,0.5,h3,True,1.9796582404688512,0.10631495508953301,10
100,0.5,h2+3,False,1.8588665174331893,0.07592886572730653,10
100,0.5,h2+3,True,1.9443729985362626,0.07048719980992649,10
200,0.0,h2,False,1.3069670900497925,0.006978842616527579,10
200,0.0,h2,True,1.3069670900497925,0.006978842616527579,10
200,0.0,h3,False,1.3458430042528273,0.007493330936190968,10
200,0.0,h3,True,1.3458430042528273,0.007493330936190968,10
200,0.0,h2+3,False,1.3448199446909546,0.004383872448338036,10
200,0.0,h2+3,True,1.3448199446909546,0.004383872448338036,10
200,0.1,h2,False,1.3404126847259241,0.00567512624069099,10
200,0.1,h2,True,1.3415566161434735,0.005664046457181997,10
200,0.1,h3,False,1.3800615186320866,0.009066244482130047,10
200,0.1,h3,True,1.3775025453747425,0.010543830046211193,10
200,0.1,h2+3,False,1.369289541321289,0.008622967515025996,10
200,0.1,h2+3,True,1.3767275887010424,0.010083284103469925,10
200,0.3,h2,False,1.4655649638120098,0.011195994021384022,10
200,0.3,h2,True,1.4769254165571952,0.01403296066427065,10
200,0.3,h3,False,1.4811823218517752,0.020921168328922282,10
200,0.3,h3,True,1.4966837767968793,0.022838070693298344,10
200,0.3,h2+3,False,1.4800743929576612,0.0165024515309257,10
200,0.3,h2+3,True,1.4932833122697904,0.01628206937439665,10
200,0.5,h2,False,1.8832608364385248,0.11851537919892614,10
200,0.5,h2,True,1.9183265811788046,0.10373097364025868,10
200,0.5,h3,False,1.8407921539149996,0.07316907735391515,10
200,0.5,h3,True,1.890472830833403,0.08598888281710633,10
200,0.5,h2+3,False,1.825429081486353,0.0626880817442612,10
200,0.5,h2+3,True,1.887020645938092,0.06938071538340776,10
300,0.0,h2,False,1.2985704030265226,0.004562096632276444,10
300,0.0,h2,True,1.2985704030265226,0.004562096632276444,10
300,0.0,h3,False,1.3366385799939864,0.007073472481088794,10
300,0.0,h3,True,1.3366385799939864,0.007073472481088794,10
300,0.0,h2+3,False,1.3287385719628637,0.0074584672431684,10
300,0.0,h2+3,True,1.3287385719628637,0.0074584672431684,10
300,0.1,h2,False,1.3347137219026441,0.00824012959072047,10
300,0.1,h2,True,1.3367120541352577,0.008302647749865315,10
300,0.1,h3,False,1.3648046721577534,0.010162235477683019,10
300,0.1,h3,True,1.3695628021053665,0.00916985688196414,10
300,0.1,h2+3,False,1.361088940670103,0.009638108204750962,10
300,0.1,h2+3,True,1.3631209784917024,0.009397994008651293,10
300,0.3,h2,False,1.461598149816719,0.020337309395399576,10
300,0.3,h2,True,1.471025177667778,0.01837979241768782,10
300,0.3,h3,False,1.4684887278059935,0.020755664783914003,10
300,0.3,h3,True,1.486100724970075,0.018676839012584344,10
300,0.3,h2+3,False,1.463843668364573,0.025450628360579725,10
300,0.3,h2+3,True,1.4820316932506996,0.0290090759199291,10
300,0.5,h2,False,1.9872454136843851,0.09577772808300151,9
300,0.5,h2,True,1.8885963073547931,0.09834195088982785,10
300,0.5,h3,False,1.784325903496724,0.04753459916630678,10
300,0.5,h3,True,1.8634238178342781,0.06520082404003434,10
300,0.5,h2+3,False,1.8163890664086282,0.06624122128814672,10
300,0.5,h2+3,True,1.8447716868063728,0.06089992224066549,10
400,0.0,h2,False,1.2936300416553344,0.006748107989406487,10
400,0.0,h2,True,1.2936300416553344,0.006748107989406487,10
400,0.0,h3,False,1.326275004427211,0.006759295985199395,10
400,0.0,h3,True,1.326275004427211,0.006759295985199395,10
400,0.0,h2+3,False,1.3225269768682055,0.0069106359087141005,10
400,0.0,h2+3,True,1.3225269768682055,0.0069106359087141005,10
400,0.1,h2,False,1.3252708738788916,0.008381961016495068,10
