run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p0__h2__nored__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2,2,False,False,0,151413802,ok,,,2.0423264169949107,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005092089995741844,284,0,0,1,,284,284,1412,284,219.8125,1.3196556036556053,1.0,48.0,-788.0,True,True
v100_s0_p0__h2__red__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2,2,True,False,0,151413802,ok,,,2.136826707981527,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00039612501859664917,284,0,0,1,,284,284,1412,284,220.5,1.3196556036556053,1.0,48.0,-788.0,True,True
v100_s0_p0__h3__nored__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h3,3,False,False,0,151413802,ok,,,2.596122542017838,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0004316660051699728,284,0,0,1,,284,284,4427,284,224.96875,1.3573333333333335,1.0,48.0,-2368.0,True,True
v100_s0_p0__h3__red__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h3,3,True,False,0,151413802,ok,,,2.67029020798509,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0004586669965647161,284,0,0,1,,284,284,4427,284,226.671875,1.3573333333333335,1.0,48.0,-2368.0,True,True
v100_s0_p0__h4__nored__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h4,4,False,False,0,151413802,ok,,,11.456169207987841,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00041704101022332907,284,0,0,1,,3939,3939,84666,284,242.265625,,0.0,644.0,7406.0,False,True
v100_s0_p0__h4__red__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h4,4,True,False,0,151413802,ok,,,11.76297120799427,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00019129100837744772,284,0,0,1,,3939,3939,84666,284,245.734375,,0.0,644.0,7406.0,False,True
v100_s0_p0__h2+3__nored__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2+3,2+3,False,False,0,151413802,ok,,,2.6580852500046603,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00018041700241155922,284,0,0,1,,284,284,4427,284,225.984375,1.3514189514189516,1.0,48.0,-3202.0,True,True
v100_s0_p0__h2+3__red__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2+3,2+3,True,False,0,151413802,ok,,,2.697057124983985,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0004370420065242797,284,0,0,1,,284,284,4427,284,226.8125,1.3514189514189516,1.0,48.0,-3202.0,True,True
v100_s0_p0__h2+3+4__nored__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2+3+4,2+3+4,False,False,0,151413802,ok,,,12.566463916999055,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.000268584000878036,284,0,0,1,,3939,3939,84734,284,249.296875,,0.0,976.0,5351.0,False,True
v100_s0_p0__h2+3+4__red__whole__r0,v100_s0_p0,100,0,0.0,0.0,100,284,h2+3+4,2+3+4,True,False,0,151413802,ok,,,12.792697124998085,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.000382583006285131,284,0,0,1,,3939,3939,84734,284,248.0,,0.0,976.0,5351.0,False,True
v100_s0_p10__h2__nored__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2,2,False,False,0,2002666364,ok,,,1.9439632919966243,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0004798340087290853,254,2,0,1,,256,256,1159,256,219.3125,1.3547279140612476,1.0,50.0,-645.0,True,True
v100_s0_p10__h2__red__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2,2,True,False,0,2002666364,ok,,,1.8694777080090716,,2026-08-27T11:09:13+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00025758298579603434,254,2,0,1,,254,254,1156,254,217.828125,1.3449863716530384,1.0,50.0,,True,True
v100_s0_p10__h3__nored__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h3,3,False,False,0,2002666364,ok,,,2.371184124989668,,2026-08-27T11:09:16+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00047862500650808215,254,2,0,1,,256,256,3551,256,224.546875,1.3839693763027057,1.0,50.0,-1814.0,True,True
v100_s0_p10__h3__red__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h3,3,True,False,0,2002666364,ok,,,2.206737875007093,,2026-08-27T11:09:16+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00024958301219157875,254,2,0,1,,254,254,3537,254,223.453125,1.3972960157126806,1.0,50.0,,True,True
v100_s0_p10__h4__nored__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h4,4,False,False,0,2002666364,ok,,,8.092565792001551,,2026-08-27T11:09:16+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00047629198525100946,254,2,0,1,,3033,3033,60673,256,222.875,,0.0,578.0,5546.0,False,True
v100_s0_p10__h4__red__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h4,4,True,False,0,2002666364,ok,,,8.104042332997778,,2026-08-27T11:09:16+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00024762502289377153,254,2,0,1,,3032,3032,60616,254,221.90625,,0.0,734.0,,False,True
v100_s0_p10__h2+3__nored__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2+3,2+3,False,False,0,2002666364,ok,,,2.3642734170134645,,2026-08-27T11:09:17+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.000515749998157844,254,2,0,1,,256,256,3551,256,224.84375,1.3762187349687298,1.0,50.0,-2501.0,True,True
v100_s0_p10__h2+3__red__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2+3,2+3,True,False,0,2002666364,ok,,,2.3145120829867665,,2026-08-27T11:09:17+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.000555209000594914,254,2,0,1,,254,254,3537,254,224.015625,1.3678248356581661,1.0,50.0,,True,True
v100_s0_p10__h2+3+4__nored__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2+3+4,2+3+4,False,False,0,2002666364,ok,,,8.788356834003935,,2026-08-27T11:09:17+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0013272080104798079,254,2,0,1,,3033,3033,60736,256,220.171875,,0.0,562.0,-615.0,False,True
v100_s0_p10__h2+3+4__red__whole__r0,v100_s0_p10,100,0,0.1,0.09859154929577464,100,256,h2+3+4,2+3+4,True,False,0,2002666364,ok,,,8.87524554200354,,2026-08-27T11:09:17+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005032079934608191,254,2,0,1,,3032,3032,60679,254,224.546875,,0.0,470.0,,False,True
v100_s0_p30__h2__nored__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2,2,False,False,0,822628483,ok,,,1.4968392500013579,,2026-08-27T11:09:20+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005590419750660658,182,15,0,1,,199,199,699,199,207.515625,1.4764291726791763,0.87,48.0,-389.0,True,True
v100_s0_p30__h2__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2,2,True,False,0,822628483,ok,,,1.1540642080071848,,2026-08-27T11:09:20+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00030604100902564824,182,15,0,1,,182,182,676,182,172.34375,1.5104868672292886,1.0,48.0,,True,True
v100_s0_p30__h3__nored__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h3,3,False,False,0,822628483,ok,,,1.695866666996153,,2026-08-27T11:09:21+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0003295839997008443,182,15,0,1,,199,199,2062,199,214.78125,1.5045142150217905,0.93,48.0,-939.0,True,True
v100_s0_p30__h3__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h3,3,True,False,0,822628483,ok,,,1.349206208018586,,2026-08-27T11:09:21+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005975840031169355,182,15,0,1,,182,182,2032,182,182.765625,1.514445854650397,1.0,48.0,,True,True
v100_s0_p30__h4__nored__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h4,4,False,False,0,822628483,ok,,,3.4359445420268457,,2026-08-27T11:09:22+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0002685419749468565,182,15,0,1,,1624,1624,26834,199,182.1875,,0.0,384.0,-554.0,False,True
v100_s0_p30__h4__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h4,4,True,False,0,822628483,ok,,,3.3292603750014678,,2026-08-27T11:09:22+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005833329923916608,182,15,0,1,,1606,1606,27092,182,178.109375,,0.0,360.0,,False,True
v100_s0_p30__h2+3__nored__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3,2+3,False,False,0,822628483,ok,,,1.8008835839864332,,2026-08-27T11:09:24+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0006860840076114982,182,15,0,1,,199,199,2062,199,214.890625,1.5136207056131281,0.92,48.0,-1366.0,True,True
v100_s0_p30__h2+3__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3,2+3,True,False,0,822628483,ok,,,1.4293051669956185,,2026-08-27T11:09:23+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005601249868050218,182,15,0,1,,182,182,2032,182,183.1875,1.5109404178873833,1.0,48.0,,True,True
v100_s0_p30__h2+3+4__nored__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3+4,2+3+4,False,False,0,822628483,ok,,,4.0143412920006085,,2026-08-27T11:09:27+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.001761291001457721,182,15,0,1,,1624,1624,26894,199,178.203125,,0.0,296.0,-1488.0,False,True
v100_s0_p30__h2+3+4__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3+4,2+3+4,True,False,0,822628483,ok,,,3.830503459001193,,2026-08-27T11:09:26+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005668750090990216,182,15,0,1,,1606,1606,27147,182,179.671875,,0.0,400.0,,False,True
