vertices,remove_ratio_target,hop_key,use_reduction,n_runs,n_ok,n_timeout,n_error,n_sc,time_mean,time_std,n_subgraphs_mean,qubo_vars_mean,n_edges_mean,n_edges_solved_mean,sc_rate,apsp_mean,apsp_std,apsp_min,apsp_max
100,0.0,h2,False,10,10,0,0,10,2.2704201876971637,0.13810076453069126,1.0,283.9,283.9,283.9,1.0,1.3130907768157762,0.00804034269586623,1.3002646304312957,1.3229479316979327
100,0.0,h2,True,10,10,0,0,10,2.3102592040988386,0.09384699880028437,1.0,283.9,283.9,283.9,1.0,1.3130907768157762,0.00804034269586623,1.3002646304312957,1.3229479316979327
100,0.0,h3,False,10,10,0,0,10,2.8700563749996943,0.16782709255791742,1.0,283.9,283.9,283.9,1.0,1.356084130992461,0.008079847198497825,1.3450235690235666,1.3684124579124546
100,0.0,h3,True,10,10,0,0,10,2.929721716698259,0.1624869864391328,1.0,283.9,283.9,283.9,1.0,1.356084130992461,0.008079847198497825,1.3450235690235666,1.3684124579124546
100,0.0,h4,False,10,10,0,0,0,12.516719641699456,0.6596073429815886,1.0,3946.0,283.9,283.9,0.0,,,,
100,0.0,h4,True,10,10,0,0,0,12.663621145801153,0.6223454270601521,1.0,3946.0,283.9,283.9,0.0,,,,
100,0.0,h2+3,False,10,10,0,0,10,2.965947216594941,0.16138539894259166,1.0,283.9,283.9,283.9,1.0,1.3540952741702714,0.01031064196896632,1.3396833814333795,1.3777438672438653
100,0.0,h2+3,True,10,10,0,0,10,3.0395700375025627,0.18276872334182054,1.0,283.9,283.9,283.9,1.0,1.3540952741702714,0.01031064196896632,1.3396833814333795,1.3777438672438653
100,0.0,h2+3+4,False,10,10,0,0,0,13.839089854003396,0.7000197534148859,1.0,3946.0,283.9,283.9,0.0,,,,
100,0.0,h2+3+4,True,10,10,0,0,0,13.992516945803072,0.6561283830660767,1.0,3946.0,283.9,283.9,0.0,,,,
100,0.1,h2,False,10,10,0,0,10,2.124035195802571,0.09025455730324414,1.0,255.7,255.7,255.7,1.0,1.3426340468173765,0.010861431504639817,1.330404000320665,1.36048965848965
100,0.1,h2,True,10,10,0,0,10,2.0477985332981916,0.10091435950095201,1.0,253.5,255.7,253.5,1.0,1.3472318983485612,0.007683024822145278,1.3385386002885968,1.36048965848965
100,0.1,h3,False,10,10,0,0,10,2.52392018319224,0.1055073654440843,1.0,255.7,255.7,255.7,1.0,1.3807412057078672,0.008906378522044624,1.3690164341830935,1.3979795574795506
100,0.1,h3,True,10,10,0,0,10,2.4844270333996974,0.12703185466489114,1.0,253.5,255.7,253.5,1.0,1.3886116001282618,0.011565203183738656,1.3689862514029136,1.403553631553625
100,0.1,h4,False,10,10,0,0,0,8.596956112800399,0.4260214712952633,1.0,3020.4,255.7,255.7,0.0,,,,
100,0.1,h4,True,10,10,0,0,0,8.590208846100722,0.44011431802132783,1.0,3019.6,255.7,253.5,0.0,,,,
100,0.1,h2+3,False,10,10,0,0,10,2.582043458404951,0.11150651626671933,1.0,255.7,255.7,255.7,1.0,1.3796541847041799,0.012460723285452327,1.3525554753888063,1.3993655603655544
100,0.1,h2+3,True,10,10,0,0,10,2.5359104207978818,0.12319100089287034,1.0,253.5,255.7,253.5,1.0,1.3795105419272031,0.015112182108442581,1.3575625701458998,1.406686427769758
100,0.1,h2+3+4,False,10,10,0,0,0,9.42942891259736,0.4406374489480439,1.0,3020.4,255.7,255.7,0.0,,,,
100,0.1,h2+3+4,True,10,10,0,0,0,9.461391445901246,0.41206903838902276,1.0,3019.6,255.7,253.5,0.0,,,,
100,0.3,h2,False,10,10,0,0,10,1.6855819166026778,0.18075470083725728,1.0,198.7,198.7,198.7,1.0,1.479247174850964,0.019064074659415717,1.4379450311192736,1.5088039704403382
100,0.3,h2,True,10,10,0,0,10,1.362369970799773,0.125700083025901,1.0,183.2,198.7,183.2,1.0,1.4926051135452671,0.023839830152923475,1.4623215378897247,1.5247656325156316
100,0.3,h3,False,10,10,0,0,10,1.9334435166994808,0.0990222361402903,1.0,198.7,198.7,198.7,1.0,1.4945416684886397,0.024130561563714993,1.46242645429767,1.537661925896775
100,0.3,h3,True,10,10,0,0,10,1.5491535083041525,0.10802591007591565,1.0,183.2,198.7,183.2,1.0,1.5175771040127102,0.02309112029111739,1.4856093474426777,1.5484742664742677
100,0.3,h4,False,10,10,0,0,0,3.3937108290963804,0.27859417139861825,1.0,1568.7,198.7,198.7,0.0,,,,
100,0.3,h4,True,10,10,0,0,0,3.4017550249001944,0.2786181996767081,1.0,1551.2,198.7,183.2,0.0,,,,
100,0.3,h2+3,False,10,10,0,0,10,2.0085689167986858,0.09026233700453556,1.0,198.7,198.7,198.7,1.0,1.498821006602825,0.02244969837000297,1.465000521083854,1.5278631590071003
100,0.3,h2+3,True,10,10,0,0,10,1.608407754203654,0.10074925126212086,1.0,183.2,198.7,183.2,1.0,1.5109470451265907,0.021044844393092222,1.4803411714548107,1.55026615359949
100,0.3,h2+3+4,False,10,10,0,0,0,3.8165679416968485,0.30709579708255647,1.0,1568.7,198.7,198.7,0.0,,,,
100,0.3,h2+3+4,True,10,10,0,0,0,3.7621316249045775,0.24818882228399272,1.0,1551.2,198.7,183.2,0.0,,,,
100,0.5,h2,False,10,10,0,0,10,0.8075624917051755,0.20934534068067315,1.0,141.9,141.9,141.9,1.0,1.915317423331445,0.1011274049495185,1.7635960058460247,2.0472523495023482
100,0.5,h2,True,10,10,0,0,10,0.4138928832020611,0.07999722505516647,1.0,93.2,141.9,93.2,1.0,1.918104803235492,0.0916485093560364,1.8210844071753225,2.0874490167520565
100,0.5,h3,False,10,10,0,0,10,1.0857402791036292,0.20024959367014383,1.0,141.9,141.9,141.9,1.0,1.8377742122355798,0.08996498806619316,1.7216648573087991,2.024083749583742
100,0.5,h3,True,10,10,0,0,10,0.47506675850017926,0.06405438616905239,1.0,93.2,141.9,93.2,1.0,1.9796582404688512,0.10631495508953301,1.796997127171377,2.150052061855097
100,0.5,h4,False,10,10,0,0,0,0.9358768000995041,0.0735380517808077,1.0,626.2,141.9,141.9,0.0,,,,
100,0.5,h4,True,10,10,0,0,0,0.8043415418971562,0.09577652203197458,1.0,513.6,141.9,93.2,0.0,,,,
100,0.5,h2+3,False,10,10,0,0,10,1.10430294170219,0.19676527579930073,1.0,141.9,141.9,141.9,1.0,1.8588665174331893,0.07592886572730653,1.7626901639325963,1.9672909663288487
100,0.5,h2+3,True,10,10,0,0,10,0.49334105830057523,0.05839570298836126,1.0,93.2,141.9,93.2,1.0,1.9443729985362626,0.07048719980992649,1.8040768848155266,2.0250736084902785
100,0.5,h2+3+4,False,10,10,0,0,0,1.0772763957997085,0.11077159297446268,1.0,626.2,141.9,141.9,0.0,,,,
100,0.5,h2+3+4,True,10,10,0,0,0,0.907897699996829,0.12053192748269413,1.0,513.6,141.9,93.2,0.0,,,,
200,0.0,h2,False,10,10,0,0,10,8.36282276250131,0.12974155363633894,1.0,584.3,584.3,584.3,1.0,1.3069670900497925,0.006978842616527579,1.2933370967390707,1.3127692403213498
200,0.0,h2,True,10,10,0,0,10,8.483047754399013,0.10356481608191924,1.0,584.3,584.3,584.3,1.0,1.3069670900497925,0.006978842616527579,1.2933370967390707,1.3127692403213498
200,0.0,h3,False,10,10,0,0,10,10.20692346250289,0.1066417446747882,1.0,584.3,584.3,584.3,1.0,1.3458430042528273,0.007493330936190968,1.3354317211961308,1.3548433083526994
200,0.0,h3,True,10,10,0,0,10,10.363913745904574,0.07962681537640573,1.0,584.3,584.3,584.3,1.0,1.3458430042528273,0.007493330936190968,1.3354317211961308,1.3548433083526994
200,0.0,h4,False,10,10,0,0,0,40.86769503330579,1.2753433318893,1.0,8549.1,584.3,584.3,0.0,,,,
200,0.0,h4,True,10,10,0,0,0,41.16104155840003,1.252815087069937,1.0,8549.1,584.3,584.3,0.0,,,,
200,0.0,h2+3,False,10,10,0,0,10,10.553657041699626,0.09682224596437243,1.0,584.3,584.3,584.3,1.0,1.3448199446909546,0.004383872448338036,1.337341861725607,1.3499663922063008
200,0.0,h2+3,True,10,10,0,0,10,10.709003278997262,0.09922606393480811,1.0,584.3,584.3,584.3,1.0,1.3448199446909546,0.004383872448338036,1.337341861725607,1.3499663922063008
200,0.0,h2+3+4,False,10,10,0,0,0,45.200516491592865,1.21793089713955,1.0,8549.1,584.3,584.3,0.0,,,,
200,0.0,h2+3+4,True,10,10,0,0,0,45.61538073750562,1.301627578059541,1.0,8549.1,584.3,584.3,0.0,,,,
200,0.1,h2,False,10,10,0,0,10,7.836406199997873,0.055824678387438466,1.0,526.0,526.0,526.0,1.0,1.3404126847259241,0.00567512624069099,1.3320045746408626,1.3522119644035289
200,0.1,h2,True,10,10,0,0,10,7.759234966506483,0.09226256009940932,1.0,522.8,526.0,522.8,1.0,1.3415566161434735,0.005664046457181997,1.3320062533083545,1.3520561420014627
200,0.1,h3,False,10,10,0,0,10,9.05073168730305,0.10702802198053671,1.0,526.0,526.0,526.0,1.0,1.3800615186320866,0.009066244482130047,1.369350199772266,1.4006786520988677
