vertices,use_reduction,hop_key,baseline,n_pairs,n_pairs_both_sc,sc_rate_hop,sc_rate_base,median_diff_apsp,p_apsp,median_diff_time,p_time
100,False,h3,h2,40,40,1.0,1.0,0.028471498899525494,0.12139880184622598,0.3994887500157347,1.8189894035458565e-12
100,False,h4,h2,40,0,0.0,1.0,,,4.4895332914893515,6.002665031701326e-11
100,False,h2+3,h2,40,40,1.0,1.0,0.02829958313291181,0.04219436091807438,0.4184770830179332,1.8189894035458565e-12
100,False,h2+3+4,h2,40,0,0.0,1.0,,,5.067410979492706,3.637978807091713e-12
100,True,h3,h2,40,40,1.0,1.0,0.03786443803110495,1.4051875041332096e-06,0.3406487290048972,7.821654435247183e-11
100,True,h4,h2,40,0,0.0,1.0,,,4.527643291992717,1.8189894035458565e-12
100,True,h2+3,h2,40,40,1.0,1.0,0.03554715808882203,3.061662209802307e-05,0.41447279149724636,3.637978807091713e-12
100,True,h2+3+4,h2,40,0,0.0,1.0,,,5.028872125505586,1.8189894035458565e-12
200,False,h3,h2,40,40,1.0,1.0,0.03395017112980925,0.005831649234096403,1.158791416499298,3.637978807091713e-12
200,False,h4,h2,40,0,0.0,1.0,,,11.62485793750966,2.0700099412351847e-08
200,False,h2+3,h2,40,40,1.0,1.0,0.02523304609263255,0.009781997654499719,1.272992771017016,1.8189894035458565e-12
200,False,h2+3+4,h2,40,0,0.0,1.0,,,13.400013834019774,2.697561285458505e-09
200,True,h3,h2,40,40,1.0,1.0,0.02960712473001581,0.0011671793090499705,0.9661140410025837,1.8189894035458565e-12
200,True,h4,h2,40,0,0.0,1.0,,,12.068965374521213,1.8189894035458565e-12
200,True,h2+3,h2,40,40,1.0,1.0,0.028636336339529223,0.0006384575062838849,1.1826616669859504,1.8189894035458565e-12
200,True,h2+3+4,h2,40,0,0.0,1.0,,,13.865538333004224,1.8189894035458565e-12
300,False,h3,h2,40,39,1.0,0.975,0.019292224374297007,0.40268791001290083,2.319069812496309,1.8189894035458565e-12
300,False,h4,h2,40,0,0.0,0.975,,,23.267148645492853,9.226823749486357e-08
300,False,h2+3,h2,40,39,1.0,0.975,0.01805008787209572,0.40268791001290083,2.7536138745053904,1.8189894035458565e-12
300,False,h2+3+4,h2,40,0,0.0,0.975,,,26.060732645491953,1.2008968042209744e-08
300,True,h3,h2,40,40,1.0,1.0,0.031251146537201735,0.0010487130839464953,1.8261798545136116,1.8189894035458565e-12
300,True,h4,h2,40,0,0.0,1.0,,,23.548364270987804,1.8189894035458565e-12
300,True,h2+3,h2,40,40,1.0,1.0,0.02295435999042128,0.05481029127986403,2.3476369790005265,1.8189894035458565e-12
300,True,h2+3+4,h2,40,0,0.0,1.0,,,27.301553416997194,1.8189894035458565e-12
400,False,h3,h2,40,38,1.0,0.95,0.01969134336150602,0.2933771514290129,4.025835001011728,1.8189894035458565e-12
400,False,h4,h2,40,0,0.0,0.95,,,34.68579122850497,1.03669663076289e-07
400,False,h2+3,h2,40,38,1.0,0.95,0.014582018389964313,0.5090065231197514,4.551112604502123,1.8189894035458565e-12
400,False,h2+3+4,h2,40,0,0.0,0.95,,,40.62703724949097,1.03669663076289e-07
400,True,h3,h2,40,40,1.0,1.0,0.023260709440906302,0.09723449486591562,3.271240999980364,1.8189894035458565e-12
400,True,h4,h2,40,0,0.0,1.0,,,34.81007708348625,1.8189894035458565e-12
400,True,h2+3,h2,40,40,1.0,1.0,0.013859292571504755,0.3899927400161687,3.6433568539941916,1.8189894035458565e-12
400,True,h2+3+4,h2,40,0,0.0,1.0,,,41.479606040986255,1.8189894035458565e-12
500,False,h3,h2,40,34,1.0,0.85,0.0271779782944247,0.013829763396643102,5.795987667006557,1.8189894035458565e-12
500,False,h4,h2,40,0,0.0,0.85,,,52.78679908251797,1.03669663076289e-07
500,False,h2+3,h2,40,34,1.0,0.85,0.019856643925293627,0.04838209587614983,6.368108020498767,1.8189894035458565e-12
500,False,h2+3+4,h2,40,0,0.0,0.85,,,62.789475958023104,1.03669663076289e-07
500,True,h3,h2,40,40,1.0,1.0,0.017360790061920484,0.3138070678778604,5.1264582714793505,1.8189894035458565e-12
500,True,h4,h2,40,0,0.0,1.0,,,52.10652647849929,3.637978807091713e-12
500,True,h2+3,h2,40,40,1.0,1.0,0.01731014067166492,0.28865784978552256,6.287177916514338,1.8189894035458565e-12
500,True,h2+3+4,h2,40,0,0.0,1.0,,,63.28135477048636,1.8189894035458565e-12
