vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_on,sc_rate_off,median_diff_apsp,p_apsp,median_diff_time,median_ratio_time,p_time
100,h2,40,40,1.0,1.0,0.0,0.1566819294034869,-0.13859885398414917,0.92552474051691,3.194629243807867e-06
100,h3,40,40,1.0,1.0,0.005365690145998636,3.460317162747564e-05,-0.17664514598436654,0.9160675828596025,6.268265497055836e-05
100,h4,40,0,0.0,0.0,,,0.012647478986764327,1.001814624776928,0.9628961195248849
100,h2+3,40,40,1.0,1.0,0.0,0.018970134910080243,-0.1764936045074137,0.9189798730988895,3.545586332620587e-05
100,h2+3+4,40,0,0.0,0.0,,,0.004419770499225706,1.0007217394768024,0.7648249070225575
200,h2,40,40,1.0,1.0,8.393337459500216e-07,0.03872302647935897,-0.3756350209878292,0.937175666212835,4.404162064020056e-05
200,h3,40,40,1.0,1.0,0.0006310579774749803,0.015658483342200574,-0.7022712914913427,0.9059409791490969,2.639073136379011e-05
200,h4,40,0,0.0,0.0,,,-0.2384054164722329,0.9837251166176607,0.03812944412311481
200,h2+3,40,40,1.0,1.0,0.008203349902456969,0.0002411796105587513,-0.6428728330065496,0.901674054670295,7.198017374321353e-05
200,h2+3+4,40,0,0.0,0.0,,,-0.21617058299307246,0.9896536175418116,0.014677642795504653
300,h2,40,39,1.0,0.975,0.0,0.5520854520027925,-0.5704864374856697,0.9597486958391954,6.718428085150663e-05
300,h3,40,40,1.0,1.0,0.010111742803218582,2.1630223983536906e-05,-1.3985952084767632,0.9004198570481097,1.9500828784657642e-05
300,h4,40,0,0.0,0.0,,,-0.5460606460110284,0.9653014812432401,0.00023327588314714376
300,h2+3,40,40,1.0,1.0,0.002496240641671421,0.007271049691046206,-1.4545795829908457,0.9117140544676441,1.430089287168812e-05
300,h2+3+4,40,0,0.0,0.0,,,-0.30087339600140695,0.9906705504085771,0.08665273707811139
400,h2,40,38,1.0,0.95,0.0,0.49451667461355175,-0.604799645501771,0.9752359518955851,0.00018148900744563434
400,h3,40,40,1.0,1.0,0.0017902964569127544,0.019569215233846395,-2.452556583506521,0.9029407615023066,3.545586332620587e-05
400,h4,40,0,0.0,0.0,,,-0.9717494794895174,0.9472811525329803,0.0006032901037542615
400,h2+3,40,40,1.0,1.0,0.0023841127283644736,0.006035006473812042,-2.4525768125022296,0.9182917170798988,1.546506791783031e-05
400,h2+3+4,40,0,0.0,0.0,,,-0.9905325830186484,0.9838175320903924,0.0450981847334333
500,h2,40,34,1.0,0.85,0.0,0.3036811097223192,-1.7191983129887376,0.949010608810023,1.805902866180986e-05
500,h3,40,40,1.0,1.0,0.0005475947777540124,0.0012866311206026157,-4.055954895491595,0.8956519466113619,3.194629243807867e-06
500,h4,40,0,0.0,0.0,,,-1.672473104481469,0.9479586713683055,0.0013674832061951747
500,h2+3,40,40,1.0,1.0,0.006772365732617636,0.0008944300647461543,-3.6957153334951727,0.9184428748952791,1.040497409121599e-05
500,h2+3+4,40,0,0.0,0.0,,,-1.5212576464837184,0.9827550455252678,0.45173393898585346
